score,bedrijf,domein,vacature,vacature_datum,plaats,producten,markten,cs_tools,review_tools,reviewscore,reviewoordeel,openingstijden,reactiebelofte,email,telefoon,kvk,postcode,signalen,vacature_url,klasse,klassereden
6,Culture Kings,culturekings.com,Schadebehandelaar Zakelijk,2026-06-12,Amsterdam,,5,gorgias,yotpo,,,,,,,,,Shopify; betaalt voor gorgias; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/schadebehandelaar-zakelijk-at-culture-kings-4427993913,AF,Australisch
6,Electro World,electroworld.nl,Verkoopmedewerker,2026-08-25,Vught,,1,hubspot,feedbackcompany,,,maandag tot en met vrijdag van 9.00 – 18.00,binnen 5 werkdagen,info@electroworld.nl,035-303 2500,32089173,1000 WP,magento; betaalt voor hubspot; eigen reviewplatform; belofte: binnen 5 werkdagen,https://nl.linkedin.com/jobs/view/verkoopmedewerker-at-electro-world-4458764109,AF,winkelketen
6,Heinen Delfts Blauw,heinendelftsblauw.nl,Marketing manager,2026-08-06,Putten,,,hubspot,yotpo,,,,Binnen 48 uur,,,70420742,3881 LB,betaalt voor hubspot; eigen reviewplatform; belofte: Binnen 48 uur; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/marketing-manager-at-heinen-delfts-blauw-4450266759,A,
6,Mondial Relay,mondialrelay.nl,Senior Marketing Manager,2026-09-07,Vianen,,7,hubspot,trustpilot,,,,,,,,,betaalt voor hubspot; 7 markten; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/senior-marketing-manager-at-mondial-relay-4461864926,AF,pakketvervoerder
5,ALKU,alku.nl,Verkoopadviseur,2026-09-04,Tilburg,,,hubspot,kiyoh|klantenvertellen,8.8,sterk,Maandag 08:00 - 18:00,,,0800-2558758,,5048 AN,woocommerce; betaalt voor hubspot; eigen reviewplatform; b2b naast d2c,https://nl.linkedin.com/jobs/view/verkoopadviseur-at-alku-4461984846,AF,dienstverlener
5,Bedrijfsfitness Nederland,bedrijfsfitness.nl,Customer Support Specialist,2026-09-11,Heerenveen,,,,,,,maandag tot en met vrijdag bereikbaar tussen 09.00 en 17.00,,info@vitalityatfirst.nl,070 360 60 60,27125012,7938 TD,woocommerce; te weinig volumebewijs voor de band; desk dicht voor de avond; zoekt klantcontact: Customer Support Specialist; vacature staat nog open,https://nl.linkedin.com/jobs/view/customer-support-specialist-at-bedrijfsfitness-nederland-by-epassi-4457324263,AF,dienstverlener
5,Royal Van Zanten,royalvanzanten.com,Commercieel Medewerker Customer Service,2026-09-09,Rijsenhout,,4,,,,,,,,,,,woocommerce; te weinig volumebewijs voor de band; b2b naast d2c; geen telefoonlijn gevonden; zoekt klantcontact: Commercieel Medewerker Customer Service; vacature staat nog open,https://nl.linkedin.com/jobs/view/commercieel-medewerker-customer-service-at-royal-van-zanten-4463877729,AF,"kwekerij, b2b"
5,Tegeltje.nl,tegeltje.nl,Sales medewerker B2B (24-40 uur),2026-09-18,Bodegraven,,,helpscout,,,,,binnen 24 uur,,085-2129259,58276270,2411 PV,woocommerce; betaalt voor helpscout; b2b naast d2c; belofte: binnen 24 uur,https://nl.linkedin.com/jobs/view/sales-medewerker-b2b-24-40-uur-at-tegeltje-nl-4469197217,A,
5,Van Dorp,vandorp.nl,Helpdeskmedewerker ICT | Nieuwegein,2026-07-10,Nieuwegein,,,,,,,Maandag t/m vrijdag van 08.00 uur - 16.30,,kantoor@vandorp.nl,071-561 24 55,,2382 NW,woocommerce; te weinig volumebewijs voor de band; desk dicht voor de avond; zoekt klantcontact: Helpdeskmedewerker ICT | Nieuwegein; vacature staat nog open,https://nl.linkedin.com/jobs/view/helpdeskmedewerker-ict-nieuwegein-at-van-dorp-4435990557,AF,technisch dienstverlener
5,waterdrop®,waterdrop.nl,Sales Assistant - Hydrista (w/m/d),2026-08-28,Roermond,163,41,,,,,,,,,,7697AC,Shopify; 41 markten; 163 artikelen; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/sales-assistant-hydrista-w-m-d-at-waterdrop%C2%AE-4455346916,A,
5,Infento,infento.com,❤️✨ Online Marketeer / Growth Hacker for World's Coolest Toy Company! 🛴🚀,2026-04-10,Amsterdam,,6,,trustpilot,,,,binnen 1 werkdag,support@infento.com,+31 20 261 64 50,,,woocommerce; 6 markten; eigen reviewplatform; belofte: binnen 1 werkdag,https://nl.linkedin.com/jobs/view/%E2%9D%A4%EF%B8%8F%E2%9C%A8-online-marketeer-growth-hacker-for-world-s-coolest-toy-company%21-%F0%9F%9B%B4%F0%9F%9A%80-at-infento-4399005602,A,
5,Voomy,voomy.com,E-commerce manager,2026-07-30,Capelle aan den IJssel,133,,,judgeme|trustedshops,,,maandag tot en met vrijdag van 9.00 tot 17.00,,support@voomy.nl,+31 85 130 14 59,,,Shopify; 133 artikelen; eigen reviewplatform; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/e-commerce-manager-at-voomy-4447036033,A,
5,PeterPrint,peterprint.nl,Tech Lead (lead developer),2026-09-15,Groningen,,2,,feedbackcompany,9.5,sterk,maandag tot en met vrijdag van 08:30 tot 17:00,binnen 2 uur,info@peterprint.nl,06 237 54 50,,,magento; eigen reviewplatform; desk dicht voor de avond; belofte: binnen 2 uur,https://nl.linkedin.com/jobs/view/tech-lead-lead-developer-at-peterprint-4465258198,A,
4,Almotion B.V.,almotion.nl,Medewerker commerciële binnendienst,2026-09-22,Elst,,,whatsapp|chatgpt-bot,,,,Maandag tot en met vrijdag van 8.00 tot 17.00,,info@almotion.nl,0133974251,09114908,6662 NG,woocommerce; betaalt voor chatgpt-bot; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/medewerker-commerci%C3%ABle-binnendienst-at-almotion-b-v-4470287628,AF,b2b
4,Alpina Group,alpina.com,Klantcontact medewerker,2026-09-01,Hoogeveen,,,whatsapp,,,,,,alpina@alpina.com,,,,magento; te weinig volumebewijs voor de band; geen telefoonlijn gevonden; zoekt klantcontact: Klantcontact medewerker; vacature staat nog open,https://nl.linkedin.com/jobs/view/klantcontact-medewerker-at-alpina-group-4460258610,AF,verzekeringsgroep
4,Amacx Sports Nutrition,amacx.com,AI-Driven Email &amp; Marketplace Specialist,2026-08-21,Noordwijk-Binnen,96,,,judgeme,,,Ma-Vrij: 9:00 - 17:00,,info@amacx.com,+31 71 737 0031,,2201 CW,Shopify; eigen reviewplatform; desk dicht voor de avond,https://nl.linkedin.com/jobs/view/ai-driven-email-marketplace-specialist-at-amacx-sports-nutrition-4457346846,A,
4,Icetubs,icetubs.com,Webflow &amp; Shopify Developer,2026-07-13,Amsterdam-West,,1,hubspot|whatsapp,trustpilot,,,,,,,,,betaalt voor hubspot; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/webflow-shopify-developer-at-icetubs-4440044522,A,
4,Fine Dining & Living,finediningandliving.eu,Customer Service Medewerker,2026-09-11,"Geel, Vlaanderen, België",,4,,,,,,,,+3214242900,,,magento; te weinig volumebewijs voor de band; b2b naast d2c; zoekt klantcontact: Customer Service Medewerker; vacature staat nog open,https://be.linkedin.com/jobs/view/customer-service-medewerker-at-fine-dining-living-4464847888,A,
4,HelloFresh,hellofresh.nl,Junior Content Marketing specialist (f/m/x),2026-09-16,Amsterdam,,,hubspot,trustpilot,,,,,,,54601312,1114 AE,betaalt voor hubspot; eigen reviewplatform; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/junior-content-marketing-specialist-f-m-x-at-hellofresh-4468251961,AF,"winkelketen of reus, buiten het ICP"
4,Hubo,hubo.nl,Campagne &amp; Content Marketeer,2026-07-10,Amersfoort,1000,,whatsapp,,,,,,,,,,Shopify; 1000+ artikelen; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/campagne-content-marketeer-at-hubo-4438329167,AF,bouwmarktketen
4,INTERSPORT Group,intersport.nl,E-COM Content Activation Manager,2026-09-22,Amsterdam Area,1000,,,,,,,,klantenservice@intersport.nl,,,,Shopify; 1000+ artikelen; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/e-com-content-activation-manager-at-intersport-group-4463863265,AF,winkelketen
4,ParfumWebshop,parfumwebshop.nl,CRM &amp; Campagne Specialist (26–30 uur),2026-09-01,Nieuw-Vennep,,,,trustpilot,4.9,sterk,ma-vr: 10:00 - 16:30,,,,,,magento; eigen reviewplatform; desk dicht voor de avond; geen telefoonlijn gevonden,https://nl.linkedin.com/jobs/view/crm-campagne-specialist-26%E2%80%9330-uur-at-parfumwebshop-4462001872,AF,reseller van andermans merken
