bedrijf,domein,domein_bron,functie,datum,plaats,aantal_vacatures,al_in_pool,vacature_url,zoekterm,scanstatus,platform,producten,markten,cs_tools,review_tools,webshop,b2b,winkeltaal,dienstverlener,kvk,postcode,telefoon,reviewaantal,is_cs,reviewscore,reviewschaal,reviewaantal_eigen,reviewbron,reviewplatform,review_url,reviewoordeel
Culture Kings,culturekings.com,geraden en bevestigd,Schadebehandelaar Zakelijk,2026-06-12,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/schadebehandelaar-zakelijk-at-culture-kings-4427993913,klantcontact,ok,shopify,,5,gorgias,yotpo,ja,,0,,,,,,,,,,geen score gevonden,yotpo,,
De Koffiejongens,dekoffiejongens.nl,geraden en bevestigd,Performance Marketing &amp; Data Specialist,2026-06-22,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/performance-marketing-data-specialist-at-de-koffiejongens-4431711553,brand manager webshop,ok,,,,,trustedshops,ja,,2,,,1401 AB,,,,4.8,5,2827,schema.org,trustedshops,https://dekoffiejongens.nl,sterk
De Variabele,devariabele.nl,geraden en bevestigd,Asbestverwijderaar,2026-09-04,Nijmegen,1,nee,https://nl.linkedin.com/jobs/view/asbestverwijderaar-at-de-variabele-4415921427,retourverwerking,ok,woocommerce,,,chatgpt-bot,,ja,,0,,,7005 AP,0800-7101,,,,,,geen score gevonden,,,
Doczero,doczero.com,geraden en bevestigd,Full Stack Developer,2026-09-21,Veghel,1,nee,https://nl.linkedin.com/jobs/view/full-stack-developer-at-doczero-4469865358,webcare,ok,woocommerce,,,hubspot,,ja,,0,demo aanvragen|api[- ]documen,17145850,5466 SB,,,,,,,geen score gevonden,,,
Dometic,dometic.com,geraden en bevestigd,Customer Service - Tents,2026-09-01,Oosterhout,1,nee,https://nl.linkedin.com/jobs/view/customer-service-tents-at-dometic-4429977053,online sales medewerker,ok,,,,,,ja,,2,,,,,,,,,,geen score gevonden,,,
Drunens Ruiterhuis,drunensruiterhuis.nl,geraden en bevestigd,Allround Klantenservice &amp; Administratie medewerker bij Drunens Ruiterhuis - fulltime,2026-09-22,Drunen,1,nee,https://nl.linkedin.com/jobs/view/allround-klantenservice-administratie-medewerker-bij-drunens-ruiterhuis-fulltime-at-drunens-ruiterhuis-4470418764,online sales medewerker,ok,magento,,,whatsapp,kiyoh,ja,,4,,18130789,2026 HV,0416373782,,ja,,,,geen score gevonden,kiyoh,,
Dustin,dustin.be,geraden en bevestigd,Customer Service Representative,2026-09-08,"Rotselaar, Vlaanderen, België",2,nee,https://be.linkedin.com/jobs/view/customer-service-representative-at-dustin-4464660222,klantenservice medewerker,ok,,,2,zendesk|chatgpt-bot,,ja,,2,demo aanvragen,,,,,ja,,,,geen score gevonden,,,
Dwelly,dwelly.nl,geraden en bevestigd,CRM &amp; Email Marketing Manager,2026-08-15,Nederland,1,nee,https://nl.linkedin.com/jobs/view/crm-email-marketing-manager-at-dwelly-4465316586,customer journey specialist,ok,shopify,177,4,,judgeme,ja,,1,,,,,,,,,,geen score gevonden,judgeme,,
Electro World,electroworld.nl,geraden en bevestigd,Verkoopmedewerker,2026-08-25,Vught,1,nee,https://nl.linkedin.com/jobs/view/verkoopmedewerker-at-electro-world-4458764109,medewerker webshop,ok,magento,,1,hubspot,feedbackcompany,ja,,3,,32089173,1000 WP,035-3032500 (,,,,,,geen score gevonden,feedbackcompany,,
ETC Nederland,etc-shop.nl,geraden en bevestigd,Logistiek medewerker,2026-09-09,Almelo,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-at-etc-nederland-4465066024,e-fulfilment medewerker,ok,,,8,,,ja,,3,,,,,,,,,,geen score gevonden,google,,
Evernex,evernex.com,geraden en bevestigd,Warehouse Operations Specialist - Uithoorn,2026-09-17,Uithoorn,1,nee,https://nl.linkedin.com/jobs/view/warehouse-operations-specialist-uithoorn-at-evernex-4459342708,retourverwerking,ok,woocommerce,,10,hubspot,,ja,,0,demo aanvragen,,,,,,,,,geen score gevonden,,,
Flextender,flextender.nl,geraden en bevestigd,Relatiemanager,2026-09-21,Eemnes,1,nee,https://nl.linkedin.com/jobs/view/relatiemanager-at-flextender-4469892063,klantcontact,ok,woocommerce,,,,,ja,,0,onze dienstver,,3755 EZ,0357510777,,,,,,geen score gevonden,,,
Greetz,greetz.nl,geraden en bevestigd,Brand &amp; Campaign Marketer (Dutch &amp; English Speaking),2026-09-07,Almere,1,nee,https://nl.linkedin.com/jobs/view/brand-campaign-marketer-dutch-english-speaking-at-greetz-4453466063,brand manager webshop,ok,,,,intercom|hubspot,trustpilot,ja,,2,,,,,,,,,,geen score gevonden,trustpilot,,
HBM Machines B.V.,hbmmachinesnl.com,geraden en bevestigd,Domein Lead Product to Market (32 - 40 uur),2026-09-03,Waddinxveen,2,nee,https://nl.linkedin.com/jobs/view/domein-lead-product-to-market-32-40-uur-at-hbm-machines-b-v-4461712718,webshop beheerder,ok,woocommerce,,,,,ja,,2,,,5506BD,,,,,,,geen score gevonden,,,
Heinen Delfts Blauw,heinendelftsblauw.nl,geraden en bevestigd,Marketing manager,2026-08-06,Putten,1,nee,https://nl.linkedin.com/jobs/view/marketing-manager-at-heinen-delfts-blauw-4450266759,brand manager webshop,ok,,,,hubspot,yotpo,ja,,4,,70420742,3881 LB,,,,,,,geen score gevonden,yotpo,,
Hooks Creative,hooks-creative.com,geraden en bevestigd,Medior Marketing Manager,2026-09-14,Haarlem,1,nee,https://nl.linkedin.com/jobs/view/medior-marketing-manager-at-hooks-creative-4467027704,brand manager webshop,ok,woocommerce,,,hubspot,,ja,,0,,,,,,,,,,geen score gevonden,,,
Intratuin,intratuin.nl,geraden en bevestigd,Magazijn medewerker 38 uur,2026-09-09,Emmeloord,1,nee,https://nl.linkedin.com/jobs/view/magazijn-medewerker-38-uur-at-intratuin-4462556555,magazijnmedewerker webshop,ok,magento,,1,,,ja,,2,,,3447 GG,,,,,,,geen score gevonden,,,
Koninklijke Ruig,ruig.nl,geraden en bevestigd,Productie Werkvoorbereider Assistent,2024-08-20,Oostzaan,1,nee,https://nl.linkedin.com/jobs/view/productie-werkvoorbereider-assistent-at-koninklijke-ruig-4005851388,retourverwerking,ok,woocommerce,,,,,ja,,0,api[- ]documen,34231436,1511 GE,,,,,,,geen score gevonden,,,
Lasaulec BV,lasaulec.nl,geraden en bevestigd,Commercieel Medewerker Binnendienst,2026-08-31,Almere,2,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-lasaulec-bv-4460058994,online sales medewerker,ok,,,,,,ja,ja,0,,,,,,,,,,geen score gevonden,,,
Lavastica International B.V.,lavastica.com,geraden en bevestigd,Vertegenwoordiger binnendienst,2026-08-11,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/vertegenwoordiger-binnendienst-at-lavastica-international-b-v-4430922775,online sales medewerker,ok,woocommerce,,,,,ja,,0,api[- ]documen,,3047 AT,0031102655070,,,,,,geen score gevonden,,,
LMW,mooiedomeinnaam.nl,geraden en bevestigd,Medewerker Support,2026-07-10,Breukelen,1,nee,https://nl.linkedin.com/jobs/view/medewerker-support-at-lmw-4439020724,klantenservice medewerker,ok,,,,whatsapp,,ja,,0,onze dienstver,,3353HC,+31888777555,,ja,,,,geen score gevonden,,,
Loopper.com,loopper.com,geraden en bevestigd,Sales Binnendienst / Junior Accountmanager,2026-09-16,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/sales-binnendienst-junior-accountmanager-at-loopper-com-4468204148,orderpicker webshop,ok,,,15,,trustpilot|kiyoh,ja,ja,0,,,,+44 20 4576 5960,"1,281",,9.3,10,1281,schema.org,trustpilot|kiyoh,https://www.loopper.com,sterk
Mobile Water,mobilewater.nl,geraden en bevestigd,Customer Innovation Specialist – Marketing &amp; Technology,2026-09-14,Breda,1,nee,https://nl.linkedin.com/jobs/view/customer-innovation-specialist-%E2%80%93-marketing-technology-at-mobile-water-4467056885,customer journey specialist,ok,woocommerce,,4,chatgpt-bot,,ja,,1,,52540979,4811 CA,0850607041,,ja,,,,geen score gevonden,,,
Mondial Relay,mondialrelay.nl,geraden en bevestigd,Senior Marketing Manager,2026-09-07,Vianen,1,nee,https://nl.linkedin.com/jobs/view/senior-marketing-manager-at-mondial-relay-4461864926,brand manager webshop,ok,,,7,hubspot,trustpilot,ja,,1,,,,,,,,,,geen score gevonden,trustpilot,,
Movares,movares.com,geraden en bevestigd,Projectleider Bodem,2026-09-04,Raalte,1,nee,https://nl.linkedin.com/jobs/view/projectleider-bodem-at-movares-4443877708,retourverwerking,ok,woocommerce,,,,,ja,,0,,,1058 EA,+31302655555,,,,,,geen score gevonden,,,
MyParcel,myparcel.nl,geraden en bevestigd,Customer Solutions Manager,2026-09-15,Hoofddorp,2,nee,https://nl.linkedin.com/jobs/view/customer-solutions-manager-at-myparcel-4467493526,orderpicker webshop,ok,woocommerce,,2,whatsapp,trustpilot,ja,,1,api[- ]documen,,0000FF,,,ja,,,,geen score gevonden,trustpilot,,
NIBHV,nibhv.nl,geraden en bevestigd,Medewerker Verkoop &amp; Advies,2026-07-25,Rotterdam,1,nee,https://nl.linkedin.com/jobs/view/medewerker-verkoop-advies-at-nibhv-4440532018,online sales medewerker,ok,woocommerce,,,hubspot,,ja,,1,api[- ]documen,,3067 GJ,+31102892888,,,,,,geen score gevonden,,,
PeterPrint,peterprint.nl,geraden en bevestigd,Tech Lead (lead developer),2026-09-15,Groningen,1,nee,https://nl.linkedin.com/jobs/view/tech-lead-lead-developer-at-peterprint-4465258198,orderpicker webshop,ok,magento,,2,,feedbackcompany,ja,,1,,,,+31882211500,,,9.5,10,1808,zichtbaar op de pagina,feedbackcompany,https://www.peterprint.nl,sterk
Philips,philips.nl,geraden en bevestigd,Logistiek Medewerker &amp; Warehouse Coördinator 7T MR,2026-09-02,Best,1,nee,https://nl.linkedin.com/jobs/view/logistiek-medewerker-warehouse-co%C3%B6rdinator-7t-mr-at-philips-4460983149,e-fulfilment medewerker,ok,,,,,,ja,ja,2,,,,,,,,,,geen score gevonden,,,
Piaggio Vespa B.V.,piaggio-vespa.nl,geraden en bevestigd,Marketingmanager,2026-08-28,Breda,1,nee,https://nl.linkedin.com/jobs/view/marketingmanager-at-piaggio-vespa-b-v-4460190990,brand manager webshop,ok,,,2,,,ja,,0,,,,,,,,,,geen score gevonden,,,
Pricewise,pricewise.nl,geraden en bevestigd,CRM &amp; Customer Data Specialist,2026-09-11,Amsterdam Area,1,nee,https://nl.linkedin.com/jobs/view/crm-customer-data-specialist-at-pricewise-4464887401,customer journey specialist,ok,,,,chatgpt-bot,trustpilot,ja,,0,,,1043 AJ,,,ja,,,,geen score gevonden,trustpilot,,
Probo.nl,probo.nl,geraden en bevestigd,Productiemedewerker,2026-08-20,Dokkum,2,nee,https://nl.linkedin.com/jobs/view/productiemedewerker-at-probo-nl-4456771854,packaging medewerker webshop,ok,magento,,,trengo,,ja,,2,,,,,,,,,,geen score gevonden,,,
Sam Friday,samfriday.com,geraden en bevestigd,Marketingmanager,2026-08-03,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/marketingmanager-at-sam-friday-2438183638,brand manager webshop,ok,,,,hubspot,,ja,,3,,,,,,,,,,geen score gevonden,,,
Snackpilot,snackpilot.nl,geraden en bevestigd,Sales Representative (m/f/d) - Full-time or Part-time Remote,2026-08-24,Nederland,1,nee,https://nl.linkedin.com/jobs/view/sales-representative-m-f-d-full-time-or-part-time-remote-at-snackpilot-4456505809,online sales medewerker,ok,shopify,65,183,zendesk,,ja,,1,,,,,,,,,,geen score gevonden,,,
Somnox,nl.somnox.com,geraden en bevestigd,Growth Marketeer,2026-09-15,Rotterdam,1,ja,https://nl.linkedin.com/jobs/view/growth-marketeer-at-somnox-4467727583,brand manager webshop,ok,woocommerce,,,intercom,trustpilot,ja,,2,,,3013 AK,0108994105,,,4.6,5,1332,zichtbaar op de pagina,trustpilot,https://nl.somnox.com/nl/home/,sterk
Spring Professional Belgium,springprofessional.be,geraden en bevestigd,Custmer Care FR/NL,2026-09-11,"Brussel, Brussels Hoofdstedelijk Gewest, België",1,nee,https://be.linkedin.com/jobs/view/custmer-care-fr-nl-at-spring-professional-belgium-4466082341,klantenservice medewerker,ok,woocommerce,,,,,ja,,0,,,,,,,,,,geen score gevonden,,,
Swap,swap.nl,geraden en bevestigd,Director of Product,2026-09-11,Amsterdam,1,nee,https://nl.linkedin.com/jobs/view/director-of-product-at-swap-4437035911,orderpicker webshop,ok,woocommerce,,,,,ja,,1,,,9351VA,,,,,,,geen score gevonden,,,
The Branding Club,thebrandingclub.com,geraden en bevestigd,Medior Accountmanager,2026-08-09,Utrecht,2,nee,https://nl.linkedin.com/jobs/view/medior-accountmanager-at-the-branding-club-4450977452,klantcontact,ok,shopify,,4,hubspot,,ja,ja,0,,,,,,,4.9,5,,zichtbaar op de pagina,google,https://www.thebrandingclub.com,sterk
The Neon Company,theneoncompany.nl,geraden en bevestigd,Inside Sales Medewerker - Commerciële Binnendienst | €2.500–€3.200 + performance bonus.,2026-08-20,Vianen,1,nee,https://nl.linkedin.com/jobs/view/inside-sales-medewerker-commerci%C3%ABle-binnendienst-%E2%82%AC2-500%E2%80%93%E2%82%AC3-200-%2B-performance-bonus-at-the-neon-company-4456719593,online sales medewerker,ok,woocommerce,,16,,,ja,,1,api[- ]documen,,4131NR,+31 30 207 24 67,,,,,,geen score gevonden,google,,
Van Leersum Dranken,vanleersumdranken.nl,geraden en bevestigd,Magazijnmedewerker in Den Haag,2026-05-26,Den Haag,2,nee,https://nl.linkedin.com/jobs/view/magazijnmedewerker-in-den-haag-at-van-leersum-dranken-4419197455,magazijnmedewerker webshop,ok,woocommerce,,,,,ja,ja,2,,,2491 DK,+0703550693,,,,,,geen score gevonden,,,
VCM Medical,vcmmedical.eu,geraden en bevestigd,ICT/Service technicus Medisch,2026-09-13,Leusden,1,nee,,webcare,ok,woocommerce,,,,,ja,ja,1,,,3833GN,,,,,,,geen score gevonden,,,
Veris Bouwmaterialengroep BV,veris.nl,geraden en bevestigd,Directeur inkoop,2026-09-21,Gorinchem,1,nee,https://nl.linkedin.com/jobs/view/directeur-inkoop-at-veris-bouwmaterialengroep-bv-4469961717,voorraadbeheer webshop,ok,woocommerce,,,,,ja,ja,0,,30219442,4202 MS,,,,,,,geen score gevonden,,,
Vernay,vernay.com,geraden en bevestigd,Shift Manager,2026-03-26,Oldenzaal,1,nee,https://nl.linkedin.com/jobs/view/shift-manager-at-vernay-4391383581,retourverwerking,ok,woocommerce,,,,,ja,,0,,,1863DC,4049942000,,,,,,geen score gevonden,,,
Visser & Visser BV,visservisser.nl,geraden en bevestigd,Inkoper,2026-09-07,Breda,1,nee,https://nl.linkedin.com/jobs/view/inkoper-at-visser-breda-4462936534,voorraadbeheer webshop,ok,woocommerce,,,,,ja,,0,,,3131KX,0031104115620,,,,,,geen score gevonden,,,
VOIPZeker,voipzeker.nl,geraden en bevestigd,Sales &amp; Customer Success Medewerker,2026-09-16,Den Haag,1,nee,https://nl.linkedin.com/jobs/view/sales-customer-success-medewerker-at-voipzeker-4468218269,online sales medewerker,ok,woocommerce,,,intercom,,ja,,1,,,2171 TR,0031880660550,,ja,9.6,10,,zichtbaar op de pagina,google,https://voipzeker.nl,sterk
VTS Track Solutions,vtstracksolutions.com,geraden en bevestigd,Commercieel medewerker binnendienst,2026-08-24,Maarheeze,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-at-vts-track-solutions-4443233675,online sales medewerker,ok,woocommerce,,5,,,ja,,0,,17217384,6026RB,+31495590320,,,,,,geen score gevonden,,,
Vulcor Insulation,vulcor.com,geraden en bevestigd,Commercieel Medewerker Binnendienst | Sales &amp; Customer Service,2026-09-15,Heteren,1,nee,https://nl.linkedin.com/jobs/view/commercieel-medewerker-binnendienst-sales-customer-service-at-vulcor-insulation-4467724111,online sales medewerker,ok,woocommerce,,,,,ja,,0,,,6666 MG,+31488700202,,ja,,,,geen score gevonden,,,
Westfalen Medical BV,westfalenmedical.com,geraden en bevestigd,Medewerker logistiek (40 uren/ week),2026-08-28,Deventer,1,nee,https://nl.linkedin.com/jobs/view/medewerker-logistiek-40-uren-week-at-westfalen-medical-bv-4460349078,logistiek medewerker webshop,ok,woocommerce,,1,,,ja,,2,api[- ]documen,52789055,7418 EW,0570858450,,,,,,geen score gevonden,,,
Wibra,wibra.nl,geraden en bevestigd,Inkoopassistent,2026-09-07,Epe,2,nee,https://nl.linkedin.com/jobs/view/inkoopassistent-at-wibra-4464305628,voorraadbeheer webshop,ok,woocommerce,,,zendesk,trustpilot,ja,ja,3,,,,+31578676333,,,4.6,5,,zichtbaar op de pagina,trustpilot,https://www.wibra.nl,sterk
Wielervoeding.nl,wielervoeding.nl,geraden en bevestigd,Allround Medewerker bij Wielervoeding.nl - Veghel,2026-08-04,Uden-Veghel en omgeving,1,nee,https://nl.linkedin.com/jobs/view/allround-medewerker-bij-wielervoeding-nl-veghel-at-wielervoeding-nl-4449083338,logistiek medewerker webshop,ok,,,,whatsapp,,ja,,4,,73775398,2000 AA,,,,,,,geen score gevonden,,,
Willem Dijk AGF,willemdijk.nl,geraden en bevestigd,Loodsmedewerker,2026-04-09,Enschede,1,nee,https://nl.linkedin.com/jobs/view/loodsmedewerker-at-willem-dijk-agf-4399861654,logistiek medewerker webshop,ok,woocommerce,,4,,,ja,ja,0,veiling,,7547 SJ,+31534325800,,,,,,geen score gevonden,,,
Winparts,winparts.be,geraden en bevestigd,CRM Specialist,2026-09-15,Groningen,2,nee,https://nl.linkedin.com/jobs/view/crm-specialist-at-winparts-4467718687,customer journey specialist,ok,,,8,,kiyoh,ja,,0,,,6718XP,,,,,,,geen score gevonden,kiyoh,,
Worldstream - Solid IT. No Surprises.,worldstream.com,geraden en bevestigd,TechCare Engineer,2026-08-04,Naaldwijk,1,nee,https://nl.linkedin.com/jobs/view/techcare-engineer-at-worldstream-solid-it-no-surprises-4460827507,webcare,ok,,,,freshdesk,,ja,,0,api[- ]documen,,,,,,,,,geen score gevonden,,,
Zolemba B.V.,zolemba.nl,geraden en bevestigd,Customer Service Medewerker,2026-08-04,Haaksbergen,1,nee,https://nl.linkedin.com/jobs/view/customer-service-medewerker-at-zolemba-b-v-4448556738,online sales medewerker,ok,,,26,,,ja,,0,,,7482 GZ,,,ja,,,,geen score gevonden,,,
