bedrijf,domein,plaats,naam,rol,bron,status,notitie
Goldbergh,goldbergh.com,,Sandra Peet,mede-oprichter,Quote + FashionUnited,GEVERIFIEERD,"51 procent bij Stone Fashion Group, Zweeds Scope Capital heeft nu de meerderheid. Omzet 39 mln"
Zelesta,zelesta.nl,,Sven Bosschaart,oprichter en CEO,Wonen360 + Interior Business,GEVERIFIEERD,"omzet richting 50 mln, 45 fte"
Ledhandel24.nl,ledhandel24.nl,,Rob Haarhuis,oprichter en eigenaar,eigen over-ons + Trekkerweb merkpartnerpagina en Trekker/Boerderij december 2023 over de LED Guide,GEVERIFIEERD,"grootste webshop agrarische LED-werkverlichting in NL, BE en LU"
Impermo,impermo.nl,,Ann Gijsens,CEO,Made-in.be + Voka + eigen over-ons,GEVERIFIEERD,"Belgisch familiebedrijf Stultjens, vierde generatie, groeit 20 procent per jaar. Opvolging van Gijsens loopt"
Zero Friction,zerofriction.com,,,,,AF,"naamverwarring: zerofriction.com is een Amerikaans golfmerk, het Gentse Zero Friction is software"
Onlineverf.nl,onlineverf.nl,,Jan-Willem Harmsen,"oprichter, aandeelhouder en directeur",LinkedIn + Emerce + Interior Business,GEVERIFIEERD,genomineerd Ondernemer van het Jaar 2024 gemeente Bronckhorst
CAVALLARO NAPOLI,cavallaronapoli.com,,Giuseppe Cavallaro,oprichter en eigenaar,Textilia + Masters Expo + CTS Group,GEVERIFIEERD,"sinds 1999, 19 winkels en 250 verkooppunten"
Proforto®,proforto.nl,,Jelle Gudden,mede-oprichter,MenA.nl + Ronnie Overgoor,GEVERIFIEERD,"samen met Rik Burgersdijk, 50 mln omzet, Nobel Capital"
Drunens Ruiterhuis,drunensruiterhuis.nl,,Tom Ruisbroek,eigenaar,LinkedIn + eigen meet-the-team,GEVERIFIEERD,"sinds 1974, winkel plus webshop plus groothandel"
Cartouche Fashion,cartouchefashion.com,,Fred van der Steen,algemeen directeur,"FashionUnited '40 jaar Cartouche' + LinkedIn 'Fred Van Der Steen - managing director at cartouche fashion'. LET OP: Cartouche Fashion in Alphen (riemen en leergoed) is een ANDER bedrijf dan Cartouche Mode in Drunen (damesmode, familie Jose en Maurice)",GEVERIFIEERD,"riemenfabrikant in Drunen, 35 medewerkers. Rob van der Steen is mede-eigenaar"
Baktotaal,baktotaal.nl,,Gerrit Bouwhuis,eigenaar,LinkedIn + eigen over-ons,GEVERIFIEERD,"familiebedrijf Bouwhuis, Bas Bouwhuis doet online marketing"
Dutch Jerky,dutchjerky.com,,Jasper Poldervaart,mede-oprichter,auteurspagina dutchjerky.com + ons-verhaal,GEVERIFIEERD,"samen met Max, vleesspecialist uit Waterland"
Snackpilot,snackpilot.nl,,Fadi,CEO,eigen about-us,DEELS,"alleen voornaam publiek. Sinds 2016, snackboxen, levert DE/AT/CH"
Hart Beach,hartbeach.nl,,Paul Schuitema,"eigenaar, samen met broer Romke",LinkedIn + Big Improvement Day,GEVERIFIEERD,
BONO,bono.nl,,Justin Regterschot,oprichter en CEO,LinkedIn + Ecommercenews,GEVERIFIEERD,"begon 2012 als Verbeterhaar.nl, Oostzaan, 400-500 orders per dag"
Detailrs,detailrs.nl,,Leon Verstraaten,oprichter en eigenaar,Eindhovens Dagblad + eigen ons-verhaal,GEVERIFIEERD,"Oss, 22 jaar, 15 medewerkers, 7.500 Trustpilot-reviews"
Eve Curls,evecurls.nl,,Ewa Delezuch-Ntambala,mede-oprichter,eigen over-ons + haarspullen.nl,GEVERIFIEERD,samen met zoons Timothy en Lukas Ntambala
Superyoga,superyoga.nl,,Guido Wattel,eigenaar,LinkedIn + eigen site,GEVERIFIEERD,"grootste yogashop NL/BE, 700 producten, 200.000 klanten"
Heinen Delfts Blauw,heinendelftsblauw.nl,,Jorrit Heinen,"directeur en eigenaar, derde generatie",LinkedIn + eigen verhaalpagina,GEVERIFIEERD,
Tegeltje.nl,tegeltje.nl,,"van den Heiligenberg, G.",bestuurder,"handelsregister via companyinfo, 2026-03-24",DEELS,"Tolnasingel 3 Bodegraven, alleen team genoemd | alleen achternaam met initiaal, voornaam nog opzoeken"
waterdrop®,waterdrop.nl,,"Kalasjov, A.",Algemeen directeur,"handelsregister via companyinfo, 2026-04-08",DEELS,"hoofdkantoor is Oostenrijks, CEO Martin Murray. Benelux-ingang is Dethier | alleen achternaam met initiaal, voornaam nog opzoeken"
Infento,infento.com,,Rogier Groen,mede-oprichter,"LinkedIn + auteurspagina infento.com + handelsregister (Groen, R.)",GEVERIFIEERD,"samen met Sander Letema, constructiespeelgoed"
Voomy,voomy.com,,Mitchell Drion,mede-oprichter,LinkedIn + eigen over-voomy,GEVERIFIEERD,"The Brand Lab BV, Capelle aan den IJssel. Samen met Tim, sinds 2020"
PeterPrint,peterprint.nl,,Ferry Lammerts,eigenaar en oprichter,eigen blog-auteurspagina + case TwoBirds Company,GEVERIFIEERD,"online drukkerij Groningen, uitgebreid naar Belgie"
Amacx Sports Nutrition,amacx.com,,Gino Vierhouten,algemeen directeur,Belgian Cycling + eigen nieuwsberichten,GEVERIFIEERD,sportvoedingspartner van Belgian Cycling en de KNWU
Icetubs,icetubs.com,,Chiel Kraai,oprichter en eigenaar,JFK + Kijk op Noord-Holland,GEVERIFIEERD,ook eigenaar van Welvaere. Rico Verhoeven is aandeelhouder
Fine Dining & Living,finediningandliving.eu,,Timo Keersmaekers,CEO,"LinkedIn + bestuurdersregister pappers.be (KETI, sinds 01-07-2011)",GEVERIFIEERD,"Herentalseweg 66 Geel BE, omzet 25,1 mln, voorheen Aerts NV. Jonas Vandecruys is 2e bestuurder"
Dwelly,dwelly.nl,,,,,OPEN,"Amsterdam, draadloze designverlichting. Naam niet publiek"
Greetz,greetz.nl,,Christine Ronteltap-van der Bent,Country Manager Nederland sinds juli 2024,Marketing Report + eigen managementpagina,GEVERIFIEERD,"Amal Kamar is marketingdirecteur. Greetz is groot, mogelijk boven de band"
Foxelli Group,foxelli.com,,Armantas Bakas,"mede-oprichter, CEO en eigenaar",Crunchbase + CB Insights,GEVERIFIEERD,"Litouws, volledig remote, richt zich op de Amerikaanse markt. 30 mln dollar omzet"
Vedder & Vedder,vedder-vedder.nl,,Anne Vedder,mede-oprichter en eigenaar,MarketingTribune + Quote + RetailTrends,GEVERIFIEERD,"tweelingzussen Anne en Esther, sinds 2016, 60 medewerkers, 35 landen, 100 procent eigen handen"
Inktweb.nl,inktweb.nl,,Marc van Raai,mede-oprichter,about.me + eigen over-ons,GEVERIFIEERD,"Alkmaar, sinds 2008, samen met Patrick Tyc"
Interieurwereld van de Belt,interieurwereld.nl,,Bert Rossing,commercieel directeur,LinkedIn + eigen over-ons,GEVERIFIEERD,"Van de Belt Beheer BV, Rogat, familiebedrijf sinds 1951"
MARC INBANE® Official,marcinbane.com,,Bart Engel,oprichter en eigenaar,eigen Facebook + over-ons,GEVERIFIEERD,"zelfbruiners, sinds 2012, internationaal"
Van Leersum Dranken,vanleersumdranken.nl,,Tim van Leersum,directeur en eigenaar,LinkedIn + eigen over-ons,GEVERIFIEERD,"tweede generatie met broer Bo. LET OP: groothandel voor horeca, mogelijk b2b"
Style Woerden,stylewoerden.nl,,Robin Bodenstaff,mede-eigenaar,RetailTrends + Twinkle,GEVERIFIEERD,"dochter van Rob Bodenstaff, zelfde familiebedrijf"
the Store Woerden,thestorewoerden.nl,,Rob Bodenstaff,eigenaar,RetailTrends + Twinkle + KVK (VOF Bodenstaff en van Putten),GEVERIFIEERD,"40 jaar in kleding, 200-700 pakketten per dag, dochter Robin startte de webshop"
Butik Alkmaar,butikalkmaar.nl,,Angelique Schouten,oprichter en eigenaar,Textilia + FashionUnited + eigen about-us,GEVERIFIEERD,"sinds 2012, drie winkels in Alkmaar plus webshop"
Antracite,antracite.com,,Dagmar van Ham,strategisch adviseur,casepagina Opklopper,DEELS,"rol is adviseur bij de overgang van b2b naar d2c, niet bevestigd als eigenaar. Breda, sinds april 2020"
Things I Like Things I Love,thingsilikethingsilove.com,,Petra Verwaal,mede-eigenaar,Textilia + LinkedIn + FashionUnited,GEVERIFIEERD,"samen met Sanne Overmaat sinds 2012, dertien winkels plus webshop"
Trendmode,trend-mode.nl,,,,,OPEN,"onderdeel van Modenique Store, KVK 94157928, Treubstraat 10 F008 Rijswijk. Bedrijvencentrum-adres, ICP-fit checken"
Equalite,equalite.nl,,Gurhan Tuzemen,oprichter en CEO,Rabobank + Textilia + FashionUnited,GEVERIFIEERD,"streetwear sinds 2019, flagshipstore Rotterdam"
Son of a Beach,sonofabeach.nl,,Lukki Janssen,bedrijfsleider,eigen impressum sonofabeach.nl + KVK-vermelding,GEVERIFIEERD,"Retselseweg 12B, Heeswijk-Dinther"
Mascolori,mascolori.nl,,Jochem Grund,oprichter en eigenaar,OPEN Rotterdam + RetailTrends + modeblog,GEVERIFIEERD,"sinds 2011, runt het nu met zijn broer"
Feliz Shoes,felizshoes.com,,Dorien de Herdt,ontwerper en oprichter,Schoenvisie + eigen ons-verhaal,GEVERIFIEERD,"Amsterdam, Herenstraat, productie in Spanje en Portugal"
Fashion Specs,fashionspecs.com,,,,,AF,"merk van Sunoptic International, gevestigd in Duitsland/VK/Gibraltar, geen Nederlandse of Belgische entiteit"
Northgate Watches,northgatewatches.com,,Willem Kamerman,ontwerper en eigenaar,LinkedIn + Opklopper-case,GEVERIFIEERD,horloges met wijzerplaten van Nespresso-cups
La Luna Bags,lalunabags.nl,,,,,OPEN,"merk van VOF EF&D, Heerenveen, KVK 01101444"
Bamboosa,bamboosa.nl,,Adike van der Helm,ecommerce merchandise en brand manager,casepagina Opklopper met citaat + eigen site,GEVERIFIEERD,"bamboe basics sinds 2019, productie Turkije"
Tenue Soleil,tenuesoleil.com,,Daniel Kadouch,"oprichter, dermatoloog",LINDA + B Corp + Etos,GEVERIFIEERD,"samen met echtgenote Evelyne. B Corp, UV-kleding en SPF"
Nyn Vintage,nynvintage.com,,Nynke Boonstra,oprichter,COSH + eigen about-us,GEVERIFIEERD,"Amsterdam, twee winkels plus webshop"
Heart Essence Sisters,heartessencesisters.com,,Julia,mede-oprichter,eigen about-us,DEELS,"zussen Julia en Daniela, cacaolabel sinds eind 2022. Achternamen niet publiek"
Snackje,snackje.com,,,,,OPEN,"Duiven/Arnhem, internationale snacks, geen naam publiek"
Yama Food Shop,yamafoodshop.nl,,Chih-Sung Ma,"CEO, derde generatie",eigen historie-pagina + LinkedIn,GEVERIFIEERD,"familiebedrijf sinds 1966, Japanse producten"
Pure Kakaw,purekakaw.com,,Erik Westerduin,mede-oprichter,Ananda-blog + Microdosing-podcast + eigen about-us,GEVERIFIEERD,"samen met partner Leonie, ceremoniele cacao"
Coffee Factory,coffeefactory.nl,,Ron Hagestein,eigenaar,LinkedIn + interview 078MEDIA,GEVERIFIEERD,"Dordrecht, grootste Jura-dealer van Nederland"
Heirloom Pantry Club,heirloompantryclub.nl,,,,,AF,"te klein voor het ICP: 12 artikelen, haalt de 100 tickets per week niet"
Fits4kids,fits4kids.store,,David Branderhorst,eigenaar DR Commerce,LinkedIn + Company.info,GEVERIFIEERD,"DR Commerce VOF, Waalwijk, KVK 86534815"
361 Europe,361europe.com,,,,,OPEN,"Kruisweg 643 Hoofddorp, KVK 66674999. Jurian Elstgeest vertrok juni 2021, niet gebruiken"
Hang Eleven,hang-eleven.com,,Rens van der Schoot,oprichter en creative director,LinkedIn + Hanglos + eigen about-us,GEVERIFIEERD,"Amsterdam, Haarlemmerdijk, kitesurf-lifestyle sinds 2019"
Skor,skor.nl,,Marcel Schorn,oprichter,eigen historie-pagina + LinkedIn,GEVERIFIEERD,"samen met broer Erwin sinds 2001 als ERMA, Jeffrey Jonkman is commercieel directeur. LET OP: sportvelden en doelen, mogelijk b2b"
Dynamic Bike Care,dynamicbikecare.com,,Rob Fleu,eigenaar en CEO,LinkedIn + Bicycle Retailer juli 2024,GEVERIFIEERD,"kocht merk Dynamic in 2020 van Garmin, sponsor Red Bull-BORA"
Lasas en Loekov,lasasenloekov.nl,,Saskia,mede-oprichter,CBW + eigen de-winkel-pagina,DEELS,"broer en zus Saskia (Lasas) en Loek (Loekov) sinds 2014, Grote Marktstraat Den Haag. Achternaam niet publiek"
Frankly Amsterdam,frankly.amsterdam,,Femke Derks,oprichter en eigenaar,LinkedIn + VOS Design + MisterDesign,GEVERIFIEERD,"luxe textiel, begon 7 jaar geleden als Fem Home"
Kas20,kas20.nl,,Gijs van Nieuwmegen,oprichter,LinkedIn + eigen over-ons,GEVERIFIEERD,"familiebedrijf met broer Tom (verkoop) en zus Fleur (kantoor en styling), vijf woonwinkels en eigen fabriek"
Cejor Wonen,cejorwonen.nl,,,,,OPEN,"Eemnes, KVK 95892141. Over-ons noemt geen naam, LinkedIn evenmin"
Abrigu,abrigu.nl,,,,,OPEN,"bamboe beddengoed, geen naam op site of LinkedIn"
Felman,felman.shop,,Marijke Veldhoen,slaapexpert,Business Class + Ondernemerslounge RTL7 + LinkedIn,DEELS,"rol als oprichter blijft onbevestigd, wel het publieke gezicht van Felman Bedden"
Studio Sif,studiosif.com,,Saskia Jacobs,oprichter en ontwerper,eigen pagina About Sif + studiosif.nl Ons verhaal,GEVERIFIEERD,"begon 2017 met een mand voor haar teckel Sif, handgemaakt in Nederland"
Nevvi Dog,nevvidog.com,,,,,AF,"te klein voor het ICP: 31 artikelen, haalt de 100 tickets per week niet"
Layzin Skin,layzinskin.com,,S. Polat,oprichter,LinkedIn LAYZIN,DEELS,"alleen initiaal publiek, voornaam onbekend"
Korean Wonder,koreanwonder.nl,,Eda,"mede-oprichter, huidtherapeut",eigen over-ons,DEELS,"samen met Amarantha, Skintherapy Clinics Alkmaar, team van zes"
Nasomatto,nasomatto.com,,Alessandro Gualtieri,oprichter en parfumeur,Wallpaper + Fragrantica + Osmetheca,GEVERIFIEERD,"Italiaans, gevestigd in Amsterdam, ook achter Orto Parisi"
Jutkey,jutkey.nl,,Gea Jutjens,"eigenaar, tweede generatie","eigen over-jutkey + LinkedIn 'Gea Jutjens - Owner, Jutkey Sleutel- en Slotentechniek'; nam over van haar vader Wim",GEVERIFIEERD,"Amsterdam, sleutels en sloten sinds 1980, webshop verzendt internationaal"
Rc Motorsports,rcmotorsports.nl,,Robert van Ginhoven,eigenaar,eigen over-ons + YouTube-reportage,GEVERIFIEERD,"Nieuwerkerk aan den IJssel, webshop sinds 2020, winkel sinds 2022"
de Hobbit,dehobbit.nl,,,,,OPEN,"Heerhugowaard, Nijverheidsplein 1A, sinds 1981. Naam niet publiek"
Vivara,vivara.nl,,Peter Oly,CEO,The Org + RocketReach + LeadIQ,DEELS,"alle drie aggregators, dus geen bewijs volgens de beslisserpoort. Energieweg 16 Venray, circa 201 medewerkers"
Baskèts,baskets-store.com,,Matty J. M. Hofstede,oprichter,eigen meet-the-brand + Amsterdam Magazine,GEVERIFIEERD,"sinds 2012, winkels in Jordaan en De Pijp"
Dekbed discounter,dekbed-discounter.nl,,Niels Verwij,oprichter en CEO,Quote + Marketingfacts + Twinkle,GEVERIFIEERD,"sinds 2014, CEO van moederbedrijf Jamani. Ben Mandemakers is mede-eigenaar"
Diamond Point,diamondpoint.net,,Sammy van Gelder,commercieel directeur,Chapeau Magazine + eigen heritage-pagina,GEVERIFIEERD,"familiebedrijf Van Gelder, vijf generaties, sinds 1904, zeven winkels in de Bijenkorf"
Gisou,gisou.com,,Negin Mirsalehi,mede-oprichter,Forbes + Glossy + eigen story,GEVERIFIEERD,"samen met partner Maurits Stibbe, sinds 2015. Internationaal groot"
John Beerens,johnbeerens.com,,John Beerens,oprichter en eigenaar,eigen over-ons + The Org,GEVERIFIEERD,grootste beautywebshop van de Benelux sinds 2004
Mason Garments,masongarments.com,,Rendi Aditia,oprichter en head of design,eigen about-us + Facebook,GEVERIFIEERD,"sinds 2012, Amsterdam, productie in Italie"
Natural High,surfshop.natural-high.nl,,Jorgen Borsboom,mede-oprichter,VisitGO + eigen about-us,GEVERIFIEERD,"samen met Onno Meinen, Ouddorp, bestaat 20 jaar, surfshop plus beachclub"
No excess,no-excess.com,,Roel de Veer,oprichter en eigenaar,FashionUnited + Vakblad Mannenmode,GEVERIFIEERD,"sinds 1988, Amsterdam-Zuid, internationaal in herenmode"
NØORDCODE,noordcode.com,,Eduard de Wilde,oprichter,dewilde.com + eigen about-us + LinkedIn,GEVERIFIEERD,"sinds 2018, functionele voeding en supplementen, ook achter LiveHelfi"
OGÉR,oger.nl,,Martijn Lusink,CEO sinds 2018,Wikipedia + MT/Sprout,GEVERIFIEERD,"broer Sander is brand director, vader Oger Lusink is naamgever"
Olivia & Kate,oliviakate.nl,,Janina Pakasi,oprichter en eigenaar,LinkedIn + Webhelden + Drimble,GEVERIFIEERD,"Haarlem, boutique aan de Anegang, BV sinds 2016"
REV’IT!,revitsport.com,,Ivan Vos,oprichter en CEO,Nyenrode + Consultancy.nl,GEVERIFIEERD,"sinds 1995 in Oss, motorkleding, nieuw distributiecentrum"
STËLZ,drinkstelz.com,,Milan Voet,oprichter,Quote + MT/Sprout + Wikipedia,GEVERIFIEERD,"hard seltzer sinds 2020, Heineken heeft minderheidsbelang, Monica Geuze aandeelhouder"
Stoov,nl.stoov.com,,Niek Veendrick,CEO,Change Inc + MT/Sprout,GEVERIFIEERD,oprichter Teun van Leijsen is geen CEO meer. Veendrick was eerder CEO van Greetz
Tirisi,tirisi.com,,Natascha Rotstein-Zuchouwski,eigenaar,Ha Juweliers + merkpagina's,GEVERIFIEERD,"samen met Julian Rotstein sinds 2010, Amsterdam"
ACAZA,acaza.nl,,Bruno De Clerck,zaakvoerder en eigenaar,KBO/pappers.be gedelegeerd bestuurder 14-11-2022 + Crunchbase,GEVERIFIEERD,"Industrielaan 4 Heule BE, 25,9 fte, sinds 2010"
Amalys,amalys.com,,Adrien Voisin,oprichter,MasterHorologer jan 2018 + eigen about-us amalys.ie,GEVERIFIEERD,"Belgisch horlogemerk sinds november 2017, Brussel, verwisselbare bandjes"
Bambaw,nl.bambaw.com,,Max de Hemptinne,mede-oprichter,hub.brussels bedrijfsportret + LinkedIn 'Maxime de Hemptinne - Co-founder and Chief Waste Warrior' + eigen site 'de tweelingbroers Max en Augustin',GEVERIFIEERD,"tweelingbroers Max en Augustin, sinds 2015/2016, zero waste"
De Troubadour Interieurs,detroubadour.nl,,Alex de Boggende,directeur operations,LinkedIn + RocketReach,GEVERIFIEERD,"Mitchell van Vliet is verkoopdirecteur. Amstelveen, 50 medewerkers"
Dierendonck,dierendonck.be,,Hendrik Dierendonck,eigenaar,Forbes Belgie + VisitFlanders + RetailDetail,GEVERIFIEERD,"tweede generatie, boerderij, twee productiesites, vijf winkels, webshop en twee restaurants"
Dreambaby,dreambaby.com,,Bavo Vanhalst,CEO van de groep,De Rijkste Belgen + eigen nieuws,GEVERIFIEERD,"familie Vanhalst, Supra Bazar. Nam de keten over van Colruyt, 8 nieuwe winkels in 2026"
FitnessKing,fitnessking.be,,Sam Meert,executive manager,LinkedIn be + bedrijfspagina Fitnessking,GEVERIFIEERD,"Dendermonde BE, familiebedrijf sinds 2007, 11-50 medewerkers, grootste showroom Benelux"
GIMBER,gimber.com,,Dimitri Oosterlynck,oprichter,Gault&Millau + Club Soda + eigen site,GEVERIFIEERD,"Belgisch, gemberconcentraat sinds november 2017"
HappyBed,thehappybed.com,,Willem van den Eertwegh,mede-oprichter en eigenaar,Wonen360 + BNR + eigen over-ons,GEVERIFIEERD,"samen met Sierd Zijlstra, Impora BV in Eersel, sinds 2022, 300.000 dekbedden, nu ook bij Beter Bed"
HUB Footwear,hubfootwear.com,,Huub van Boeckel,oprichter,eigen site + Schuurman + Sneakers.nl,GEVERIFIEERD,"sinds 2004, Den Haag, oud-tennisprof. Tim Rompa is mede-oprichter"
Local Taste,local-taste.nl,,Thom van den Bossche,mede-oprichter,voordekunst-project + City Webshop Breda + bol.com kookboek,GEVERIFIEERD,"samen met Bodine van de Looij, Breda, horecabeleving en kookboek 076 Gerechten"
Luvion Premium Babyproducts,luvion.nl,,,,,OPEN,"Delft, twee broers sinds 2005/2007. Kandidaten zonder rolbevestiging: Steven Stoop, Thijs van Engeland"
Maatkasten Online,maatkastenonline.nl,,Loic Van Laeken,mede-oprichter,LinkedIn + eigen over-ons,GEVERIFIEERD,"samen met Nick Van Kranenburg, opgericht 1 april 2015"
MKC Moto,mkcmoto.com,,,,,OPEN,Mark Bos is per 2023 vertrokken als gezicht en alleen nog aandeelhouder (Nieuwsmotor). Richa/Rigaux heeft de meerderheid. Huidige directie opzoeken
myenergi bv,myenergi.com,,Andrew Clint,group CEO,"eigen newsroom myenergi.com + BusinessCloud + EV Fleet World, per januari 2025",DEELS,"zit in Grimsby (VK). Voor een Nederlandse kaart is de Benelux-verantwoordelijke de juiste persoon, die is nog niet gevonden"
Natulim,natulim.com,,,,,AF,"Spaans merk, geen Nederlandse entiteit"
Numsy,numsy.nl,,Misha,mede-oprichter,eigen over-numsy + reviewsites,DEELS,"samen met Mike, sinds 2019. Achternamen niet publiek"
Pharma & More BV,pharmamore.com,,Dries Van De Walle,oprichter,eigen site + LinkedIn,GEVERIFIEERD,"Belgisch, Destelbergen. Vijf merken, 1.500 verkooppunten in BE en LU"
QOOZII,qoozii.com,,Andreas Vertommen,mede-oprichter,LinkedIn,GEVERIFIEERD,"draadloze verlichting, Keerbergen BE"
RINSMA MODEPLEIN,rinsmamodeplein.nl,,Henk-Jan IJtsma,algemeen directeur,RetailTrends + eigen team-pagina,GEVERIFIEERD,"familiebedrijf sinds 1888, Gorredijk. Anna Rinsma is directeur, Wytze Peenstra mede-eigenaar"
Rubio Monocoat,rubiomonocoat.nl,,Benoit Muylle,CEO,Eurabo + Ampliz + EverybodyWiki,GEVERIFIEERD,"merk van Muylle-Facon uit Izegem, sinds 1906, actief in 82 landen"
Santens,santens.be,,,,,AF,"badlinnenbedrijf in Oudenaarde gesloten in 2015, merk in Franse handen. Geen NL/BE-entiteit meer"
Smart Toys and Games,smarttoysandgames.com,,Rolf Vandoren,mede-oprichter en CEO,Wikipedia + eigen ons-verhaal,GEVERIFIEERD,"Kontich, sinds 1992, merken SmartGames, SmartMax, GeoSmart"
Xpozer,xpozer.com,,Clemens van Os,CEO en mede-oprichter,LinkedIn + Caballero Fabriek,GEVERIFIEERD,"samen met Ivan, beiden TU Delft"
Compex Belgie,compex.com,,,,,AF,"Zwitsers merk, geen Belgische of Nederlandse entiteit"
Reypenaer,reypenaer.nl,,Rien van den Wijngaard,algemeen directeur,Wijngaard Kaas + Wikipedia,GEVERIFIEERD,"familiebedrijf Woerden sinds 1936, vierde generatie"
Wolk Airbag,wolkairbag.com,,Mark Berkhout,CEO sinds 1 september 2026,eigen nieuwsbericht + team-pagina,GEVERIFIEERD,"oprichters Filippo van Hellenberg Hubar en Mendes Hogestyn, TU Delft. Zorgproduct, mogelijk b2b"
Suitical,suitical.com,,Melvin Kok,managing director,LinkedIn + GlobalPETS-profiel,GEVERIFIEERD,"sinds juni 2014, zusterbedrijf Medical Pet Shirts"
Loop Earplugs,loopearplugs.com,,Dimitri O,mede-oprichter en CEO,LinkedIn + eigen press corner + Forbes,GEVERIFIEERD,"samen met Maarten Bodewes, Antwerpen, 126,5 mln omzet in 2023. Ver boven de band"
Neonsfeer,neonsfeer.nl,,,,,OPEN,"Den Bosch, 7.000 klanten, 9,6 gemiddeld. Naam niet publiek"
Protest,protest.eu,,Wesley van Wijnbergen,managing director,"FashionUnited jan 2022 + Boardsport SOURCE, nog in functie juni 2026",GEVERIFIEERD,"Warmond, ~20 jaar bij Protest. Caroline Dekker is eigenaar/CEO"
Lampenlicht,lampenlicht.nl,,Ard Huisert,CEO,Emerce + Business Insider,GEVERIFIEERD,"oprichter Erik Jansen stopte in 2021. Hapert, 39 webshops in 36 landen, 55 mln omzet"
Tegeldepot,tegeldepot.nl,,Chahid Charrak,directeur,Twinkle + LinkedIn + eigen over-ons,GEVERIFIEERD,"samen met mede-eigenaar Eelco Kalsbeek. Zeewolde, sinds 2008, fusie met Megadump Tiel"
Anna Diva,annadiva.nl,,Marielle van Werven,oprichter,FashionUnited + RetailTrends + BIF,GEVERIFIEERD,"Dutch Bodyfashion BV, sinds 2011, 50 medewerkers, drie winkels"
Swiss Sense,swisssense.nl,,Martin Diks,"CEO sinds 2017, vierde generatie",Wikipedia + Quote + Wonen360,GEVERIFIEERD,"familiebedrijf sinds 1918, 900 medewerkers, 100 winkels, 4 landen. Mogelijk boven de band"
Multivlaai,multivlaai.nl,,Marco Vink,operationeel directeur,Nationale Franchise Gids + NFV,GEVERIFIEERD,"franchiseformule, 100+ vestigingen. Sinds 2022 bij Borgesius, nu in Cavesco"
BERG Toys,berg.com,,Henk van den Berg,oprichter en eigenaar,SYNC + EdeStad,GEVERIFIEERD,"Ede, skelters, nam in 2008 afstand en pakte de leiding daarna terug"
McAlson,mcalson.com,,Pierre Deren,oprichter,eigen merkpagina + Luxury for Men,GEVERIFIEERD,"Belgisch familiebedrijf Agerti N.V. uit Laarne, sinds 1997"
Zonwering Fabriek,zonwering-fabriek.nl,,,,,AF,"buiten ICP: zonwering op maat, projectverkoop"
My Hair Shop,myhairshop.nl,,,,,OPEN,"Rotterdam, KVK 69508291, 100+ merken, geen naam publiek"
Goedhart Motoren,goedhartmotoren.nl,,Joost Goedhart,directie en webshop,Rebonieuws + Kijk op BR + eigen over-ons,GEVERIFIEERD,"zoon van oprichter Berry Goedhart, bouwde de webshop. Grootste motorspeciaalzaak Benelux, Bodegraven"
Aardbeiplantje,aardbeiplantje.nl,,Joost Henselmans,eigenaar,eigen over-ons + Trustpilot-profiel + Firma Henselmans,GEVERIFIEERD,"samen met broer Joep, derde generatie Henselmans Aardbeiplanten, Luttelgeest"
Maxima,maxima.com,,,,,AF,"buiten ICP: horeca-apparatuur, B2B"
