bedrijf,kop,tekst,bron
Kunstgrasnet,Ruim drieduizend tweehonderdvijftig beoordelingen,"Dat aantal staat op jullie eigen site, naast tweehonderdnegentig gerealiseerde tuinen. Kunstgras is een aankoop waar veel vragen aan voorafgaan, over maten, snijverlies en ondergrond, en die komen allemaal voor de bestelling binnen.","kunstgrasnet.nl/over-ons, '3.250+ reviews' en 'Gerealiseerde tuinen 290+'"
Suitical,"Tien miljoen huisdieren geholpen, met twaalf teamleden","Allebei de getallen staan op jullie eigen pagina, onder elkaar. Dat is het soort verhouding waarbij klantcontact niet meer met de hand te doen is, en tegelijk het soort bedrijf waar iedereen alles erbij doet.","suitical.com/nl/ontdek-en-leer/over-suitical, '10M + Huisdieren wereldwijd geholpen' en '12+ Trotse teamleden'"
ACAZA,Meer dan zevenduizend artikelen,"Dat aantal staat op jullie eigen pagina over het bedrijf. Bij meubelen gaat de vraag bijna nooit over de bestelling en bijna altijd over maten, kleurverschil en levertijd, en die vraag komt binnen voordat er iets besteld is.","acaza.nl/wie-zijn-wij-v3, citaat 'Meer dan 7.000 artikelen voor alle stijlen en wensen'"
Amacx Sports Nutrition,Tweeduizend vijfentachtig mensen lieten een beoordeling achter,Dat aantal staat op jullie eigen site. Het zegt niets over de kwaliteit en daar gaat het me ook niet om. Het zegt dat er achter een assortiment van een kleine honderd artikelen een stroom mensen zit die er iets van vond.,"amacx.com, citaat 'from 2085 reviews'"
Heinen Delfts Blauw,"Elf winkels, waarvan drie buiten Nederland","Ze staan met adres en al op jullie winkelpagina: Amsterdam, Delft, Volendam, Putten, en daarnaast Bonaire, Curacao en Michigan. Een vraag uit Michigan komt in een andere tijdzone binnen dan een vraag uit Delft, en allebei belanden ze op dezelfde plek.","heinendelftsblauw.nl/winkels, elf winkels opgesomd"
Greetz,In 2012 ging de twintigmiljoenste wenskaart de deur uit,"Dat staat in jullie eigen tijdlijn op de bedrijfspagina. Een kaart die verkeerd bezorgd wordt of te laat komt, levert altijd een bericht op, want een verjaardag is niet te verzetten. Dat maakt de urgentie van elke vraag hier hoger dan gemiddeld.","greetz.nl/nl/corporate/over-greetz, citaat '2012 > 20 miljoenste wenskaart via Greetz'"
Protest,Een hoofdkantoor en distributiecentrum van twaalfduizend vierkante meter,"In Warmond, met ruim honderd mensen. Alles wat in zesenveertig landen verkocht wordt komt daar vandaan, en de vraag die erover gesteld wordt komt daar ook terug, in de taal van het land waar het besteld is.","RetailTrends en FashionUnited over Protest Sportswear, hoofdkantoor Warmond 12.000 m2, 100+ medewerkers"
Tegeldepot,"Twee showrooms, in Zeewolde en Meppel","Ze staan allebei op jullie eigen showroompagina. Tegels zijn een aankoop waar mensen eerst komen kijken en daarna online bestellen, of andersom. Die klant stelt zijn vraag aan Tegeldepot en niet aan een van de twee.","tegeldepot.nl/showrooms en LinkedIn, showrooms Zeewolde en Meppel"
Anna Diva,Lingerie in cupmaten van A tot en met J,"Dat is jullie eigen belofte en meteen de reden dat klanten schrijven voordat ze bestellen. Een cupmaat kiezen zonder passen levert vragen op, en na levering nog een keer. Dat zijn twee contactmomenten per bestelling in plaats van nul.","bedrijfsachtergronden.nl en annadiva.nl, assortiment van cup A tot J"
Spierings Herenmode,"Achttien merken overhemden, in twaalf boordmaten","Naast tien lengtematen voor pakken en colberts, allemaal opgesomd op jullie eigen maatpagina. Bij lengtematen is elke bestelling een maatvraag, en die wordt gesteld voor het bestellen en vaak nog een keer erna.","spieringsherenmode.nl/lengtematen-herenkleding, 'Boordmaten: 37 tot en met 48' en achttien merken opgesomd"
Dekbed discounter,Tweeduizend tot drieduizend bestellingen per dag,"Dat cijfer stond in 2018 in Twinkle, toen jullie naar Gouda verhuisden. Inmiddels is het waarschijnlijk hoger. Bij dat aantal is een procent extra vragen per bestelling meteen een halve werkdag.","Twinkle 2018 over de verhuizing naar Gouda, '2.000 tot 3.000 orders per dag'"
