rang,tier,bedrijf,domein,vertical,model,score,volumebewijs,cs_pijn,bron,platform,producten,talen,cs_tools,review_tools,kanalen,b2b,vacature,kvk,btw,postcode,telefoon,opgericht,scanstatus,http
11,Tier 1,Poederbaas,poederbaas.com,sport-wintersport,hybride (eigen merk + wholesale),74,54 taal-/marktvarianten; 510 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,"Eigen merk sinds 2010, inmiddels tientallen verkooppunten in Europa plus internationale groei in BE, AT en DE",shopify,510,54,,judgeme|googlereviews,formulier,ja,,90481143,,1044 AB,085 345 0002,,machinaal gescand,200
12,Tier 1,Cosmeau,cosmeau.com,huishoud,D2C-kern,70,lichte CS-tool: crisp; 4 taal-/marktvarianten; 126 producten in de feed; 1843 reviews zichtbaar; B2B/wholesale naast D2C; Shopify,,"Rabobank: meer dan 200.000 huishoudens, bestverkopende wasstrips op bol.com en amazon.de, eigen productie in Velsen-Noord",shopify,126,4,crisp,trustpilot|judgeme|googlereviews,telefoon|mail|formulier|chat,ja,carriere-pagina,86553968,,1951 NH,,,machinaal gescand,200
13,Tier 1,Zenggi,zenggi.com,fashion-dames,hybride (eigen merk + wholesale),69,5 taal-/marktvarianten; 487 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,487,5,,trustpilot,mail,ja,carriere-pagina,34227017,,1059CL,,,machinaal gescand,200
14,Tier 1,Ballin Amsterdam,ballinamsterdam.com,fashion-streetwear,D2C-kern,69,volwassen CS-tool: gorgias; 2 taalvarianten; 171 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site,,shopify,171,2,gorgias,yotpo,formulier|chat,ja,,,,,,,machinaal gescand,200
15,Tier 1,Isabel Bernard,isabelbernard.com,sieraden,D2C-kern,68,10 taal-/marktvarianten; 264 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,264,10,,judgeme|trustedshops|googlereviews,mail|formulier,ja,,68185758,,9723 BK,,,machinaal gescand,200
16,Tier 1,RainPharma,rainpharma.com,beauty-be,hybride (eigen merk + wholesale),68,32 taal-/marktvarianten; 250 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,250,32,,,mail|formulier,ja,,,,,0823587804,,machinaal gescand,200
17,Tier 1,Moodstreet,moodstreet.nl,kinderkleding,hybride (eigen merk + wholesale),68,6 taal-/marktvarianten; 228 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,228,6,,webwinkelkeur,mail|formulier,ja,,18116006,,4838 GZ,,,machinaal gescand,200
18,Tier 1,ANNA plus NINA,anna-nina.nl,sieraden,hybride (eigen merk + wholesale),67,2 taalvarianten; 819 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,819,2,,yotpo|googlereviews,formulier,ja,carriere-pagina,,,1073VX,,,machinaal gescand,200
19,Tier 1,Ivy Beau,ivybeau.com,fashion-dames,hybride (eigen merk + wholesale),66,3 taal-/marktvarianten; 601 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,601,3,,,formulier,ja,,35029424,,1948RK,,,machinaal gescand,200
20,Tier 1,Butcher of Blue,butcherofblue.com,fashion-heren,hybride (eigen merk + wholesale),66,3 taal-/marktvarianten; 360 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,360,3,,judgeme|reviewsio|trustedshops,mail|formulier,ja,,70648115,,2718 RP,+31858771344,2017,machinaal gescand,200
21,Tier 1,Rosefield,rosefieldwatches.com,horloges,hybride (eigen merk + wholesale),66,14 taal-/marktvarianten; 545 producten in de feed; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,shopify,545,14,,judgeme|googlereviews,,,carriere-pagina,62124234,,1096 AM,,,machinaal gescand,200
22,Tier 1,Studio Ins en Outs,studioinsenouts.nl,lifestyle,D2C-kern,66,5 taal-/marktvarianten; 960 producten in de feed; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,960,5,,webwinkelkeur,formulier,,,97270512,,8072 EJ,0610900254,,machinaal gescand,200
23,Tier 1,Raizzed,raizzed.com,kinderkleding,hybride (eigen merk + wholesale),66,3 taal-/marktvarianten; 408 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,408,3,,trustedshops,mail|formulier,ja,,66117631,,3851 ST,,,machinaal gescand,200
24,Tier 1,Wolplein,wolplein.nl,hobby,hybride (eigen merk + wholesale),66,25 taal-/marktvarianten; 3000 producten in de feed; B2B/wholesale naast D2C; Shopify,WhatsApp open als kanaal,,shopify,3000,25,whatsapp-widget,trustedshops,telefoon|mail|whatsapp|formulier|chat,ja,carriere-pagina,53203755,,5301LV,085-7731917,,machinaal gescand,200
25,Tier 1,Sapph,sapph.com,lingerie,hybride (eigen merk + wholesale),66,volwassen CS-tool: gorgias; 230 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site,,shopify,230,0,gorgias,,formulier|chat,ja,carriere-pagina,97521787,,3011 GB,,,machinaal gescand,200
26,Tier 1,Nialaya,nialaya.com,sieraden,D2C-kern,65,volwassen CS-tool: gorgias; 661 producten in de feed; B2B/wholesale naast D2C; Shopify,,,shopify,661,0,gorgias,trustpilot|judgeme|googlereviews,telefoon|mail|formulier|chat,ja,,,,,,,machinaal gescand,200
27,Tier 1,Trixie Baby,trixie-baby.com,baby-be,hybride (eigen merk + wholesale),64,lichte CS-tool: crisp; 5 taal-/marktvarianten; 785 producten in de feed; B2B/wholesale naast D2C; Shopify,,,shopify,785,5,crisp,judgeme|googlereviews,telefoon|mail|formulier|chat,ja,carriere-pagina,,,,0896347997,,machinaal gescand,200
28,Tier 1,Marcels Green Soap,marcelsgreensoap.com,huishoud,hybride (eigen merk + wholesale),63,5 taal-/marktvarianten; 137 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,137,5,,trustpilot,mail|formulier,ja,carriere-pagina,,,2033 KK,,,machinaal gescand,200
29,Tier 1,Malelions,malelions.com,fashion-streetwear,hybride (eigen merk + wholesale),61,2 taalvarianten; 2568 producten in de feed; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,"FashionUnited: ongeveer dertig medewerkers, verkoop via 250+ fysieke winkels naast de eigen webshop, vier submerken",shopify,2568,2,,trustpilot,formulier,,carriere-pagina,81181922,,,,,machinaal gescand,200
30,Tier 1,Quotrell,quotrell.com,fashion-streetwear,D2C-kern,61,11 taal-/marktvarianten; 355 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site,,shopify|shopware,355,11,ai-chat,trustpilot|googlereviews,formulier|chat,ja,,51398052,,6511SX,+31 6 1895401,,machinaal gescand,200
31,Tier 1,Loavies,loavies.com,fashion-dames,D2C-kern,59,volwassen CS-tool: zendesk; 4 taal-/marktvarianten; B2B/wholesale naast D2C; headless/custom of onbekend platform,geen telefoonnummer op de site,,,0,4,zendesk,trustpilot,mail|chat,ja,carriere-pagina,,,,,,machinaal gescand,200
32,Tier 1,Carnibest,carnibest.nl,huisdier,D2C-kern,59,volwassen CS-tool: zendesk; 123 producten in de feed; B2B/wholesale naast D2C; Shopify,,,shopify,123,0,zendesk,trustpilot,telefoon|mail|formulier|chat,ja,,,,3852AH,,,machinaal gescand,200
33,Tier 1,Muchachomalo,muchachomalo.com,ondergoed,hybride (eigen merk + wholesale),58,4 taal-/marktvarianten; 1725 producten in de feed; B2B/wholesale naast D2C; Shopify,,,shopify,1725,4,ai-chat,trustpilot|googlereviews,telefoon|mail|formulier|chat,ja,carriere-pagina,34104589,,1948RD,,,machinaal gescand,200
34,Tier 1,Xtorm,xtorm.eu,elektronica,hybride (eigen merk + wholesale),58,11 taal-/marktvarianten; 161 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site,,shopify,161,11,ai-chat,judgeme|googlereviews,mail|formulier|chat,ja,carriere-pagina,,,3992DH,,2008,machinaal gescand,200
35,Tier 1,Shoesme,shoesme.nl,kinderschoenen,hybride (eigen merk + wholesale),57,volwassen CS-tool: zendesk; 3 taal-/marktvarianten; B2B/wholesale naast D2C; magento,,,magento|shopware,0,3,zendesk,kiyoh|trustedshops,telefoon|chat,ja,carriere-pagina,18057657,,5021 WL,,,machinaal gescand,200
36,Tier 1,Walra,walra.nl,home-textiel,hybride (eigen merk + wholesale),56,360 producten in de feed; 16418 reviews zichtbaar; B2B/wholesale naast D2C; Shopify,WhatsApp open als kanaal,,shopify,360,0,whatsapp-widget,kiyoh|yotpo,telefoon|mail|whatsapp|formulier|chat,ja,carriere-pagina,,,2995 AJ,040-3095506,,machinaal gescand,200
37,Tier 1,Seepje,seepje.com,huishoud,hybride (eigen merk + wholesale),55,3 taal-/marktvarianten; 64 producten in de feed; 1202 reviews zichtbaar; Shopify,geen chat/CS-widget zichtbaar,,shopify,64,3,,webwinkelkeur,telefoon|mail|formulier,,carriere-pagina,65930452,,2514 HC,085 060 5000,,machinaal gescand,200
38,Tier 1,Pieter Pot,pieter-pot.nl,food-abonnement,D2C-kern,55,528 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,528,0,,,mail|formulier,ja,carriere-pagina,92698646,,3012 JB,,,machinaal gescand,200
39,Tier 1,Eyelove Brillen,eyelovebrillen.nl,brillen,D2C-kern,55,2 taalvarianten; B2B/wholesale naast D2C; woocommerce; volumeoordeel op productmodel: brillen op sterkte plus eigen winkels,geen telefoonnummer op de site; WhatsApp open als kanaal,,woocommerce,0,2,whatsapp-widget,trustpilot|googlereviews,mail|whatsapp|chat,ja,carriere-pagina,,,,,,machinaal gescand,200
40,Tier 1,Moscow Fashion,moscowfashion.nl,fashion-dames,hybride (eigen merk + wholesale),54,volwassen CS-tool: trengo; 3 taal-/marktvarianten; B2B/wholesale naast D2C; shopware,,,shopware,0,3,trengo,trustedshops,telefoon|chat,ja,,23014828,,4231 DJ,014828 0183,,machinaal gescand,200
41,Tier 2,Fromanteel,fromanteel.nl,horloges,hybride (eigen merk + wholesale),54,16 taal-/marktvarianten; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,0,16,,,formulier,,,,,,,,machinaal gescand,200
42,Tier 2,Veloretti,veloretti.com,mobiliteit,D2C-kern,52,volwassen CS-tool: gorgias; Shopify,geen telefoonnummer op de site,,shopify,0,0,gorgias,,chat,,carriere-pagina,,,,,,machinaal gescand,200
43,Tier 2,Bunnies JR,bunniesjr.nl,kinderschoenen,hybride (eigen merk + wholesale),52,590 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,590,0,,kiyoh,formulier,ja,,69450579,,5126 RG,088 112 0130,,machinaal gescand,200
44,Tier 2,Yogisha,yogisha.nl,sport,D2C-kern,51,volwassen CS-tool: zendesk; 1557 reviews zichtbaar; B2B/wholesale naast D2C; lightspeed,,,lightspeed|ccvshop,0,0,zendesk,kiyoh|klantenvertellen,telefoon|formulier|chat,ja,carriere-pagina,74010131,,1072 GL,020-6640743,,machinaal gescand,200
45,Tier 2,Dstrezzed,dstrezzed.com,fashion-heren,hybride (eigen merk + wholesale),50,4 taal-/marktvarianten; 281 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site; WhatsApp open als kanaal,,shopify,281,4,whatsapp-widget,trustpilot|yotpo,whatsapp|chat,ja,carriere-pagina,87850494,,4703 RC,,,machinaal gescand,200
46,Tier 2,Blond Amsterdam,blond-amsterdam.com,lifestyle,D2C-kern,48,volwassen CS-tool: gorgias; CS-vacature op de site; shopware,geen telefoonnummer op de site,,shopware|bigcommerce,0,0,gorgias,trustpilot|reviewsio|googlereviews,formulier|chat,,CS-vacature-hint,,,,,,machinaal gescand,200
47,Tier 2,Retour Jeans,retourjeans.com,kinderkleding,hybride (eigen merk + wholesale),48,6 taal-/marktvarianten; B2B/wholesale naast D2C; woocommerce,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,woocommerce,0,6,,,mail|formulier,ja,carriere-pagina,17224945,,5507 TB,,,machinaal gescand,200
48,Tier 2,Floer,floer.nl,vloeren,D2C-kern,48,"B2B/wholesale naast D2C; woocommerce; volumeoordeel op productmodel: vloeren: samples, m2-berekening, leggen en kleurafwijking",geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,woocommerce,0,0,,googlereviews,mail|formulier,ja,carriere-pagina,68335555,,9743 AL,050 211 18 91,,niet leesbaar voor de scanner,200
49,Tier 2,Veneta,veneta.com,maatwerk-raamdecoratie,D2C-kern,46,"headless/custom of onbekend platform; site achter bot-beveiliging (scan beperkt); volumeoordeel op productmodel: raamdecoratie op maat: inmeten, maatfouten, montagevragen",geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,403
50,Tier 2,Rehab Footwear,rehabfootwear.com,schoenen,hybride (eigen merk + wholesale),45,2 taalvarianten; 373 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site; WhatsApp open als kanaal,,shopify,373,2,whatsapp-widget,trustpilot,whatsapp|formulier|chat,ja,,92925650,,2671CS,085-4868353,,machinaal gescand,200
51,Tier 2,Wakuli,wakuli.com,food-abonnement,D2C-kern,45,5 taal-/marktvarianten; 57 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site; WhatsApp open als kanaal,,shopify,57,5,whatsapp-widget,trustpilot|googlereviews,mail|whatsapp|chat,ja,carriere-pagina,69148295,,2515 BS,,,machinaal gescand,200
52,Tier 2,Printenbind,printenbind.nl,personalisatie-print,D2C-kern,45,volwassen CS-tool: intercom; B2B/wholesale naast D2C; headless/custom of onbekend platform,geen telefoonnummer op de site; WhatsApp open als kanaal,,,0,1,intercom|whatsapp-widget,trustpilot,mail|whatsapp|formulier|chat,ja,carriere-pagina,67045596,,1014BB,0141810025,,machinaal gescand,200
53,Tier 2,Fred de la Bretoniere,freddelabretoniere.com,schoenen,hybride (eigen merk + wholesale),44,3 taal-/marktvarianten; B2B/wholesale naast D2C; shopware,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopware,0,3,,kiyoh,formulier,ja,carriere-pagina,,,,,1970,machinaal gescand,200
54,Tier 2,Homey,homey.app,smart-home,D2C-kern,44,82 taal-/marktvarianten; headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,,0,82,,,mail,,carriere-pagina,61036498,NL854175854B01,7511 GA,,,machinaal gescand,200
55,Tier 2,Flinndal,flinndal.nl,supplementen,D2C-kern,44,"headless/custom of onbekend platform; site achter bot-beveiliging (scan beperkt); volumeoordeel op productmodel: vitamine-abonnement: wijzigingen, leveringen, doseringsvragen",geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,403
56,Tier 2,Tramontana,tramontana.nl,fashion-dames,hybride (eigen merk + wholesale),43,volwassen CS-tool: zendesk; B2B/wholesale naast D2C; shopware,,,shopware,0,0,zendesk,,telefoon|chat,ja,carriere-pagina,,,1175RD,085 888 9489,,machinaal gescand,200
57,Tier 2,PLNTS,plnts.com,planten,D2C-kern,43,B2B/wholesale naast D2C; headless/custom of onbekend platform; volumeoordeel op productmodel: levende planten per post: schade en verzorgingsvragen,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,googlereviews,,ja,carriere-pagina,76981185,,2913 LS,,,niet leesbaar voor de scanner,200
58,Tier 2,Sencebeauty,sencebeauty.nl,beauty,hybride (eigen merk + wholesale),42,4 taal-/marktvarianten; B2B/wholesale naast D2C; headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,,0,4,,,formulier,ja,carriere-pagina,,,3261 NB,,,machinaal gescand,200
59,Tier 2,Charlie Temple,charlietemple.com,brillen,D2C-kern,42,"headless/custom of onbekend platform; volumeoordeel op productmodel: brillen op sterkte online: sterktecontrole, pasvorm, retour",geen chat/CS-widget zichtbaar,,,0,0,,trustpilot|googlereviews,telefoon|mail|formulier,,,,,,,,niet leesbaar voor de scanner,200
60,Tier 2,Nukus,nukus.nl,fashion-dames,hybride (eigen merk + wholesale),41,217 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,217,0,,,mail|formulier,ja,carriere-pagina,67805922,,3044EH,010-2457854,2017,machinaal gescand,200
61,Tier 2,Purewhite,purewhite.nl,fashion-streetwear,D2C-kern,41,264 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,264,0,,yotpo|googlereviews,formulier,ja,carriere-pagina,,,,,2008,machinaal gescand,200
62,Tier 2,Vinrose,vinrose.nl,kinderkleding,hybride (eigen merk + wholesale),41,6 taal-/marktvarianten; headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,,0,6,,,formulier,,,,,1016 EE,05 624-37-34,,machinaal gescand,200
63,Tier 2,Podobrace,podobrace.nl,gezondheid,D2C-kern,41,volwassen CS-tool: trengo; 2 taalvarianten; headless/custom of onbekend platform,WhatsApp open als kanaal,,,0,2,trengo|whatsapp-widget,trustedshops,telefoon|mail|whatsapp|formulier|chat,,carriere-pagina,69003211,,1131DL,085-2010818,,machinaal gescand,200
64,Tier 2,Werk aan de Muur,werkaandemuur.nl,lifestyle,D2C-kern,40,"headless/custom of onbekend platform; site achter bot-beveiliging (scan beperkt); volumeoordeel op productmodel: print on demand: elke order is uniek, dus elke klacht ook",geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,403
65,Tier 2,Grutto,grutto.com,food-abonnement,D2C-kern,40,headless/custom of onbekend platform; volumeoordeel op productmodel: vleespakket-abonnement met leverafspraken en versbederf,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,200
66,Tier 2,Power Supplements,powersupplements.nl,supplementen,D2C-kern,39,4 taal-/marktvarianten; B2B/wholesale naast D2C; headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,,0,4,,,mail|formulier,ja,,11063645,,6662PZ,084-2250992,,machinaal gescand,200
67,Tier 2,Somnox,somnox.com,health-tech,D2C-kern,39,volwassen CS-tool: intercom; 2 taalvarianten; woocommerce,WhatsApp open als kanaal,,woocommerce,0,2,intercom|whatsapp-widget,trustpilot|googlereviews,telefoon|mail|whatsapp|formulier|chat,,carriere-pagina,67150179,,3013 AK,,,machinaal gescand,200
68,Tier 2,Fotofabriek,fotofabriek.nl,personalisatie-print,D2C-kern,39,"headless/custom of onbekend platform; volumeoordeel op productmodel: fotoproducten: bestandsproblemen, drukfouten, deadlines",geen chat/CS-widget zichtbaar,,,0,0,,feedbackcompany,telefoon|mail|formulier,,carriere-pagina,01138465,,9723 BJ,050 314 44 01,2008,niet leesbaar voor de scanner,200
69,Tier 2,Estseven,estseven.com,fashion-dames,hybride (eigen merk + wholesale),38,186 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,186,0,,trustpilot,formulier,ja,,83254595,,1175 KV,,,machinaal gescand,200
70,Tier 2,CanvasCompany,canvascompany.nl,personalisatie-print,D2C-kern,38,volwassen CS-tool: zendesk; magento,geen telefoonnummer op de site,,magento,0,1,zendesk|hubspot-chat,kiyoh|trustedshops,chat,,,52568865,,9291 NA,,,machinaal gescand,200
71,Tier 3,Matt Sleeps,mattsleeps.com,slapen,D2C-kern,38,volwassen CS-tool: intercom; B2B/wholesale naast D2C; headless/custom of onbekend platform,,,,0,0,intercom,trustpilot|googlereviews,telefoon|formulier|chat,ja,,,,,+3120 261 52 96,,machinaal gescand,200
72,Tier 3,Just Franky,justfranky.com,personalisatie-sieraden,D2C-kern,38,headless/custom of onbekend platform; volumeoordeel op productmodel: gegraveerde sieraden: spelfouten en levertijd rond feestdagen,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,0,,,,,,,,,,,niet leesbaar voor de scanner,200
73,Tier 3,Names4ever,names4ever.nl,personalisatie-sieraden,D2C-kern,37,2 taalvarianten; headless/custom of onbekend platform; volumeoordeel op productmodel: gepersonaliseerde sieraden,geen chat/CS-widget zichtbaar,,,0,2,,kiyoh,telefoon|mail,,carriere-pagina,20114123,,3316 LE,078-6186171,2007,machinaal gescand,200
74,Tier 3,BoJungle,bojungle.eu,baby-be,hybride (eigen merk + wholesale),36,10 taal-/marktvarianten; B2B/wholesale naast D2C; woocommerce,geen chat/CS-widget zichtbaar,,woocommerce|shopware,0,10,,,telefoon|mail|formulier,ja,,,BE0875816760,,0875816760,2012,machinaal gescand,200
75,Tier 3,Indian Blue Jeans,indianbluejeans.com,kinderkleding,hybride (eigen merk + wholesale),36,80 producten in de feed; B2B/wholesale naast D2C; Shopify,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site; alleen formulier/mail als kanaal,,shopify,80,0,,,mail|formulier,ja,carriere-pagina,59338997,,5248 NL,073-820 03 87,2014,machinaal gescand,200
76,Tier 3,Sticky Lemon,stickylemon.nl,tassen,hybride (eigen merk + wholesale),35,465 producten in de feed; B2B/wholesale naast D2C; Shopify,,,shopify,465,0,ai-chat,googlereviews,telefoon|mail|formulier|chat,ja,,,,9723 CD,,,machinaal gescand,200
77,Tier 3,Blue Rebel,bluerebel.nl,kinderkleding,hybride (eigen merk + wholesale),34,4 taal-/marktvarianten; B2B/wholesale naast D2C; headless/custom of onbekend platform,geen chat/CS-widget zichtbaar; geen telefoonnummer op de site,,,0,4,,,,ja,,,,2031 BJ,,,machinaal gescand,200
78,Tier 3,Yehwang,yehwang.com,sieraden,hybride (eigen merk + wholesale),34,7 taal-/marktvarianten; B2B/wholesale naast D2C; headless/custom of onbekend platform,geen telefoonnummer op de site; WhatsApp open als kanaal,,,0,7,whatsapp-widget,trustpilot,mail|whatsapp|chat,ja,,,,6716 AE,,,machinaal gescand,200
79,Tier 3,LouLou Essentiels,loulouessentiels.nl,tassen,hybride (eigen merk + wholesale),33,184 producten in de feed; B2B/wholesale naast D2C; Shopify,geen telefoonnummer op de site,,shopify|shopware,184,0,ai-chat,,formulier|chat,ja,,23081652,,2583BX,070-3458823,2010,machinaal gescand,200
