Prospect,Contactpagina,Formulier,Onderwerp,Bericht,Link
FEST Amsterdam,https://www.festamsterdam.com/pages/general-service-page,NEE,Drukte rond de drops,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Rond de drops lopen de klantenservicevragen op, net in een periode van een managementwissel. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/fest-amsterdam

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/fest-amsterdam
Lois Jeans,https://loisjeanstore.com/pages/contact,JA,Maten en onbeantwoorde mails,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Klanten melden dat maten anders vallen dan verwacht en dat mails onbeantwoord blijven, met veel retouren als gevolg. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/lois-jeans

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/lois-jeans
Dutchbone,https://www.dutchbone.com/en/contact,ONBEKEND,Veertien werkdagen op een klacht,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Er zit een gat tussen jullie Kiyoh-score en Trustpilot, en klachten krijgen soms pas na veertien werkdagen antwoord. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/dutchbone

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/dutchbone
Beddinghouse,https://www.beddinghouse.com/pages/contact-pagina,JA,Mails die blijven liggen,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Klanten schrijven dat ze geen retouradres krijgen en dat mails blijven liggen, en Trustpilot staat op 2,8. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/beddinghouse

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/beddinghouse
Sproet & Sprout,https://sproet-sprout.com/pages/contact,NEE,Klantenservice over drie continenten,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie verkopen tot in de VS, Japan en Australie, terwijl de founder de klantenservice er nog bij doet. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/sproet-sprout

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/sproet-sprout
HKliving,https://www.hkliving.com/our-story/contact-us/,JA,Van B2B naar D2C,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie bewegen van B2B naar D2C, en de klantenservice richting de consument is daar nog niet op ingericht. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/hkliving

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/hkliving
Zuiver,https://www.zuiver.com/en/contact,ONBEKEND,Onbeantwoorde negatieve reviews,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie staan op een 4,5, maar bijna een kwart van de negatieve reviews blijft zonder reactie. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/zuiver

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/zuiver
Goosecraft,goosecraft.com,NEE (geen pagina),Retouren na de doorstart,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Na de doorstart komen er klachten over retouren binnen, onder meer over dubbele verzendkosten. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/goosecraft

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/goosecraft
Pip Studio,https://www.pipstudio.com/contact-form,ONBEKEND,Onbeantwoorde mails,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Onbeantwoorde mails lijken een terugkerend patroon, terwijl jullie internationaal en meertalig werken. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/pip-studio

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/pip-studio
It’s About RoMi,https://www.itsaboutromi.nl/contact,NEE,Meertalig advies over verlichting,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie klantenservice was eerder uitbesteed, terwijl klanten meertalig advies over verlichting vragen. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/itsaboutromi

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/itsaboutromi
Mr. Marvis,https://www.mrmarvis.com/support,ONBEKEND,Toon vasthouden bij groei,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Bij jullie omvang staan er nog verlopen klantenservice-vacatures, en de toon laat zich lastig vasthouden bij die groei. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/mr-marvis

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/mr-marvis
Marie-Stella-Maris,https://www.marie-stella-maris.com/pages/contact,ONBEKEND,Vijf dagen op antwoord,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Klanten wachten zo'n vijf dagen op antwoord, en tussen jullie open vacatures zit geen klantenservicerol. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/marie-stella-maris

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/marie-stella-maris
Labfresh,https://labfresh.co/pages/contact-us,JA,Weekenddekking klantenservice,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Als internationaal merk zit er geen weekenddekking op de klantenservice, terwijl er vragen over wasadvies binnenkomen. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/labfresh

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/labfresh
Yaya,https://yaya.eu/nl/pages/contact,JA,Traag en weinig persoonlijk,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Klanten omschrijven de klantenservice als traag en weinig persoonlijk, met alleen een formulier als kanaal. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/yaya

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/yaya
Eindbaas Apparel,eindbaas-apparel.com,NEE (geen pagina),Reviews en klantenservice,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie groeien snel, maar er is nog geen reviewstrategie en geen vaste klantenservicestructuur. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/eindbaas

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/eindbaas
Kuyichi,https://kuyichi.com/contact-faq,NEE,"Maten, retouren en duurzaamheid","Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Denim brengt veel maat- en retourvragen mee, en jullie duurzame verhaal zou ook in de service moeten doorklinken. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/kuyichi

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/kuyichi
A-dam Underwear,https://www.a-dam.com/pages/contact,JA,Reacties op negatieve reviews,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie staan op een 2,9 en negatieve reviews krijgen geen reactie, terwijl er vier merken onder een dak zitten. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/a-dam

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/a-dam
Zusss,https://www.zusss.nl/contact,JA,Onbeantwoorde reviews,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Bij zo'n 5.000 reviews blijft een derde van de negatieve onbeantwoord, met de klantenservice deels bij een stagiair. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/zusss

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/zusss
Saint Basics,saintbasics.com,NEE (geen pagina),Veertien werkdagen op een klacht,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Klachten krijgen soms pas na veertien werkdagen antwoord, terwijl klanten vaak terugkomen of een abonnement hebben. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/saint-basics

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/saint-basics
Colours & Sons,https://coloursandsons.com/en/pages/faq,NEE,Nederlandse klantenservice,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie richten je op Nederland zonder Nederlandse klantenservice, met alleen e-mail en pieken rond de drops. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/colours-sons

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/colours-sons
Delft Denim,https://delftdenim.com/pages/contact,JA,Persoonlijke service bij groei,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

De persoonlijke aanpak met handgeschreven kaartjes leunt sterk op de founder en is lastig vast te houden bij groei. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/delft-denim

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/delft-denim
Rhumaa,https://www.rhumaa.com/pages/contact-us,NEE,"Een mailadres, twee werelden","Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Twee productwerelden, een klein team en een mailadres: de klantenservice komt daarmee onder druk te staan. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/rhumaa

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/rhumaa
The Car Parfume,https://www.thecarparfum.com/service/about/,NEE,Webshop-service bij snelle groei,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie groeien naar 500+ tankstations, terwijl de webshop-klantenservice daar nog niet in meebeweegt. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/the-car-parfum

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/the-car-parfum
Your Wishes,https://www.yourwishes.nl/contact,ONBEKEND,Langere levertijden nu,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

De magazijnverhuizing zorgt voor langere levertijden, en daarmee voor meer klantenservicedruk, juist in het giftseizoen. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/your-wishes

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/your-wishes
Penn & Ink,https://pennandink-ny.com/pages/contact,NEE,Online service bij 350+ winkels,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Met 350+ winkels is er nog geen schaalbare online klantenservice, en retouren gaan handmatig. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/penn-ink

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/penn-ink
Alchemist Fashion,https://alchemist-fashion.com/pages/contact,JA,Handmatige service bij groei,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

De klantenservice draait handmatig op een klein team, en dat persoonlijke karakter wordt kwetsbaar zodra jullie groeien. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/alchemist

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/alchemist
Refished,https://www.refished.com/en/pages/kontakt,NEE,Oostenrijks nummer voor NL-klanten,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Nederlandse klanten bellen naar een Oostenrijks nummer, zonder lokale service. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/refished

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/refished
Kosso Nutrition,https://kossonutrition.nl/pages/contact,JA,Responstijden van vijf minuten tot een week,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Responstijden lopen van vijf minuten tot een week, bij zo'n 5.000 reviews en alleen e-mail als kanaal. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/kosso-nutrition

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/kosso-nutrition
FLOTTE,flotte.amsterdam,NEE (geen pagina),Reviews en retentie,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Er is nog geen reviewstrategie en geen klantenserviceteam, terwijl retentie juist op service drijft. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/flotte

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/flotte
Vetain,https://vetain.de/en/pages/contact,NEE,Restituties en lokale service,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Er komen restitutievragen binnen, zonder lokale Nederlandse klantenservice bij jullie abonnementsmodel. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/vetain

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/vetain
Plnktn,https://www.plnktn.com/pages/contact-plnktn,JA,Meertalige service bij expansie,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Jullie breiden internationaal uit, terwijl de meertalige klantenservice nog niet meeschaalt. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/plnktn

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/plnktn
Bazar Bizar,https://www.bazarbizar.be/pages/contact,JA,E-mail only en pieken,"Hoi,

Mijn werkgever Jeffrey heeft jullie laatst een handgeschreven brief gestuurd. Kans is groot dat die ergens op een bureau is blijven liggen, dus ik probeer het hier nog een keer.

Alleen e-mail zonder zichtbare responstijd, met pieken vanuit social en klanten in NL en BE. Daar ging de brief over. Jeffrey had het voor jullie op een pagina gezet: https://intro-pique.agency/bcs/bazar-bizar

Hij laat het liever even zien dan dat ik het hier uittyp. 15 tot 20 minuten, dan weet je of het hout snijdt. Zou daar iemand bij jullie voor openstaan?

Groet,
Simon",https://intro-pique.agency/bcs/bazar-bizar
