bedrijf,naam,rol,status,bron
LaDress,Simone van Trojen,oprichter / mede-eigenaar,GEVERIFIEERD,"RetailTrends, EW Magazine feb 2025, VNO-NCW"
Lekker Bikes,Meindert Wolfraad (oprichter) en Niels Bark (CEO Europe BV),oprichter en CEO,GEVERIFIEERD,"velobiz.de en bedrijfsprofiel, circa 25 fte in Amsterdam"
LouLou Essentiels,Floor van de Water,oprichter en ontwerper,GEVERIFIEERD,eigen site over de Smart Little Bag plus meerdere handelsbronnen
Malelions,Thijs Offermeijer,Oprichter En Eigenaar,GEVERIFIEERD,Bedrijfsdata plus eigen site https://malelions.com/pages/ons-verhaal
Metis Supplements,Maxim Christiaen,CEO,GEVERIFIEERD,"eigen site, interview met apotheker Dirk Christiaen die het met zoon Maxim runt, plus Belgische registers"
Natural Heroes,Nevil Hulspas,oprichter,GEVERIFIEERD,eigen community-site en over-ons plus The Org
PLNTS,Jesse Mostert,oprichter en CEO,GEVERIFIEERD,eigen about-pagina plus Brookz en Marktlink
Pieter Pot,Jouri Schoemaker,oprichter en CEO,GEVERIFIEERD,zijn LinkedIn plus Twinkle 03-2026
Podobrace,Bill Duin,oprichter,GEVERIFIEERD,"Diverse handelsbronnen, gevestigd in Volendam"
Poederbaas,Wisse Mewiss,mede-eigenaar,GEVERIFIEERD,handelsbronnen plus Webwinkel Vakdagen. Oprichter Stenmar IJff
Printenbind,Bart van Diepen,oprichter en eigenaar,GEVERIFIEERD,printenbind.nl/en/about-us plus PRINTmatters
Quotrell,Hans Peters,oprichter sinds 2018,GEVERIFIEERD,eigen teampagina plus meerdere handelsbronnen over zijn legerachtergrond
RainPharma,Dominique Bastin,oprichter,GEVERIFIEERD,Knack Weekend en RetailDetail BE. Jongste telg uit een Leuvense ondernemersfamilie
Rehab Footwear,Jaco Flach,oprichter,GEVERIFIEERD,RetailTrends: Rehab start door zonder failliet UFG
Sapph,Erik van der Maat,CEO sinds mei 2026,GEVERIFIEERD,FashionUnited 09-06-2026 Nieuwe CEO voor Sapph plus Textilia 10-06-2026
Seepje,Jasper Gabrielse en Melvin Loggies,"oprichters, stappen uit dagelijkse leiding",GEVERIFIEERD,"MT/Sprout, RetailTrends, Change Inc. CEO wordt geworven via Top of Minds, Loggies blijft COO/CFO"
Somnox,Julian Jagtenberg,oprichter en CEO,GEVERIFIEERD,MT/Sprout plus het eigen teamoverzicht
Sticky Lemon,Simone Karstkarel-Veldman,eigenaresse en creatief brein,GEVERIFIEERD,Groninger Ondernemers Courant plus merkbronnen. Groningen
Summum Woman,"Jos Wijker (oprichter/eigenaar) en Lars Gelling (commercieel directeur, 18 jaar)",oprichter en commercieel directeur,GEVERIFIEERD,FashionUnited
Tuinmaximaal,Ivo van Maris,directeur,GEVERIFIEERD,"Het Ondernemersbelang plus eigen kanalen. LET OP: ruim 200 medewerkers en Europees marktleider, waarschijnlijk boven de band"
Wakuli,Yorick Bruins,mede-oprichter,GEVERIFIEERD,MarketingTribune-podcast 04-2026 plus MT/Sprout. Mede-oprichter Lukas Grosfeld
Werk aan de Muur,Stephanie Kuijstermans,CEO sinds juli 2025,GEVERIFIEERD,bedrijfsbronnen. Oprichters Jasper van der Meij en Bas Verhoogt
Wolky,Floor Alblas,Marketing En E-commerce Manager,GEVERIFIEERD,Bedrijfsdata plus eigen site https://www.wolky.com/pages/about
Wolplein,Petra Glimmerveen (oprichter/eigenaresse) en Koen Glimmerveen (dagelijkse leiding),oprichter en opvolger,GEVERIFIEERD,"MyParcel, De Haakhelden, Breiclub"
Xtorm,Hans Both,Manager,GEVERIFIEERD,Bedrijfsdata plus eigen site https://www.xtorm.eu
Zenggi,Marian Wigger,oprichter,GEVERIFIEERD,Merkbronnen: maakt zelf de collectie
Casimoda,M. Savenije,eigenaar volgens het keurmerkregister,KANDIDAAT,"alleen een initiaal, voornaam nog nodig voor een kaart"
Fifth House,Renée Kraaijvanger,Modeontwerper,KANDIDAAT,"alleen Bedrijfsdata, aggregator telt niet als bewijs"
Muchachomalo,Shirley Schoonebeek,oprichter 2007,KANDIDAAT,"twee bronnen noemen haar, een derde noemt Jeroen Adriaans. Uitzoeken"
Namens Mij,Steffie en Linda van der Wijst,"oprichters, schoonzussen",KANDIDAAT,eigen site noemt beide namen. Tweede bron nog nodig
Purewhite,Ramzi Addarazi,oprichter,KANDIDAAT,eigen Fase B-research. Tweede bron nog nodig
Rosefield,Christiaan Bekker,"mede-oprichter, CEO en managing director",KANDIDAAT,Crunchbase en Creditsafe. Niels Verhoeven is COO. Recentheid nog vaststellen
Bedrukken nl,,,VERWORPEN,Bedrijfsdata gaf Koen Avest bij 17 verschillende bedrijven
Cadeaumakers,,,VERWORPEN,Bedrijfsdata gaf Koen Avest bij 17 verschillende bedrijven
Confirm Clothing,,,VERWORPEN,Bedrijfsdata gaf Koen Avest bij 17 verschillende bedrijven
Horren Direct,,,VERWORPEN,Bedrijfsdata gaf Koen Avest bij 17 verschillende bedrijven
Kraamcadeau,,,VERWORPEN,Bedrijfsdata gaf Koen Avest bij 17 verschillende bedrijven
Little Thingz,,,VERWORPEN,Bedrijfsdata gaf Koen Avest bij 17 verschillende bedrijven
Naturaplaza,,,VERWORPEN,Bedrijfsdata gaf Koen Avest bij 17 verschillende bedrijven
Overkappingoutlet,,,VERWORPEN,Bedrijfsdata gaf Koen Avest bij 17 verschillende bedrijven
Silvery,,,VERWORPEN,Bedrijfsdata gaf Koen Avest bij 17 verschillende bedrijven
Slaapkamerweb,,,VERWORPEN,Bedrijfsdata gaf Koen Avest bij 17 verschillende bedrijven
Tafels op maat,,,VERWORPEN,Bedrijfsdata gaf Koen Avest bij 17 verschillende bedrijven
Beaumont Amsterdam,,,OPEN,geen personen
Blackstone Shoes,,,OPEN,geen personen
Circle of Trust,,,OPEN,Geen naam gevonden in openbare bronnen
Costes Fashion,,,OPEN,"Bianca Schouten is directrice, maar Costes is onderdeel van The Sting Companies. Retailconcern, waarschijnlijk buiten het ICP"
Dogs Companion,,,OPEN,geen personen
Eyelove Brillen,,,OPEN,"Bedrijfsdata gaf Peter van Daele, maar dat is een franchisenemer van een winkel en geen beslisser van de formule"
Fromanteel,,,OPEN,geen personen
Isabel Bernard,,,OPEN,De merknaam is de ontwerpersnaam. De Nederlandse rechtspersoon en bestuurder nog niet gevonden
MaakjeCadeau,,,OPEN,"Alleen een voornaam uit klantcontact, Alphen aan den Rijn"
Marcels Green Soap,,,OPEN,"Marcel Belt richtte het op, maar verkocht het bedrijf aan het Franse Altair Group. Zeggenschap over leveranciers eerst uitzoeken"
Matt Sleeps,,,OPEN,"Joep Verbunt is in 2026 opgestapt als CEO. Bovendien 57,5 miljoen omzet in 2024, dus ver boven de band"
Names4ever,,,OPEN,geen personen
PersonalSurprise,,,OPEN,Eigen site spreekt over de oprichter zonder naam te noemen
Power Supplements,,,OPEN,geen personen
Red-Rag,,,OPEN,geen personen
Studio Ins en Outs,,twee nieuwe eigenaressen,OPEN,Eigen blog 09-04-2025 kondigt de overdracht per 1 juli 2025 aan zonder namen te noemen. Vorige eigenaresse heet Ireen. Namen nergens publiek
Xsensible,,,OPEN,De gevonden oprichter Johan Verschuur richtte in 1904 moederbedrijf Nimco op. Huidige bestuurder nog niet gevonden
Yogisha,,,OPEN,geen personen
