bedrijf,domein,faseA_rang,beslisser,functie,beslisser_status,bron_beslisser,trigger,reviewsignaal,servicebelofte,onderzoekshoek,status
Rehab Footwear,rehabfootwear.com,50,Jaco Flach,oprichter,GEVERIFIEERD,RetailTrends: Rehab start door zonder failliet UFG,"Was twaalf jaar onderdeel van Unlimited Footwear Group. Na het faillissement van UFG bereikte oprichter Jaco Flach een akkoord met de curator om met het merk REHAB door te gaan, onder een nieuw bedrijf: Hathaway Brands BV. Verkoop via meer dan 200 winkels in NL en BE","4 sterren met 82 Trustpilot-reviews, plus Kiyoh onder de naam Hathaway Brands","belofte binnen 2 werkdagen, bereikbaar ma-vr 09:30-17:00, WhatsApp open, onlinestore@rehabfootwear.com","Een doorstart onder een nieuw bedrijf betekent dat alles opnieuw wordt ingericht, inclusief klantcontact. Dat is het moment om aan tafel te zitten","STERK op timing, bescheiden op volume"
Purewhite,purewhite.nl,61,,"gestart door Ramzi Addarazi, drie ondernemers",OPEN,,Opgericht 2008. Wordt gevoerd door meer dan vijfhonderd retailers in zes landen. Moest verhuizen naar een nieuw hoofdkantoor door de groei. De merknaam wordt binnenkort gewijzigd naar PUREPATH,"Klachten over kwaliteit, waaronder een jas van 200 euro met afwerking op H&M-niveau. Meerdere klanten melden dat de klantenservice niet te bereiken is, met mails en telefoontjes die onbeantwoord blijven. Retourkosten zijn voor eigen rekening",geen telefoonnummer op de site,"Een merknaamswijziging is de drukste periode die een klantenservice kent, want elke klant vraagt wat er verandert. En die klantenservice is nu al niet te bereiken",STERK op timing door de rebrand naar PUREPATH
Dstrezzed,dstrezzed.com,45,,,OPEN,,5 sterren met meer dan 1.600 Trustpilot-reviews,"Sterk positief. Snelle en behulpzame reacties, een beschadigd artikel werd binnen een uur opgelost met een vervanging. Retourproces snel en goed geregeld","belofte binnen 24 uur, bereikbaar ma-vr 9:00-17:00, WhatsApp open",Binnen een uur een beschadigd artikel oplossen is topservice en kost iemand zijn hele dag. Het gesprek gaat over wat dat per ticket kost,
Fromanteel,fromanteel.nl,41,,,OPEN,,Meer dan 700 Trustpilot-reviews. Fysieke locatie aan de Keizersgracht in Amsterdam. Zestien taal- en marktvarianten,"Positief over ontwerp, verwisselbare bandjes, prijs-kwaliteit en persoonlijke aanpak. Kritiek op de bezorgdienst en de communicatie daarover. De klantenservice reageert doorgaans pas na enkele dagen",geen telefoonnummer op de site,"Enkele dagen wachten op antwoord bij een horloge dat als cadeau moet aankomen, is te laat. Zestien markten maakt dat erger",MIDDEN
Blackstone Footwear,blackstoneshoes.com,93,,Arjan Verweij is Manager Finance en Operations,OPEN,"FashionUnited BE, oktober 2024","Opgericht 1992, gevestigd in Gouda. Het complete IT-landschap is recent herzien in samenwerking met TCOG, met volgens Manager Finance en Operations Arjan Verweij flinke efficiencywinst","36 Trustpilot-reviews. Positief over kwaliteit en uitstraling. Klachten over zolen die van wit naar geel verkleuren, zonder garantiedekking en met slechts 10 procent korting op een nieuwe aankoop als aanbod","customerservice@blackstone.nl, klachten met foto's en ordernummer",Ze hebben net hun hele IT-landschap vernieuwd voor efficiency. Klantcontact is het volgende blok in diezelfde redenering,"MIDDEN, maar de aanleiding is scherp"
Beaumont Amsterdam,beaumont.nl,97,,,OPEN,,Circa 563 Trustpilot-reviews. Van outerwear-merk uitgegroeid naar een volledige lifestylecollectie,"Positief over snelle levering, kwaliteit en verzorgde verpakking. De terugkerende klacht is helder: de kleding is van goede kwaliteit maar de klantenservice stelt teleur. Retourkosten worden als niet meer van deze tijd genoemd",geen telefoonnummer op de site,"Reviewers zeggen het zelf letterlijk: het product klopt, de service niet. Dat is de enige zin die Jeffrey nodig heeft",ONDERGEWAARDEERD in Fase A op rang 97
Costes Fashion,costesfashion.com,92,,,OPEN,"Gevestigd San Franciscostraat 12, 1175 RE Lijnden",18 paginas Trustpilot,"Positief over betrouwbare maattabel, snelle levering en service in de winkels. Negatief over slechte kwaliteit en over meerdere mails met kledingklachten die onbeantwoord bleven. Servicekwaliteit verschilt per locatie","belofte binnen 14 dagen, bereikbaar ma t/m vr 08:30-18:00","Meerdere mails over een klacht die onbeantwoord blijven, bij een merk dat zijn winkelservice juist geroemd ziet. Online en offline lopen uit elkaar",MIDDEN
Wolky,wolky.com,86,,,OPEN,,"292 Trustpilot-reviews. Meer dan 40 jaar bezig met comfortschoenen, anatomisch gevormde voetbedden","Positief over uitstekende klantenservice, gemak van bestellen en kwaliteit. Het retourbeleid wordt als onduidelijk ervaren en veel klanten vinden het retourproces problematisch","WhatsApp open, geen telefoonnummer gevonden","Comfortschoenen worden gekocht door mensen met voetklachten, dus pasvorm is nooit een detail. Een onduidelijk retourproces raakt precies die groep",MIDDEN
Xsensible,xsensible.com,94,,,OPEN,,"4,6 uit 5 bij geverifieerde kopers. Nederlands merk met stretchleer","Positief over steun, comfort, gewicht en levensduur. Een klant werd bij een klacht van het kastje naar de muur gestuurd en kreeg die na enkele maanden alsnog afgewezen","belofte binnen 3 werkdagen, telefoon +31 24 684 8080 tijdens kantooruren 08:00-17:00",Drie werkdagen reactietijd en een klacht die maanden duurt. Bij een comfortmerk is dat het tegenovergestelde van de belofte,MIDDEN
Natural Heroes,naturalheroes.nl,85,,,OPEN,,"Kiyoh-pagina plus Trustpilot. Assortiment van essentiele olien, grondstoffen, zeep, deodorant en bamboe tandenborstels","Positief over vriendelijke en behulpzame service, snelle levering en het vervangen van producten. Negatief over orders die niet op tijd aankwamen en een pakket dat na anderhalve week nog niet binnen was zonder bericht","info@naturalheroes.nl, telefoon 030-2271998, reactie binnen 24 uur bij mail","Een pakket dat anderhalve week zoek is zonder bericht, kost meer aan klantcontact dan de order waard is",MIDDEN
Somnox,somnox.com,67,,,OPEN,"Opgericht 2015, gevestigd in het CIC Tech Incubator","Circa 50 paginas Trustpilot. Wereldwijd eerste slaaprobot, meerdere patenten aangevraagd","Zeer positief. Klantenservice behulpzaam en vriendelijk, een defect werd snel verholpen, een kapotte Somnox werd gratis gerepareerd inclusief verzendkosten","belofte binnen 48 uur, telefoon aanwezig, Intercom en WhatsApp, bereikbaar ma-vr vanaf 10:00",Gratis repareren inclusief verzending is een dure belofte die iemand elke keer handmatig regelt,MIDDEN
Fitchef,fitchef.nl,83,Mark van Oosterwijck,oprichter,GEVERIFIEERD,Team van circa 18 mensen,"Weekmenu's met boodschappenlijst, wekelijks nieuw menu",4 sterren maar te weinig Trustpilot-reviews voor harde conclusies. Positief over vriendelijke en snelle antwoorden en kwaliteit van de gerechten. De retourprocedure wordt als verbeterpunt genoemd,geen telefoonnummer op de site,Achttien mensen op een wekelijks abonnement betekent dat elke menuwissel een golf vragen geeft,"MIDDEN, volume nog te bewijzen"
Dogs Companion,dogscompanion.nl,82,,,OPEN,"Familiebedrijf sinds 1994, sinds 2010 gevestigd in Breda waar orders opgehaald kunnen worden","Kiyoh-pagina met veel reviews, beperkte Trustpilot-aanwezigheid","Positief over diverse hoezen, gebruiksgemak en vriendelijke en behulpzame service. Enkele meldingen van vertragingen en vragen over vulling","draait Zendesk, telefoon aanwezig",Hondenbedden met losse hoezen en vullingen leveren maatvragen op. Een familiebedrijf van dertig jaar oud doet dat nog met de hand,MIDDEN
Yogisha,yogisha.nl,44,,,OPEN,Fysieke winkels in Amsterdam en Den Haag,36 Trustpilot-reviews plus Kiyoh. Draait Zendesk,Positief. Een klant die een incomplete order kreeg werd benaderd en kreeg de ontbrekende artikelen gratis,"belofte binnen 2 werkdagen, telefoon aanwezig","Zendesk draaien bij 36 reviews wijst erop dat het volume elders zit, waarschijnlijk in winkel- en adviesvragen",LAAG volume online
Blond Amsterdam,blondamsterdam.nl,46,Femque van Geffen en Janneke Droge,oprichters,GEVERIFIEERD,Openden in 2001 een studio en winkel op de Spuistraat,"Uitgebreid van servies naar wenskaarten, schoolspullen, blikken, thee, schorten, pannenlappen, T-shirts en dekbedovertrekken. Draait Gorgias",31 Trustpilot-reviews. Positief over bereikbaarheid via WhatsApp. Frustratie over retourprocessen en communicatie,"WhatsApp open, geen telefoonnummer gevonden",Gorgias draaien bij 31 reviews betekent dat het ticketvolume niet uit reviews blijkt maar wel bestaat,MIDDEN
Power Supplements,powersupplements.nl,66,,,OPEN,,"14 Trustpilot-reviews, 9,4 uit 10 op eigen verzamelde reviews. Eigen merk supplementen","Kundige klantenservice volgens eigen opgave, bereikbaar via mail, telefoon en formulier","belofte binnen 14 dagen, bereikbaar ma-vr 10:00-17:00, telefoon aanwezig, retour binnen 14 dagen",,"LAAG volume, onderaan de lijst"
Sticky Lemon,stickylemon.nl,76,,,OPEN,,Trustpilot-pagina aanwezig,"Klanten noemen de klantenservice de beste, vriendelijk en behulpzaam, met snelle verzending en mooie verpakking","geen telefoonnummer op de site, AI-chat aanwezig","Service is al goed, dus het gesprek gaat over kosten en over wat er gebeurt bij groei",MIDDEN
Shabbies Amsterdam,shabbiesamsterdam.com,81,Dennis Mok (CEO) en Stefan van Schooten (int. sales director),directie Bretoniere Groep,GEVERIFIEERD,"Sinds 1 juni 2016. LET OP: de winkels en moederbedrijf Bretoniere Groep zijn eerder failliet verklaard, eigendom nu verifieren","Webshop opgericht 2004 door Fred de la Bretoniere. Vijf officiele locaties in NL: Amsterdam, Den Haag, Utrecht, Lelystad en Roermond","Positief over samenwerking tussen winkels en online, en over vriendelijk en geduldig personeel via mail en Facebook. Daarnaast meldingen dat Shabbies niet op mails reageert en telefonisch moeilijk bereikbaar is","belofte binnen 30 dagen, bereikbaar ma t/m vr 09:00-17:00","Winkel en online lopen uiteen: in de winkel geduldig, online geen antwoord",EIGENDOM VERIFIEREN
Fred de la Bretoniere,freddelabretoniere.com,53,Dennis Mok (CEO) en Mayra Krishnadath (CFO),directie,GEVERIFIEERD,Fred de la Bretoniere zelf is adviseur en niet meer operationeel actief,"Groeifocus ligt op het buitenland. Subverwante merken zoals Fretons. LET OP: verlies van 1,8 miljoen in 2016 en 2,2 miljoen in 2017, de winkels en moederbedrijf Bretoniere Groep met tien winkels, lederwerkplaats en webshop zijn failliet verklaard",Trustpilot toont klachten over productkwaliteit en klantenservice,belofte binnen 30 dagen,,EIGENDOM EN LEVENSVATBAARHEID VERIFIEREN voor er tijd in gaat
Greve,greve.nl,84,Jos Jan Greve,vierde generatie familiebedrijf,GEVERIFIEERD,"Schoenfabriek H. Greve, opgericht 1898 in Waalwijk, koninklijk predicaat sinds 1998",Kiyoh-pagina,"Klanten zeer tevreden over kwaliteit, pasvorm, snelle levering en vlotte retourafhandeling. Persoonlijke aandacht met uitgebreide voetanalyse","belofte binnen 24 uur, bereikbaar ma t/m vr 09:00-16:00","Een schoenfabriek van 1898 die persoonlijke voetanalyses doet, heeft een adviesintensief kanaal. Dat schaalt niet mee met online",LAAG online volume
Trouwringen Circles,circles.nl,91,Herma en Wilfried de Nobel,eigenaren,GEVERIFIEERD,"Vestiging Veerplein 14 Zwijndrecht, 9,9 op The Perfect Wedding, juryprijs Top Trouwbedrijven",Afspraakgedreven winkelmodel,Lof voor uitgebreide persoonlijke aandacht. Een klant meldt dat de winkel bij zijn afspraak helemaal vol zat en dat er weinig tijd was om wensen te bespreken,geen telefoonnummer gevonden op de site,,"VALT AF: afspraakmodel met lage aantallen, geen ticketvolume"
Sencebeauty,sencebeauty.nl,58,,,OPEN,"Onderdeel van Sence, Nederlandse producent van huid-, mond- en persoonlijke verzorging",Geen eigen Trustpilot-aanwezigheid gevonden. Wordt verkocht via De Online Drogist en andere kanalen,,,,"VALT AF: verkoop via retailkanaal, te dun eigen D2C-volume"
Maxim Sports Nutrition,maximsport.com,96,,,OPEN,,Geen eigen Nederlandse Trustpilot-aanwezigheid gevonden,,,,VALT AF: te dun D2C-volume
Matchu Sports,matchusports.com,88,,,OPEN,"Opgericht 1999, gevestigd in Enschede","Groothandel en merkeigenaar in oefenmateriaal voor fysiotherapie en fitness. Werkt samen met partners als Decathlon. 9,2 uit 10 op Feedback Company","Klanten overwegend positief over snelle levering, kwaliteit en klantvriendelijke service","kantoor Enschede, WhatsApp, telefoon en mail",,"VALT AF: groothandel met B2B-klanten (fysiotherapeuten), geen consumentenvolume"
