"﻿""Prospect""","Website","Bezwaar (trigger)","Landingspagina","Brieftekst","Notitie","Beslisser_naam","Beslisser_functie","Straat","Postcode","Stad","Land","Bron","Adres_notitie"
"FEST Amsterdam","festamsterdam.com","CS-klachten + recente managementtransitie, pieken bij drops","intro-pique.agency/bcs/fest-amsterdam","Beste Femke,

FEST ging failliet in juli 2024. Zuiver nam het over. Jij bleef.

In die periode liepen de klachten op. Dat is logisch - twee systemen, twee culturen, één klantenservice die het moest opvangen.

Niet als verwijt. Gewoon als waarneming.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/fest-amsterdam

Groet,
Jeffrey
","","Femke Furnée","Founder","Generaal Vetterstraat 76","1059 BW","Amsterdam","Nederland","KVK","LET OP: gedeeltelijk failliet juli 2024, merk overgenomen door Zuiver Interior Group."
"Lois Jeans","loisjeans.com","Maatinconsistentie (34 valt als 36) + onbeantwoorde mails, hoog retourvolume","intro-pique.agency/bcs/lois-jeans","Beste Arthur,

Maat 34 van jullie valt als een 36. Klanten schrijven het in reviews. Sommigen sturen een mail. Die mails blijven onbeantwoord.

Dat valt op.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/lois-jeans

Groet,
Jeffrey
","","Arthur van Rongen","Co-owner / Creative Director","Gerard Doustraat 74","1072 VV","Amsterdam","Nederland","KVK","KVK via Los Hermanos Azules B.V. Mede-directeur: Lodewijk Olaf Bianchi."
"Dutchbone","dutchbone.com","14 werkdagen klachtrespons + kloof Kiyoh 9/10 vs Trustpilot","intro-pique.agency/bcs/dutchbone","Beste Pieter,

Op Kiyoh staat een 9/10. Op Trustpilot staan reviews over glazen platen die twee maanden niet leverbaar waren - en klanten die 14 werkdagen wachtten op een reactie.

Dat zijn twee verschillende beelden van hetzelfde bedrijf.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/dutchbone

Groet,
Jeffrey
","","Pieter Marinus Hogenhout","Managing Director","Schoot 2","1551 NB","Westzaan","Nederland","KVK","Handelsnaam van Zuiver B.V. Zelfde adres als Zuiver."
"Beddinghouse","beddinghouse.com","Trustpilot 2,8 + CS kent retouradres niet, mails blijven liggen","intro-pique.agency/bcs/beddinghouse","Beste Henriëtte,

Jullie staan op 2,8 bij Trustpilot. Iemand van ons belde de klantenservice om het retouradres te vragen. Niemand wist het. De mails die daarna verstuurd werden, kwamen niet terug.

Dat is niet één ding.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/beddinghouse

Groet,
Jeffrey
","","Henriëtte van Beynum","Algemeen Directeur","Vennestraat 8","2161 LE","Lisse","Nederland","KVK","Adres gecorrigeerd: Vennestraat 8 (niet Heereweg 33-A)."
"Sproet & Sprout","sproet-sprout.com","Internationaal (VS/Japan/Australie) zonder meertalige CS, founder doet CS erbij","intro-pique.agency/bcs/sproet-sprout","Beste Coby,

Jullie verkopen in de VS, Japan en Australië. Dat zijn drie tijdzones die tegelijk wakker zijn terwijl jij ook nog klantvragen beantwoordt.

Iemand die een merk heeft opgebouwd tot op drie continenten, doet dat niet ook de inbox bij.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/sproet-sprout

Groet,
Jeffrey
","","Coby van den Bosch","Owner / Founder","Lammermarkt 57B","2312 CM","Leiden","Nederland","KVK",""
"HKliving","hkliving.com","B2B-naar-D2C transitie zonder CS-fundament voor consument","intro-pique.agency/bcs/hkliving","Beste Emiel,

HKliving verkoopt al jaren aan inkopers. Die weten wat ze kopen. Ze lezen een linesheet en beslissen.

Een consument niet. Die raakt iets aan in een winkel, of niet. Klikt op een foto, of niet. Komt terug, of niet.

Jullie hebben het assortiment. De vraag is of jullie D2C-aanpak is gebouwd op wat een inkoper fijn vindt, of op wat een consument nodig heeft. Dat zijn andere dingen.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/hkliving

Groet,
Jeffrey
","","Emiel Hetsen","Owner / Co-founder","De Dieze 2","8253 PS","Dronten","Nederland","KVK","Co-founder: Sander Klaver."
"Zuiver","zuiver.com","4,5 op Trustpilot, maar 23% van negatieve reviews onbeantwoord","intro-pique.agency/bcs/zuiver","Beste Richard,

Jullie staan op 4,5 bij Trustpilot. Mooi. Maar 23% van de negatieve reviews heeft nooit een reactie gekregen. Iemand klaagt over een designmeubel waar hij waarschijnlijk maanden op heeft gewacht. Niets terug.

Dat lezen mensen voor ze beslissen.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/zuiver

Groet,
Jeffrey
","","Richard Halberstadt","Co-CEO","Schoot 2","1551 NB","Westzaan","Nederland","KVK","Zelfde adres als Dutchbone (zelfde BV). Co-CEO: Richard Aznar Webster."
"Goosecraft","goosecraft.com","Doorstart na faillissement + retourklachten (dubbele verzendkosten)","intro-pique.agency/bcs/goosecraft","Beste Dick,

Goosecraft is net door het faillissement heen. Maart 2026. En op Trustpilot staan nog steeds reviews over retouren waarbij klanten twee keer verzendkosten betalen.

Dat is het eerste wat nieuwe klanten lezen.

Je hebt de doorstart gemaakt. De buitenkant klopt. Maar dit soort dingen blijft hangen.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/goosecraft

Groet,
Jeffrey
","","Dick Hauber","Directeur / Mede-oprichter","Rigakade 20","1013 BC","Amsterdam","Nederland","KVK","LET OP: failliet maart 2023, afgerond maart 2026 wegens gebrek aan baten. Merk mogelijk niet meer actief."
"Pip Studio","pipstudio.com","Onbeantwoorde mails als structureel patroon, internationaal/meertalig","intro-pique.agency/bcs/pip-studio","Beste Catharina,

Pip Studio verkoopt in 5 landen. Dat betekent 5 tijdszones, meerdere talen, en inkopers die op maandag een mail sturen en op vrijdag nog wachten.

In reviews staat het er gewoon. Niet één keer. Vaker.

Dat is geen toeval.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/pip-studio

Groet,
Jeffrey
","","Catharina van der Endt","Founder / Directeur","Krijn Taconiskade 356","1087 HW","Amsterdam","Nederland","KVK",""
"It’s About RoMi","itsaboutromi.com","CS eerder uitbesteed (Connextion) + meertalig productadvies verlichting","intro-pique.agency/bcs/itsaboutromi","Beste Rob,

Jullie verkopen verlichting waarbij klanten vaak advies nodig hebben - meertalig, productspecifiek. Dat is niet hetzelfde als een standaard retourvraag.

Een eerder uitbesteedde poging bij Connextion liep stuk. Dat snap ik. Productadvies vraagt meer dan een script.

Nu Light&Living de eigenaar is, verwacht ik dat de druk op consistente klantcommunicatie alleen maar toeneemt.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/itsaboutromi

Groet,
Jeffrey
","","Rob van Dijk","Co-founder / Directeur","Televisieweg 16","1322 AL","Almere","Nederland","website","Adres gecorrigeerd: Almere (niet Amsterdam). Overgenomen door Light&Living Group april 2022."
"Mr. Marvis","mrmarvis.com","83M+ omzet maar verlopen CS-vacatures, tone-of-voice bij schaal","intro-pique.agency/bcs/mr-marvis","Beste David,

Mr. Marvis doet 80 miljoen plus. Maar de CS-vacatures op LinkedIn staan al een tijdje verlopen.

Dat is opvallend.

Niet de vacatures zelf. Maar dat ze blijven staan.

Ik werk met bedrijven waar afspraken niet goed binnenkomen bij de juiste mensen. Soms ligt het aan de routing. Soms aan iets anders.

Ik weet niet hoe dat bij jullie zit.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/mr-marvis

Groet,
Jeffrey
","","David Sipkens","Co-Founder & CEO","Huddestraat 3","1018 HB","Amsterdam","Nederland","KVK","Mede-oprichters: Steven Vrendenbarg en Aafke Tuin."
"Marie-Stella-Maris","marie-stella-maris.com","Trustpilot 3,8 + 5 dagen geen reactie, geen CS-rol tussen 13-17 vacatures","intro-pique.agency/bcs/marie-stella-maris","Beste Kika,

Jullie Trustpilot staat op 3,8. Klanten melden vijf dagen wachttijd. Intussen staan er dertien tot zeventien vacatures open - maar geen enkele voor klantenservice.

Nieuwe CEO sinds september. Veel beweging.

Ik vroeg me af of dat een bewuste keuze is, of dat het er gewoon nog niet van is gekomen.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/marie-stella-maris

Groet,
Jeffrey
","","Kika Buhrmann","CEO (per sept 2025)","Generaal Vetterstraat 75D","1059 BT","Amsterdam","Nederland","KVK","Oprichters: Patrick Munsters en Carel Neuberg. Kika Buhrmann is nieuwe CEO per sept 2025."
"Labfresh","labfresh.com","Geen weekend-dekking bij internationaal merk, productvragen wasadvies","intro-pique.agency/bcs/labfresh","Beste Kasper,

Labfresh verkoopt in meerdere landen. Klanten in Duitsland, het VK, Scandinavië - ze bestellen gewoon op zaterdag. En op zondag.

Niemand pakt die dag de telefoon op. Geen chat. Geen mail die dezelfde dag nog beantwoord wordt.

Maandagochtend ligt er dan een stapel gemiste gesprekken.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/labfresh

Groet,
Jeffrey
","","Kasper Brandi Petersen","Co-Founder","Van Baerlestraat 32H","1071 AX","Amsterdam","Nederland","KVK","Co-founder: Lotte Vink."
"Yaya","yayastore.nl","Trustpilot 4,0 + klachten over trage, weinig empathische CS, formulier-only","intro-pique.agency/bcs/yaya","Beste Marco,

Yaya heeft winkels in zes landen. Toch loopt elk online gesprek via een formulier.

Op Trustpilot staan reacties als ""drie weken geen antwoord"" naast foto's van mensen die tassen van 400 euro kopen.

Dat valt op.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/yaya

Groet,
Jeffrey
","","Marco Draijer","Founder / Owner","Haarlemmerstraatweg 95","1165 MK","Halfweg","Nederland","KVK","Co-founder: Patrick Draijer (Sales Director/COO)."
"Eindbaas Apparel","eindbaas-apparel.com","Geen reviewstrategie + geen CS-structuur bij snelgroeiend jong merk","intro-pique.agency/bcs/eindbaas","Beste Joey,

Jullie hebben een affiliate-programma lopen en een kinderlijn uitgebouwd. Dat is niet niks.

Maar als ik zoek naar reviews, vind ik ze nauwelijks. En als er iets misgaat met een bestelling, is niet duidelijk waar iemand terechtkan.

Affiliates sturen mensen naar jullie. Die mensen hebben vragen. Of twijfels.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/eindbaas

Groet,
Jeffrey
","","Joey Batten","Founder","Varsseveldstraat 151","5036 TC","Tilburg","Nederland","website",""
"Kuyichi","kuyichi.com","Hoog maat-/retourvolume denim + duurzaamheid moet in service doorklinken","intro-pique.agency/bcs/kuyichi","Beste Peter,

Jullie denim staat voor iets. Dat is te zien in de stof, de sourcing, de communicatie.

Maar als iemand een broek terugstuurt, is dat voorbij.

Geen vraag waarom. Geen gesprek. Gewoon een retourlabel.

Jullie retourvolume bij denim is hoog. Dat valt op.

Mensen die bewust kopen, sturen ook bewust terug - als het niet klopt. Maar soms klopt het wel, en weet de koper het nog niet.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/kuyichi

Groet,
Jeffrey
","","Peter Schuitema","CEO / Co-Owner","Stationsstraat 7","3451 BV","Vleuten","Nederland","KVK",""
"A-dam Underwear","a-dam.com","Trustpilot 2,9 + nul reacties op negatieve reviews, 4 merken onder één dak","intro-pique.agency/bcs/a-dam","Beste Job,

A-dam zit nu onder Luxor Fashion Group, naast drie andere merken. Nieuwe eigenaar, nieuwe structuur, webshop draait weer.

Op Trustpilot staan drie reviews. Vier sterren gemiddeld. Geen enkele reactie van het bedrijf.

Dat is de eerste indruk voor iedereen die jullie opzoekt voor een B2B-afspraak.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/adam-underwear

Groet,
Jeffrey
","Landingspagina nog niet gebouwd (slug a-dam).","Job Leusink","Co-founder / CEO","Danzigerbocht 27C","1013 AM","Amsterdam","Nederland","KVK","LET OP: failliet verklaard 2025 (A-dam Underwear B.V. en Holding B.V.). Controleer of merk doorgestart is."
"Zusss","zusss.nl","34% van negatieve reviews onbeantwoord bij ~5.000 reviews, CS via stagiair","intro-pique.agency/bcs/zusss","Beste Sascha,

Zusss heeft 5000 Trustpilot-reviews. Een 4,5. Maar 34% van de negatieve reviews staat onbeantwoord. En één stagiair doet dit alles.

Dat zijn geen kleine aantallen.

Iemand nam de moeite iets te schrijven. Niemand schreef terug.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/zusss

Groet,
Jeffrey
","","Sascha Weil","Algemeen Directeur","Klompenmakerstraat 11","2984 BB","Ridderkerk","Nederland","KVK","Oprichters: Sietske van Hartingsveldt & Femke van der Hoef. In 2021 verkocht aan AVerest Capital."
"Saint Basics","saintbasics.com","14 werkdagen klachtrespons bij herhaalaankoop-/abonnementsgedrag","intro-pique.agency/bcs/saint-basics","Beste Peter,

Saint Basics ging failliet in november 2023. Daarna een doorstart via Shop Like You Give a Damn. Klanten komen terug. Ze bestellen opnieuw.

En toch: 14 werkdagen klachtrespons.

Dat zijn twee dingen tegelijk.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/saint-basics

Groet,
Jeffrey
","","Peter van Akkeren","Co-founder / Directeur","Louis Couperusplein 2","2514 HP","Den Haag","Nederland","KVK","LET OP: failliet nov 2023. Webshop gesloten dec 2023. Activiteiten overgenomen door Shop Like You Give a Damn B.V."
"Colours & Sons","coloursandsons.com","NL-doelmarkt zonder NL CS, e-mail only, pieken bij drops","intro-pique.agency/bcs/colours-sons","Beste Guido,

Jullie drops trekken serieuze vraag in Nederland. Dat zie je aan de reacties na elke release. Maar alles loopt via één mailbox - geen Nederlandse telefoonnummer, geen Nederlands contactpunt, geen pagina in het Nederlands.

Iemand die wil bestellen zoekt houvast. Die vindt het niet.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/colours-sons

Groet,
Jeffrey
","","Guido Schmitz","Geschäftsführer","Rudolfstrasse 10U","41068","Mönchengladbach","Duitsland","website (Impressum)","LET OP: origineel bedrijf failliet aug 2025. Actief via nieuwe entiteit 'second view GS GmbH' op zelfde adres."
"Delft Denim","delftdenim.com","Persoonlijk merk (handgeschreven kaartjes) leunt op founder, schaalt niet","intro-pique.agency/bcs/delft-denim","Beste Bas,

Je stopt een handgeschreven kaartje bij elke bestelling. Ik doe hetzelfde - maar dan om je aandacht te trekken. 

Handgeschreven valt op omdat bijna niemand het meer doet. Jij weet dat. Ik ook.

Ik heb wat dingen opgeschreven die me opvielen aan Delft Denim.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/delft-denim

Groet,
Jeffrey
","Persoonlijke meta-haak: BCS stuurt zelf ook handgeschreven brieven.","Bas Visser","Founder","Parelgraslaan 8","2288 HB","Rijswijk","Nederland","website (privacy policy)","Mogelijk huisadres. Klein merk, Bas Visser runt het naast zijn IT-baan."
"Rhumaa","rhumaa.com","Twee productwerelden (fashion + cacao), klein team, één mailadres","intro-pique.agency/bcs/rhumaa","Beste Daniël,

Jullie verkopen kleding en cacao. Vanuit hetzelfde mailadres.

Dat zijn twee totaal verschillende mensen die jullie inbox bereiken. Met andere vragen. Op andere momenten. Over heel andere dingen.

Ik weet niet hoe dat er aan jullie kant uitziet. Maar ik kan me voorstellen dat het druk is.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/rhumaa

Groet,
Jeffrey
","","Daniël Beernink","Oprichter / Directeur","Kabelweg 37","1014 BA","Amsterdam","Nederland","KVK","LET OP: origineel modemerk failliet april 2020. Website toont nu cacao bar concept — verifieer of dit nog het modemerk is."
"The Car Parfume","thecarparfume.nl","Snelle groei naar 500+ tankstations, webshop-CS schaalt niet mee","intro-pique.agency/bcs/the-car-parfum","Beste Ruben,

Een tijdje geleden hebben we contact gehad.

Jullie hebben in twee jaar 500+ tankstations bereikt. Dat gaat snel. Maar iemand die jullie product via een Shell koopt, weet niet wat iemand die online bestelt wel weet.

Ik vroeg me af of jullie dat bewust zo hebben gelaten, of dat het er gewoon in geslopen is.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/the-car-parfum

Groet,
Jeffrey
","Warm contact — toon mag persoonlijker.","Jay-Jay Boske","Oprichter","Collse Heide 28","5674 VN","Nuenen","Nederland","KVK","Adres gecorrigeerd naar Nuenen (eerder Hilversum). Warm contact — toon mag persoonlijker."
"Your Wishes","yourwishes.nl","Magazijnverhuizing + langere levertijden = verhoogde CS-druk nu (gifting)","intro-pique.agency/bcs/your-wishes","Beste Tess,

Jullie verkopen cadeaus voor pasgeborenen en twinning. Mensen kopen dat niet zomaar - er zit een verhaal achter. Tegelijk zijn jullie net verhuisd. Meer logistieke vragen, meer mensen die even bellen of mailen voor ze bestellen.

Dat zijn twee dingen tegelijk.

Afspraken die niet doorlopen, zie je dan sneller over het hoofd.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/your-wishes

Groet,
Jeffrey
","","Tess Gerritsen","Founder","Nobelstraat 28","5051 DV","Goirle","Nederland","LinkedIn","Adres van LinkedIn-profiel."
"Penn & Ink","penn-ink.nl","350+ winkels maar geen schaalbare online CS, handmatige retouren","intro-pique.agency/bcs/penn-ink","Beste Barbara,

350 winkels. Elk retourverzoek gaat naar logistics@pennandink-ny.com.

Dat is één inbox voor wat waarschijnlijk honderden mails per week zijn. Geen klantprofiel erbij. Geen aankoopgeschiedenis. Alleen een e-mailadres.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/penn-ink

Groet,
Jeffrey
","","Barbara van Hussen","Bestuurder","Omloop 2","8131 TJ","Wijhe","Nederland","KVK","Volledige naam: Barbara Maria Adriana van Hussen."
"Alchemist Fashion","alchemist-fashion.com","Handmatige CS door klein team, persoonlijk karakter kwetsbaar bij groei","intro-pique.agency/bcs/alchemist","Beste Caroline,

Alchemist is een premium merk. Dat zie je aan de producten, aan de presentatie. Maar de afspraken lopen via iemand die ook pakket­tracking doet en retourvragen beantwoordt.

Bij meer volume gaat dat wringen. Niet omdat het team niet goed is. Gewoon omdat één persoon niet op twee plekken tegelijk kan zijn.

Ik werk met kleine teams die dit anders hebben ingericht.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/alchemist

Groet,
Jeffrey
","","Caroline Mewe","Designer / Owner","Koningin Wilhelminaplein 8","1062 HK","Amsterdam","Nederland","KVK","Mogelijk ook vestiging Melbournestraat 3A, Lijnden — verifieer huidig operationeel adres."
"Refished","refished.nl","Oostenrijks (+43) nummer voor NL-klanten, geen lokale NL-service","intro-pique.agency/bcs/refished","Beste Sissi,

Ik belde jullie klantenservice. Een +43 nummer. Oostenrijks.

Jullie site was er even niet.

Dat zijn twee dingen die ik opmerkte als potentiële klant in Nederland. Ik trok mijn eigen conclusies en belde niet terug.

Ik heb er iets over opgeschreven.

Misschien zit ik er helemaal naast.

Maar als je nieuwsgierig bent:

intro-pique.agency/bcs/refished

Groet,
Jeffrey
","","Sissi Vogler-Wagner","Founder","Semperstr. 58/3","1180","Wien","Oostenrijk","website (impressum)","Oostenrijks bedrijf (REFISHED fair fashion e.U.). refished.nl offline."
