Bedrijf,Website,Stad,Verticaal,Omzet_est,Pijnprofiel,Beslisser_naam,Beslisser_functie,LinkedIn,Verificatie,Bron,Contactkanalen,Trigger,Openingshoek,Zoekopdracht_LinkedIn
"Lofty Manner","loftymanner.com","Amsterdam","Fashion · womenswear","€3-7M","B","Michael Vinke","Founder / CEO (alt niet-founder: Inge Stufkens, E-commerce Manager, blijft lead)","","Geverifieerd","FashionUnited","e-mail, formulier, chat, WhatsApp, telefoon","Ondanks vier contactkanalen belooft Lofty Manner zelf pas reactie 'binnen 5 werkdagen', en klanten melden vertraagde terugbetalingen en moeizaam contact.","Jullie bieden vier contactkanalen aan, maar beloven klanten pas na vijf werkdagen antwoord, dat vloekt met hoe snel jullie groeien.","Retourpiek per collectie-drop loopt via klein e-commerce team (profiel verifiëren via live LinkedIn)"
"Girav","girav.com","Ouderkerk a/d Amstel","Fashion · menswear","€3-6M","B","Arné Imming","Head of Product Operations","","Geverifieerd","TheOrg + LinkedIn","e-mail, telefoon; geen chat/WhatsApp/formulier op servicepagina","Girav belooft reactie binnen 24 uur, maar Trustpilot-reviews melden dat mails dagenlang onbeantwoord bleven.","Jullie beloven klanten binnen 24 uur antwoord, maar ik lees op Trustpilot dat mails soms dagen blijven liggen.","site:linkedin.com/in ""Girav"" (""customer service"" OR klantenservice OR operations). NB: angle = overflow/piek, niet 'geen CS'"
"Plantsome","plantsome.nl","Honselersdijk","Home · planten","€8-15M","B","Axel Persoon","Mede-oprichter / eigenaar (leidende oprichter; geen aparte CS-teamlead publiek)","","Geverifieerd","eigen over-ons + KvK/drimble","e-mail 9-14u, chat 9-12u; geen telefoon; WhatsApp expliciet uitgesloten","Klantenservice is maar beperkt bereikbaar: e-mail ma-vr 9-14, chat alleen 9-12, geen telefoon en WhatsApp expliciet uitgesloten, bij ~2.800 reviews.","Jullie chat staat maar drie uur per ochtend open en de mail sluit om twee uur; ik werd benieuwd hoeveel vragen er buiten die uren blijven liggen.","nl.linkedin.com/company/plantsome/people filter 'plantenservice'/'customer'/'operations'"
"Urban Nature Culture","urbannatureculture.com","Amsterdam","Home · decor & servies","€3-10M","A","Marel Paus","Customer Care / Operations","https://www.linkedin.com/in/marel-paus-50b537138/","Geverifieerd","Bevestigd via LinkedIn (Simon)","formulier, telefoon; geen zichtbaar e-mail/chat/WhatsApp","Op de contactpagina staat alleen een telefoonnummer en een formulier; geen zichtbaar e-mailadres, chat of WhatsApp voor consumenten, naast een sterke wholesale-focus.","Op jullie contactpagina vond ik alleen een telefoonnummer en een formulier; ik vroeg me af of consumentvragen naast de wholesale-drukte blijven doorlopen.","nl.linkedin.com/company/urban-nature-culture/people filter 'customer'/'operations'"
"Passion for Linen","passionforlinen.com","Venlo","Home · linnen textiel","€1-3M","A","Barbara Sprengers","Owner (Homelinen Labels)","","Geverifieerd","pers-interview + bedrijfsprofiel","e-mail (info@), formulier, telefoon","Het bedrijf achter Passion for Linen heeft ~2 medewerkers terwijl Barbara drie merken tegelijk aanstuurt (Passion for Linen, House in Style, Homelinen).","Je runt Passion for Linen, House in Style en Homelinen naast elkaar met een klein team; ik werd nieuwsgierig hoe de klantvragen daar tussendoor blijven passen.","site:linkedin.com/in (""Passion for Linen"" OR ""Homelinen Labels"") (klantenservice OR operations) Venlo"
"By Mölle","bymolle.com","Dalfsen","Home · woontextiel","€1-3M","A","Lucienne Dunnewijk","Mede-oprichter","","Geverifieerd","lokale pers + eigen about","e-mail 10-17u, telefoon, Calendly-afspraken; geen chat/WhatsApp","Klantcontact loopt volledig via de oprichters: mail/telefoon 10-17 plus persoonlijke stylingafspraken via Calendly, alles handmatig en made-to-order.","Alles is bij jullie made-to-order en de stylingafspraken lopen direct via jullie zelf; ik vroeg me af wanneer dat begint te knellen als het drukker wordt.","site:linkedin.com/in ""By Mölle"" Dalfsen (operations OR customer service)"
"Casa Comodo","casacomodo.nl","Oisterwijk","Home · linnen beddengoed","€1-3M","A","Joanna Vervoort","Owner / oprichter","","Geverifieerd","eigen about-pagina","e-mail (joanna@ persoonlijk), formulier, telefoon; geen chat/WhatsApp","Klantvragen komen binnen op het persoonlijke adres joanna@casacomodo.nl en een 06-nummer; een vakantiemelding meldde tragere reacties en volledige verzendstop.","Je klantenservice loopt via joanna@ en je eigen mobiel, en tijdens je vakantie lag de mail en verzending stil; hoe voelt dat als je even weg wilt kunnen?","site:linkedin.com/in ""Casa Comodo"" (customer service OR operations). NB mogelijk te klein voor aparte rol"
"UrbanSofa","urbansofa.nl","Noord-Brabant","Home · meubels","€5-15M","A","Ronald Arissen","Directeur / eigenaar (CORRECTIE: niet Sarah Kleijnen)","","Geverifieerd","Drimble (Arissen Holding, gedeeld adres Renkum)","e-mail, formulier, telefoon 9-17; geen chat/WhatsApp","Trustpilot-score van 2,9/5 over circa 2.519 reviews, opvallend laag voor een merk van deze omvang, wijst op CS die de klachtenstroom niet aankan.","Jullie meubels zijn prachtig maar op Trustpilot blijft de score rond de 2,9 hangen; ik werd nieuwsgierig hoeveel daarvan over bereikbaarheid en nazorg gaat.","linkedin.com/company/urbansofa People-tab op huidige CS/Operations Manager"
"Yumeko","yumeko.nl","Amsterdam","Home · eco bedtextiel","€5-12M","B","Rob van den Dool","Oprichter & CEO (alt CS-lead: Stephanie Xenakis, blijft lead)","","Geverifieerd","pers (Biojournaal/Change Inc)","e-mail (klantenservice@), formulier per land, chat, telefoon","Voert klantenservice in vier landen/talen (NL, DE, BE, FR) met aparte contactformulieren per land, terwijl één Customer Care-team dat via chat, mail en social bedient.","Jullie bedienen klanten in vier landen en talen vanuit één Customer Care-team; hoe houd je die drukte over NL, DE, BE en FR verdeeld?","nl.linkedin.com/company/yumeko/people filter 'customer care'. Zwakke lead: Stephanie Xenakis (seniority onbekend)"
"Sfeer aan de Muur","sfeeraandemuur.nl","Goirle","Home · wall art","€1-3M","B","Lieke Theresia den Braanker","Eigenaar / vennoot (CORRECTIE: niet Ummie Vursavas)","","Geverifieerd","Drimble KvK-uittreksel (39215237)","e-mail (klantenservice@); geen duidelijke telefoon/chat/WhatsApp","Reviewers noemen specifiek dat levering langer duurt dan verwacht en dat tijdige communicatie over vertraging ontbreekt, terwijl de zichtbare CS vooral op e-mail leunt.","In jullie reviews lees ik vaak dat mensen bij een vertraging graag eerder iets hadden gehoord; ligt dat vooral aan bezetting op de mail?","site:linkedin.com/in ""Sfeer aan de Muur"" (operations OR e-commerce OR klantenservice)"
"BedAffair","bedaffair.nl","Heemstede","Home · matrassen","€1-3M","A","Marjolein Vaders","Mede-eigenaar (commercieel/online gezicht; Arend is de maker)","","Geverifieerd","pers-interviews","e-mail (info@ voor klant én bedrijf), formulier, telefoon; geen chat/WhatsApp","Eén e-mailadres (info@bedaffair.nl) doet dienst voor zowel klanten als bedrijven, met alleen telefoon en formulier ernaast, terwijl de eigenaren ook showroom en productie draaien.","Bij jullie loopt alles, van klant tot bedrijf, via één info-adres terwijl jullie ook zelf de bedden maken en de showroom draaien; waar landen de klantvragen dan?","site:linkedin.com/in ""Bedaffair"" (operations OR klantenservice). Mogelijk te klein voor aparte rol"
"DEENS.NL","deens.nl","Online (NL)","Home · Scandinavisch wonen","€1-4M","B","Nicole Loos","Mede-oprichter / eigenaar","","Geverifieerd","eigen teampagina","e-mail (klantenservice@), formulier, WhatsApp, telefoon beperkte uren","Telefonische bereikbaarheid is smal (ma-wo 9-17, do pas vanaf 13:00) voor een merk met ~40k Instagram-volgers, terwijl de rest via mail/WhatsApp/formulier moet.","Met bijna 40.000 volgers en een klein team houden jullie de telefoon maar een deel van de week open; hoe houd je die stroom vragen verdeeld?","site:linkedin.com/in ""Deens.nl"" (klantenservice OR operations OR e-commerce)"
"The Souks","thesouks.nl","Roelofarendsveen","Home · Berber-tapijten","€500K-1,5M","A","Sandra van Aanholt","Founder / eigenaar","","Geverifieerd","eigen site + interviews","e-mail (info@), formulier, telefoon 8-18; geen chat/WhatsApp","Oprichter Sandra is ongeveer drie maanden per jaar in Marokko voor inkoop en kwaliteitscontrole, terwijl The Souks een klein team met één kantoor in Amsterdam is.","Je zit een paar maanden per jaar in Marokko voor de inkoop; hoe lopen de klantvragen thuis door terwijl jij daar bent?","site:linkedin.com/in ""The Souks"" (customer service OR operations). Mogelijk te vroeg voor aparte rol"
"Kalani","kalani-home.com","Genval (BE)","Home · linnen textiel","€1-4M","A","Bruno Van Steenberghe","Founder / Managing Director","","Geverifieerd","eigen site + juridische CS-vermelding","e-mail (info@ + bruno@ officieel), formulier, telefoon BE/FR; geen chat/WhatsApp","Het officiële klantenservicecontact loopt via bruno@kalani-home.com en de founder leest naar eigen zeggen wekelijks zelf de klantmails, terwijl Kalani cross-border (BE + FR) verkoopt.","Je leest naar eigen zeggen elke week zelf de klantmails, en het officiële adres loopt nog via bruno@; hoelang is dat houdbaar nu je in meerdere landen verkoopt?","site:linkedin.com/in ""Kalani"" (""customer service"" OR ""service client"" OR operations) Genval"
"Meroda Cosmetics","merodacosmetics.nl","Berkel-Enschot","Beauty · make-up","€2-5M","A","Micha Medendorp","CEO (per 1-1-2026; oprichter Melvin van Bueren trad terug). Ops-contact Blake Crawford blijft onbevestigd","","Geverifieerd","pers: aankondiging CEO-wissel","alleen 'help'-knop/Help Center; geen telefoon/chat/WhatsApp","Stuurt al het klantcontact via één help-knop/Help Center zonder telefoon, chat of WhatsApp, terwijl ze internationaal (NL/UK/EU/CH) opereren met duizenden reviews.","Voor een merk met jullie volume en vier landensites valt op dat al het klantcontact door een enkele help-knop moet.","site:linkedin.com/in ""Meroda"" (operations OR customer OR klantenservice). Check Blake Crawford (Head of Operations)"
"Velveux","velveux.com","Nederland","Beauty · vegan skincare","€2-5M","A","Ali Abbas","Eigenaar / CEO Three4One","","Geverifieerd","Drimble (openbare KvK-data)","alleen e-mail + formulier, 9-17u; geen telefoon/chat/WhatsApp","Al het klantcontact loopt via één inbox (klantenservice@velveux.com) en formulier, werkdagen 9-17u, zonder telefoon, chat of WhatsApp, terwijl het merk hard groeit.","Jullie hele klantcontact loopt nu door één inbox tussen negen en vijf, terwijl het merk juist hard groeit.","site:linkedin.com/in ""Velveux"" (customer OR operations). Check entiteit via KVK"
"Dr. Jetske Ultee","dr-jetskeultee-skincare.nl","Rotterdam","Beauty · skincare","€3-8M","A","Amber V.","Klantenservice","https://www.linkedin.com/in/amber-v-a3468920a/","Geverifieerd","Bevestigd via LinkedIn (Simon)","e-mail, formulier, chat, WhatsApp, telefoon","Het CS-team bestaat uit huidtherapeuten die persoonlijk advies geven via mail, telefoon, WhatsApp en chat, bij 10.000+ Kiyoh-reviews.","Jullie laten huidtherapeuten de klantenservice doen, wat inhoudelijk sterk is maar ook betekent dat je duurste mensen aan de eerstelijnsvragen zitten.","site:linkedin.com/in ""Jetske Ultee"" (klantenservice OR ""customer service"" OR ""customer care"")"
"Kaerel Skincare","kaerelskincare.com","Utrecht","Beauty · men's grooming","€1-3M","B","Ton Severrien","Eigenaar YellowBlueBrands (nieuwe eigenaar sinds mei 2025)","","Geverifieerd","biojournaal (persbericht)","e-mail (info@), formulier, chat/WhatsApp-widget, telefoon","Kaerel is in mei 2025 overgenomen door YellowBlueBrands (van Petit&Jolie), het eerste merk in hun nieuwe portfolio, terwijl de over-ons-pagina nog de oude oprichterstekst toont.","Nu Kaerel het eerste merk in het YellowBlueBrands-portfolio is, komt de vraag hoe je de klantcontacten meeneemt in die nieuwe opzet.","site:linkedin.com/in ""Kaerel"" (operations OR e-commerce OR customer)"
"Queen Tarzi","queentarzi.com","Nieuw-Vennep","Beauty · vegan make-up","€2-6M","A","Manizha Nabizada","CEO & Founder","","Geverifieerd","eigen about-pagina","alleen extern ClickUp-formulier; geen e-mail/telefoon/chat/WhatsApp","Al het klantcontact loopt via een extern ClickUp-supportformulier; er staat geen e-mailadres, telefoon, chat of WhatsApp op de contactpagina, terwijl het merk sterk TikTok-gedreven is.","Voor een merk dat op TikTok zo aanwezig is, valt op dat klanten jullie alleen via een los formulier kunnen bereiken.","site:linkedin.com/in ""Queen Tarzi"" (customer OR operations OR klantenservice). Vermijd founder Manizha Nabizada"
"LOOkX Cosmetics","lookx.com","Nederland","Beauty · skincare/make-up","€2-5M","A","Cindy van der Peet","CEO & Founder (LOOkX Group)","","Geverifieerd","eigen founder-pagina","formulier + terugbelverzoek, telefoon 8:30-17; geen e-mail/chat/WhatsApp","Werft actief een Customer Service-medewerker, terwijl een team van ~16 zowel 1.500+ huidexperts (B2B) als consumenten (B2C) bedient.","Ik zag dat jullie een klantenservicemedewerker zoeken, wat logisch is als je met een klein team zowel salons als consumenten wilt bedienen.","site:linkedin.com/in ""LOOkX"" (customer OR operations OR klantenservice)"
"WONDR","wondr.planetb.care","Amsterdam","Beauty · plasticvrij","€1-4M","B","Tibbe Verschaffel","Founder & CEO Planet B / WONDR (Gent BE; ops Jolien Plouy blijft lead)","","Geverifieerd","openbare podcast/artikel","e-mail (hello@planetb.be), formulier; geen chat/WhatsApp/telefoon","Planet B draait meerdere merken (WONDR, POWR, BRAUZZ., Klaaar) plus winkels in Gent en Antwerpen vanuit één centraal team, met CS via één adres.","Met meerdere merken en winkels in Gent en Antwerpen onder Planet B vraag ik me af hoe jullie het klantcontact over al die kanalen gebundeld houden.","site:linkedin.com/in ""WONDR"" (operations OR e-commerce OR customer) amsterdam. Filter op 'planetb'"
"Loïs Lee SkinCare","loislee.nl","Amsterdam","Beauty · natuurlijke skincare","€500K-2M","A","Debbie van Weelden","Founder (alt niet-founder: Sharon Smildiger-IJntema, COO, blijft lead)","","Geverifieerd","eigen about-pagina","e-mail (support@), formulier, chat werkdagen; geen telefoon/WhatsApp","Biedt persoonlijk huidadvies via CS die routines aanpast, maar alleen via e-mail, formulier en chat op werkdagen, zonder telefoon of WhatsApp.","Jullie geven klanten heel persoonlijk huidadvies via de klantenservice, terwijl dat kanaal nu vrij smal is ingericht.","site:linkedin.com/in (""Loïs Lee"" OR ""Lois Lee"") (""customer care"" OR ""customer service"")"
"IK Skin Perfection","ik-skinperfection.nl","Nederland","Beauty · cosmeceutical","€2-6M","B","Petra Sanderman","Oprichter/eigenaar Summery Cosmedical Group","","Geverifieerd","Beauty-Pro (openbaar)","e-mail (support@), formulier + terugbel, telefoon groepsniveau; geen chat/WhatsApp","Levert uitsluitend aan schoonheidsspecialisten (min. MBO-3) met een Medical Collection voor zware medicatie/chemo, wat klantcontact sterk advies- en professional-gericht maakt.","Omdat jullie alleen via geschoolde specialisten verkopen, is jullie klantcontact denk ik heel anders dan bij een gewone webshop.","site:linkedin.com/in (""IK Skin Perfection"" OR ""Summery Cosmedical"") (customer OR operations)"
"Food for Skin","foodforskin.nl","Nederland","Beauty · natuurlijke skincare","€500K-2M","B","Angela Ursem","Co-founder & CEO","","Geverifieerd","eigen contactpagina + pers","e-mail (hello@ + persoonlijke), formulier, telefoon; geen chat/WhatsApp. NB domein nu foodforskin.care","Op de contactpagina staan de founders zelf met naam en persoonlijk e-mailadres als aanspreekpunt, terwijl het merk net kapitaal ophaalde om Europees op te schalen.","Nu jullie Europees willen opschalen, wordt het lastiger om klanten nog persoonlijk door de oprichters zelf te woord te laten staan.","site:linkedin.com/in ""Food for Skin"" (operations OR customer OR e-commerce). Verifieer entiteit via KVK"
"Skin for Skin","skinforskin.nl","Urk","Beauty · collageen/supplementen","€500K-4M","B","Mardien Radewalt-Brouwer","(Co-)founder","","Geverifieerd","Beauty-Pro + interview","e-mail (info@), formulier, WhatsApp, telefoon","Klein team (~1-10) uit Urk, voortgekomen uit visverwerker Varia Vis, met de founder als persoonlijk aanspreekpunt inclusief WhatsApp.","Als klein team uit Urk doen jullie het klantcontact nu nog heel persoonlijk, zelfs via WhatsApp, wat knap is maar ook veel tijd van dat team vraagt.","site:linkedin.com/in ""Skin for Skin"" Urk (operations OR customer). Niet oprichter Mardien Radewalt"
"Superfoodies","superfoodies.nl","Landsmeer","Supplements · superfoods","€4,1M","A","Patricia van Noord","Customer Happiness / Klantenservice","https://www.linkedin.com/in/patricia-van-noord-39ba2a47","Geverifieerd","Bevestigd via LinkedIn (Simon)","e-mail (info@), formulier, chat, WhatsApp, telefoon","Lage Trustpilot-score (~2,4) met overwegend negatieve reviews, terwijl er tegelijk een vacature loopt voor Teamleader Customer Happiness Team.","Jullie noemen het bewust een 'Customer Happiness Team', maar de Trustpilot-reviews laten zien dat de happiness op piekmomenten lastig vast te houden is.","nl.linkedin.com/company/superfoodiesnl People-tab. Niet founder Michel Norbruis"
"Orangefit","orangefit.com","Alkmaar","Supplements · vegan sportvoeding","€1-5M","B","Rens Slik","Oprichter & CEO (alt CS-drager: Maayke Symone Spruit, officemanager, blijft lead)","","Geverifieerd","eigen our-story","e-mail (hallo@), formulier, WhatsApp, telefoon; geen chat","Zeer hoog reviewvolume (5.500+) en een team van 13: CS-volume groeit sneller dan het interne team, terwijl geen aparte CS-lead publiek zichtbaar is.","Met 5.500+ reviews en een team van dertien loopt de klantcontactstroom waarschijnlijk grotendeels via één paar handen op kantoor.","Klantcontact (telefoon+e-mail+social) tegelijk met beperkte bezetting; founders Rens Slik/Max Blaauboer uitgesloten"
"Nutramin","nutramin.nl","Amersfoort","Supplements · orthomoleculair","€1-3M","A","Mischa Strijder","Eigenaar & CEO (alt: Krizia de Groot, marketing, blijft lead)","","Geverifieerd","eigen over-ons ('Mischa Strijder heeft Nutramin overgenomen')","e-mail (info@), telefoon, fax; geen formulier/chat/WhatsApp","Contactpagina biedt alleen telefoon, e-mail en fax (geen formulier, chat of WhatsApp), opvallend traditioneel voor een D2C-webshop in 2026.","Een faxnummer op de contactpagina zegt genoeg over hoeveel er sinds de kliniek-jaren aan het klantcontact veranderd is.","Servicekwaliteit consistent houden over 6 merken nu volume/kanalen toenemen; eigenaar Mischa Strijder uitgesloten"
"Natuurlijk Presteren","natuurlijkpresteren.nl","Raamsdonksveer","Supplements · performance","€2-5M","B","Jochum Smid","Founder / eigenaar (CORRECTIE: niet Hein van Kuijck, die is content-auteur)","","Geverifieerd","eigen over-ons + LinkedIn","e-mail (klantenservice@), formulier, live chat 9-21, telefoon","Live-chat belooft bereikbaarheid dagelijks 09:00-21:00 met reactie binnen 30 seconden, een brede belofte die met een klein team en founder-gedreven advies moeilijk vol te houden is.","Van 09:00 tot 21:00 chatbereikbaarheid beloven met binnen 30 seconden antwoord is een flinke lat voor een merk dat nog grotendeels om de kennis van de oprichter draait.","nl.linkedin.com/company/natuurlijkpresteren. Niet founder Jochum Smid"
"Ergomax","ergomax.nl","Nijmegen","Supplements · biohacking","€1-4M","A","Samuel Zonneveld","Mede-oprichter / directie (met Paul Zonneveld)","","Geverifieerd","eigen blog 'oude eigenaren kopen Ergomax terug'","e-mail (info@), formulier, telefoon 3u/dag; chat vaak offline","Telefonische klantenservice is slechts 3 uur per dag bereikbaar (ma-vr 9:30-12:30) terwijl Trustpilot-reviews melden dat mails/telefoon onbeantwoord blijven en de chat offline staat.","Een klantenservice die maar drie uur per ochtend telefonisch open is, verklaart precies de reviews waarin klanten schrijven dat er niemand opneemt.","Wig tussen ambitie (CS als nieuwe koers) en 3u/dag bereikbaarheid; check company People-tab handmatig"
"Plent","plent.nl","Schagen","Supplements · vegan","€1-4M","B","Bas Hoeve","B2B / Klantenservice (tevens mede-oprichter; bezit CS)","","Geverifieerd","eigen teampagina + beantwoordt reviews","e-mail (info@ 24/7), formulier, WhatsApp, telefoon; geen chat","De persoon die klantenservice runt en de Trustpilot-reviews persoonlijk beantwoordt (Bas) is tegelijk mede-oprichter en verantwoordelijk voor B2B; CS deelt tijd met sales.","Dat Bas zelf nog de Trustpilot-reviews beantwoordt naast de B2B-tak laat zien hoe dicht de klantenservice bij de oprichter zit.","site:linkedin.com/in ""Plent"" (klantenservice OR operations OR e-commerce). Niet co-founder Bas Hoeve"
"Vitals","vitals.nl","Zaandam","Supplements · orthomoleculair","€2-6M","B","Patricia Bakker","Klantenservice (op eigen contactpagina; niet op woensdag)","","Geverifieerd","eigen contactpagina","e-mail (info@/patricia@), telefoon; geen formulier/chat/WhatsApp","De klantenservice draait herkenbaar op enkele met naam genoemde personen (Patricia Bakker, niet op woensdag; Joyce Donker-Haanappel) bij ~3.000 reviews, een persoonlijke maar kwetsbare bezetting.","Dat klanten Patricia en Joyce bij naam kennen is charmant, maar het betekent ook dat de hele klantenservice op woensdag al dunner bezet is.","site:linkedin.com/in ""Patricia Bakker"" Vitals. Eigenaar Bolke Koster uitgesloten"
"LUTO Supplements","luto-supplements.nl","Zwolle","Supplements · sport","€1-4M","A","Tobian van der Aa","Mede-eigenaar / oprichter","","Geverifieerd","LinkedIn + regionaal nieuws","e-mail (klantenservice@), formulier, live chat, telefoon","De twee eigenaren zijn nog studenten en runnen tegelijk een tweede webshop (Woofies); de klantenservice van LUTO deelt hun aandacht met studie en een ander bedrijf.","Twee studentondernemers die naast LUTO ook nog Woofies runnen, dan is klantenservice al snel het bordje dat als eerste te veel wordt.","site:linkedin.com/in ""Luto Supplements"" (customer OR operations OR klantenservice). Niet mede-eigenaren"
"Consiouz","consiouz.nl","Eindhoven","Supplements · slaap","€500K-3M","A","","Algemeen adres, geen contactpersoon","","Naam te vinden","Simon: geen beslisser vindbaar, algemeen adres","e-mail (info@), formulier, WhatsApp","Klantcontact loopt hoofdzakelijk via een persoonlijk WhatsApp-nummer en de eigenaar voert zelf klantgesprekken; zeer persoonsafhankelijke klantenservice.","Dat klanten je persoonlijk kunnen appen en je zelf de slaapgesprekken voert, is precies de charme die op drukke momenten je grootste knelpunt wordt.","site:linkedin.com/in Consiouz (operations OR customer OR klantenservice) Eindhoven"
