bedrijf,domein,faseA_rang,vertical,bevinding,mechanisme,implicatie_als_vraag,koopmoment,bevinding_bron,bevinding_gecheckt,bronregel,cs_tooling,producten,markten,teampagina,vacaturepagina,linkedin,kandidaat_namen,status
Ballin Amsterdam,ballinamsterdam.com,14,fashion-streetwear,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina ballinamsterdam.com,17 augustus 2026,"Bron: klantenservicepagina ballinamsterdam.com, gecontroleerd 17 augustus 2026",gorgias,171,2,,,,,geverifieerd-bevinding
Isabel Bernard,isabelbernard.com,15,sieraden,De klantenservice staat op de site als bereikbaar: Maandag t/m vrijdag Zaterdag & zondag 09:00 - 12:00. Op de servicepagina staat een toegezegde reactietijd: binnen 5 werkdag. De site voert 10 taal- en marktvarianten.,"Een desk die om vijf uur dichtgaat, mist de avond waarin de meeste consumentbestellingen worden geplaatst. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt.",Ik was benieuwd hoe vaak die binnen 5 werkdag in het hoogseizoen nog gehaald wordt.,"Er komt een merk, land of kanaal bij",klantenservicepagina isabelbernard.com,17 augustus 2026,"Bron: klantenservicepagina isabelbernard.com, gecontroleerd 17 augustus 2026",,264,10,,,,,geverifieerd-bevinding
RainPharma,rainpharma.com,16,beauty-be,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail. Op de servicepagina staat een toegezegde reactietijd: binnen 3 werkdag. De site voert 32 taal- en marktvarianten.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.","Er komt een merk, land of kanaal bij",klantenservicepagina rainpharma.com,17 augustus 2026,"Bron: klantenservicepagina rainpharma.com, gecontroleerd 17 augustus 2026",,250,32,,,,,geverifieerd-bevinding
ANNA plus NINA,anna-nina.nl,18,sieraden,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail. De productfeed telt 819 artikelen.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina anna-nina.nl,17 augustus 2026,"Bron: klantenservicepagina anna-nina.nl, gecontroleerd 17 augustus 2026",,819,2,,,,,geverifieerd-bevinding
Butcher of Blue,butcherofblue.com,20,fashion-heren,"WhatsApp staat open als contactkanaal, naast telefoon en mail, en er is een damescollectie bij gekomen naast de herenlijn.","WhatsApp wekt de verwachting van een antwoord binnen het uur, en een tweede collectie brengt een nieuwe klantgroep met eigen maatvragen mee.",Ik was benieuwd hoe snel jullie op WhatsApp willen zijn en of dat lukt.,"Er komt een merk, land of kanaal bij",contactpagina butcherofblue.com,17 augustus 2026,"Bron: contactpagina butcherofblue.com, gecontroleerd 17 augustus 2026",,360,3,,,https://www.linkedin.com/company/butcher-of-blue,,geverifieerd-bevinding
Rosefield,rosefieldwatches.com,21,horloges,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail. De site voert 14 taal- en marktvarianten. De productfeed telt 545 artikelen.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt. Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.","Er komt een merk, land of kanaal bij",klantenservicepagina rosefieldwatches.com,17 augustus 2026,"Bron: klantenservicepagina rosefieldwatches.com, gecontroleerd 17 augustus 2026",,545,14,,https://eu.rosefieldwatches.com/pages/careers?_gl=1*81xok3*_gcl_au*ODk0ODI5Mzk4LjE3NzM2NzM1MDAuMjA1NTI1MDk3OS4xNzc5MzczMzEyLjE3NzkzNzMzMTI.*_ga*MTkwNDE3NDU5Ny4xNzI3NjkxNTk1*_ga_Y8422J08XW*czE3ODAwNTQxMTIkbzIzMiRnMSR0MTc4MDA1NDYwOSRqNjAkbDAkaDkwMjI0Mjcw,,,geverifieerd-bevinding
Studio Ins en Outs,studioinsenouts.nl,22,lifestyle,De productfeed telt 960 artikelen.,"Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.",Ik was benieuwd wie er op dit moment op het klantcontact zit.,Het volume groeit sneller dan de bezetting,klantenservicepagina studioinsenouts.nl,17 augustus 2026,"Bron: klantenservicepagina studioinsenouts.nl, gecontroleerd 17 augustus 2026",,960,5,,,,,geverifieerd-bevinding
Wolplein,wolplein.nl,24,hobby,De site voert 25 taal- en marktvarianten. De productfeed telt 3000 artikelen.,"Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt. Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.",Ik was benieuwd hoe jullie 25 markten nu over de dag verdeeld zijn.,"Er komt een merk, land of kanaal bij",klantenservicepagina wolplein.nl,17 augustus 2026,"Bron: klantenservicepagina wolplein.nl, gecontroleerd 17 augustus 2026",whatsapp-widget,3000,25,,,,,geverifieerd-bevinding
Sapph,sapph.com,25,lingerie,"Klanten die in juli 2024 bestelden, wachtten volgens Radar eind juni 2025 nog op levering en op terugbetaling. Het merk ging in maart 2026 over naar een nieuwe eigenaar en kreeg in mei 2026 een nieuwe CEO.","Een nieuw team erft de mailbox van het oude, inclusief alles wat daar nog open in staat.",Ik was benieuwd hoeveel van die oude gevallen nu nog bij het nieuwe team op tafel liggen.,Er wisselt iets in eigendom of leiding en alles wordt opnieuw ingericht,"Radar (AVROTROS) en Textilia, 10 juni 2026",17 augustus 2026,"Bron: Radar (AVROTROS) en Textilia, 10 juni 2026, gecontroleerd 17 augustus 2026",gorgias,230,0,https://www.sapph.com/pages/over-ons,,,,geverifieerd-bevinding
Marcels Green Soap,marcelsgreensoap.com,28,huishoud,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina marcelsgreensoap.com,17 augustus 2026,"Bron: klantenservicepagina marcelsgreensoap.com, gecontroleerd 17 augustus 2026",,137,5,https://marcelsgreensoap.com/pages/ons-team,https://marcelsgreensoap.com/pages/vacatures,,Anne van Dijk (accountmanager); Manon van Vliet (head of),geverifieerd-bevinding
Malelions,malelions.com,29,fashion-streetwear,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail. Op de servicepagina staat een toegezegde reactietijd: binnen 2 werkdag. De productfeed telt 2568 artikelen.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt. Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina malelions.com,17 augustus 2026,"Bron: klantenservicepagina malelions.com, gecontroleerd 17 augustus 2026",,2568,2,,,,,geverifieerd-bevinding
Quotrell,quotrell.com,30,fashion-streetwear,De site voert 11 taal- en marktvarianten.,"Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt.",Ik was benieuwd hoe jullie 11 markten nu over de dag verdeeld zijn.,"Er komt een merk, land of kanaal bij",klantenservicepagina quotrell.com,17 augustus 2026,"Bron: klantenservicepagina quotrell.com, gecontroleerd 17 augustus 2026",ai-chat,355,11,https://quotrell.com/pages/over-ons,https://quotrell.com/pages/career-opportunities-1,,Hans Peters (founder),geverifieerd-bevinding
Muchachomalo,muchachomalo.com,33,ondergoed,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail. De productfeed telt 1725 artikelen.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina muchachomalo.com,17 augustus 2026,"Bron: klantenservicepagina muchachomalo.com, gecontroleerd 17 augustus 2026",ai-chat,1725,4,,,,Manager de Shopify (manager),geverifieerd-bevinding
Xtorm,xtorm.eu,34,elektronica,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail. Op de servicepagina staat een toegezegde reactietijd: within 48 hours. De site voert 11 taal- en marktvarianten.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.","Er komt een merk, land of kanaal bij",klantenservicepagina xtorm.eu,17 augustus 2026,"Bron: klantenservicepagina xtorm.eu, gecontroleerd 17 augustus 2026",ai-chat,161,11,,,https://www.linkedin.com/company/xtormeu,,geverifieerd-bevinding
Seepje,seepje.com,37,huishoud,Op de servicepagina staat een toegezegde reactietijd: binnen 24 uur.,"Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.",Ik was benieuwd hoe vaak die binnen 24 uur in het hoogseizoen nog gehaald wordt.,Het volume groeit sneller dan de bezetting,klantenservicepagina seepje.com,17 augustus 2026,"Bron: klantenservicepagina seepje.com, gecontroleerd 17 augustus 2026",,64,3,,,https://nl.linkedin.com/company/seepje,,geverifieerd-bevinding
Pieter Pot,pieter-pot.nl,38,food-abonnement,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail. Op de servicepagina staat een toegezegde reactietijd: Binnen 12 uur. De productfeed telt 528 artikelen.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt. Een breed assortiment betekent meer maat-, kleur- en voorraadvragen per order.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina pieter-pot.nl,17 augustus 2026,"Bron: klantenservicepagina pieter-pot.nl, gecontroleerd 17 augustus 2026",,528,0,,,,,geverifieerd-bevinding
Eyelove Brillen,eyelovebrillen.nl,39,brillen,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via WhatsApp en chat en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina eyelovebrillen.nl,17 augustus 2026,"Bron: klantenservicepagina eyelovebrillen.nl, gecontroleerd 17 augustus 2026",whatsapp-widget,0,2,,,,,geverifieerd-bevinding
Fromanteel,fromanteel.nl,41,horloges,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail. De site voert 16 taal- en marktvarianten.","Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Elke extra markt brengt zijn eigen taal, feestdagen en retourregels mee, terwijl dezelfde mailbox het opvangt.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.","Er komt een merk, land of kanaal bij",klantenservicepagina fromanteel.nl,17 augustus 2026,"Bron: klantenservicepagina fromanteel.nl, gecontroleerd 17 augustus 2026",,0,16,,,,,geverifieerd-bevinding
Veloretti,veloretti.com,42,mobiliteit,"Veloretti plaatste op 6 juli 2026 een vacature voor een Customer Care Agent van 32 tot 40 uur. In diezelfde tekst staat: ""Sinds 2022 horen we bij Pon.Bike."" en ""Met het oog op onze groei bouwen we aan de teams en cultuur voor de volgende fase van Veloretti.""","De vacature is echt en vers, maar het merk valt onder Pon.Bike. Dat is dezelfde situatie als Homey onder LG: de inkoopbeslissing over klantcontact ligt dan waarschijnlijk niet meer bij het merk zelf.",Eerst uitzoeken of Veloretti zijn eigen leveranciers nog kiest of dat dat via Pon loopt.,De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina veloretti.com,17 augustus 2026,"Bron: vacaturepagina veloretti.recruitee.com, gecontroleerd 17 augustus 2026",gorgias,0,0,https://www.veloretti.com/about-us,https://www.veloretti.com/jobs,https://www.linkedin.com/company/veloretti%C2%AE-bicycles,,geparkeerd-concern
Yogisha,yogisha.nl,44,sport,Op de servicepagina staat een toegezegde reactietijd: binnen 2 werkdag.,"Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.",Ik was benieuwd hoe vaak die binnen 2 werkdag in het hoogseizoen nog gehaald wordt.,Het volume groeit sneller dan de bezetting,klantenservicepagina yogisha.nl,17 augustus 2026,"Bron: klantenservicepagina yogisha.nl, gecontroleerd 17 augustus 2026",zendesk,0,0,,https://www.yogisha.nl/nl/service/vacatures/,,,geverifieerd-bevinding
Blond Amsterdam,blond-amsterdam.com,46,lifestyle,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina blond-amsterdam.com,17 augustus 2026,"Bron: klantenservicepagina blond-amsterdam.com, gecontroleerd 17 augustus 2026",gorgias,0,0,https://blond-amsterdam.com/over-blond-amsterdam/ons-verhaal/,https://blond-amsterdam.com/over-blond-amsterdam/vacatures/,,,geverifieerd-bevinding
Rehab Footwear,rehabfootwear.com,50,schoenen,"De klantenservice staat op de site als bereikbaar: MA-VR | 09:30 - 17:00. Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via WhatsApp en chat en mail. Op de servicepagina staat een toegezegde reactietijd: BINNEN 2 WERKDAG.","Een desk die om vijf uur dichtgaat, mist de avond waarin de meeste consumentbestellingen worden geplaatst. Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten. Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.","Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina rehabfootwear.com,17 augustus 2026,"Bron: klantenservicepagina rehabfootwear.com, gecontroleerd 17 augustus 2026",whatsapp-widget,373,2,,,https://nl.linkedin.com/company/rehab-footwear,,geverifieerd-bevinding
Wakuli,wakuli.com,51,food-abonnement,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via chat en mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina wakuli.com,17 augustus 2026,"Bron: klantenservicepagina wakuli.com, gecontroleerd 17 augustus 2026",whatsapp-widget,57,5,https://www.wakuli.com/pages/mission,,,,geverifieerd-bevinding
Printenbind,printenbind.nl,52,personalisatie-print,"De klantenservice is bereikbaar van maandag tot en met donderdag van 08:00 tot 21:30, bij duizenden orders per dag en meer dan 9.500 Trustpilot-reviews.","Een desk die tot half tien open is, bestaat omdat het volume buiten kantooruren doorloopt.",Ik was benieuwd wie die avonden op dit moment draait.,Het volume groeit sneller dan de bezetting,klantenservicepagina printenbind.nl,17 augustus 2026,"Bron: klantenservicepagina printenbind.nl, gecontroleerd 17 augustus 2026",intercom|whatsapp-widget,0,1,https://www.printenbind.nl/over-ons,https://werkenbijprintenbind.nl/,https://www.linkedin.com/company/printenbind,,geverifieerd-bevinding
Flinndal,flinndal.nl,55,supplementen,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina flinndal.nl,17 augustus 2026,"Bron: klantenservicepagina flinndal.nl, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
PLNTS,plnts.com,57,planten,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina plnts.com,17 augustus 2026,"Bron: klantenservicepagina plnts.com, gecontroleerd 17 augustus 2026",,0,0,,,,,geverifieerd-bevinding
Purewhite,purewhite.nl,61,fashion-streetwear,"Op de klantenservicepagina staat geen telefoonnummer, het contact loopt via mail.",Zonder telefoonlijn komt elke twijfel als bericht binnen en wordt hij een wachtrij in plaats van een gesprek van twee minuten.,"Ik was benieuwd of jullie zelf hebben gemerkt dat vragen die telefonisch in twee minuten klaar zijn, per mail een paar dagen kosten.",De bereikbaarheid is smaller dan wat de klant verwacht,klantenservicepagina purewhite.nl,17 augustus 2026,"Bron: klantenservicepagina purewhite.nl, gecontroleerd 17 augustus 2026",,264,0,https://www.pure-path.com/pages/about,https://www.pure-path.com/pages/careers,,,geverifieerd-bevinding
Podobrace,podobrace.nl,63,gezondheid,Op de servicepagina staat een toegezegde reactietijd: binnen 24 uur.,"Een toegezegde reactietijd is een belofte die per binnenkomend bericht wordt gemeten, dus hij wordt zwaarder naarmate het volume stijgt.",Ik was benieuwd hoe vaak die binnen 24 uur in het hoogseizoen nog gehaald wordt.,Het volume groeit sneller dan de bezetting,klantenservicepagina podobrace.nl,17 augustus 2026,"Bron: klantenservicepagina podobrace.nl, gecontroleerd 17 augustus 2026",trengo|whatsapp-widget,0,2,https://www.podobrace.nl/over-ons/,https://www.podobrace.nl/vacatures/,https://www.linkedin.com/company/podobrace,,geverifieerd-bevinding
