Tier,Bedrijf,Stad,Verticaal,Merktype,Platform,Omzet_est,Geografie,CS_situatie,Pijn_profiel,ICP_score,Trigger,Contactkanalen_signal,ICP_fit_toelichting,Beslisser_naam,Beslisser_functie,LinkedIn_zoekterm,Verificatie_nodig,Status
Tier 1,Alchemist,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Groeit eruit,B,8/8,Premium fashion,E-mail (verif.),Premium sustainable fashion; klein team,,Founder,founder alchemist fashion amsterdam,CS audit,Direct activeren
Tier 1,Rhumaa,Nederland,Fashion,Eigen merk D2C,Shopify (verif.),€500K–2M,NL,Geen systeem,B,8/8,Fashion met verhaal,E-mail (verif.),Storytelling fashion D2C; beperkte kanalen = goed signaal,,Founder,founder rhumaa fashion,Kanalen audit,Direct activeren
Tier 1,Dutchbone,Deventer,Home,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Design furniture DTC,E-mail + chat,Design meubels; schade/maat vragen; premium verwachting,,Director / Founder,directeur dutchbone deventer,D2C vs dealer,Direct activeren
Tier 1,Zuiver,Nederland,Home,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Basic tool,B,8/8,Woonaccessoires,E-mail + contactformulier,Home decor; hogere orderwaarden; CS kwaliteit = merk,,Commercial director,commercial director zuiver living,BuiltWith,Direct activeren
Tier 1,It's About RoMi,Amsterdam,Home,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Lighting & home,E-mail + chat,Verlichting/woon; productadvies; groeiende D2C,,Founder / CEO,founder its about romi amsterdam,CS tool check,Direct activeren
Tier 1,Bazar Bizar,Antwerpen/NL,Home,Eigen merk D2C,Shopify (verif.),€1M–3M,NL/BE,Basic tool,B,8/8,Bohemian home decor,E-mail (verif.),Home decor; sterk social; NL bereik; BE met NL shop,,Founder,founder bazar bizar,BE shop + NL volume,Direct activeren
Tier 1,vtwonen shop,Amsterdam,Home,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Media + shop,E-mail + chat,Woonshop van merk; seizoenspieken; CS bij levering/schade,,Shop director / CMO,CMO vtwonen shop,Media vs pure D2C,Direct activeren
Tier 1,HKliving,Amsterdam,Home,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Ceramics & home,E-mail (verif.),Design home; B2B+B2C mix maar sterke D2C shop,,Founder,founder hkliving amsterdam,D2C % omzet,Direct activeren
Tier 1,Pomax,Kontich/NL,Home,Eigen merk D2C,Shopify (verif.),€2M–5M,NL/BE,Basic tool,B,8/8,Home accessories,E-mail (verif.),Woonaccessoires; NL markt; dealer + D2C,,CEO / DGA,CEO pomax living,Shopify NL,Direct activeren
Tier 1,Vetain,Nederland,Supplements,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Geen systeem,B,8/8,Supplementen groei,E-mail (verif.),Sports/supplements; productvragen; subscription,,Founder,founder vetain supplements,Product CS volume,Direct activeren
Tier 1,Plnktn,Nederland,Supplements,Eigen merk D2C,Shopify (verif.),€500K–2M,NL,Geen systeem,B,8/8,Plant-based supplements,E-mail (verif.),Supplementen; dosering vragen; klein team,,Founder,founder plnktn,Shopify verify,Direct activeren
Tier 1,Noordcode,Nederland,Supplements,Eigen merk D2C,Shopify (verif.),€500K–2M,NL,Geen systeem,B,8/8,Premium supplements,E-mail (verif.),Premium supplementen NL; inhoudelijke CS,,Founder / DGA,founder noordcode supplements,Omzet range,Direct activeren
Tier 1,Foodspring NL,Nederland,Supplements,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Nutrition DTC,E-mail + chat,Sports nutrition; NL shop; product/dosering CS,,Country manager / Marketing,marketing director foodspring nederland,NL entity size,Direct activeren
Tier 1,Women's Best NL,Nederland,Supplements,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Basic tool,B,8/8,Fitness nutrition vrouwen,E-mail + chat,Supplementen beauty/fitness; D2C; hoog volume,,Founder / NL lead,founder womens best netherlands,NL omzet vs global,Direct activeren
Tier 1,Goosecraft,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Leather jackets premium,E-mail + chat,Premium outerwear D2C; hogere tickets; retour/maat,,Founder / CEO,founder goosecraft amsterdam,Omzet + CS team,Direct activeren
Tier 1,Naif Care,Amsterdam,Beauty,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Geen systeem,B,8/8,Baby/natural care,E-mail (verif.),Natural baby care; ingredient vragen; D2C,,Founder / CEO,founder naif care amsterdam,BuiltWith,Direct activeren
Tier 1,Marie-Stella-Maris,Amsterdam,Lifestyle,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Social impact lifestyle,E-mail + chat,Home/fragrance; premium; CSR merk,,Founder / CEO,founder marie stella maris,CS structuur,Direct activeren
Tier 1,Pip Studio,Amsterdam,Home,Eigen merk D2C,Shopify (verif.),€3M–8M,NL,Groeit eruit,B,8/8,Prints & home,E-mail + chat,Bekend home merk; D2C; cadeau pieken,,Commercial director,commercial director pip studio,Omzet boven €5M?,Direct activeren
Tier 1,Essenza Home,Eindhoven,Home,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Basic tool,B,8/8,Beddengoed/textiel,E-mail (verif.),Home textiles; retail+D2C; consument CS,,CEO / Commercial,CEO essenza home eindhoven,D2C shop verify,Direct activeren
Tier 1,Beddinghouse,Nederland,Home,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Beddengoed,E-mail + contactformulier,Beddengoed merk; seizoenspromoties; retouren,,Director,directeur beddinghouse,Shopify,Direct activeren
Tier 1,Aver Living,Nederland,Home,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Geen systeem,B,8/8,Woonaccessoires,E-mail (verif.),Home D2C; boutique schaal,,Founder,founder aver living,Kanalen audit,Direct activeren
Tier 1,Snurk,Amsterdam,Home,Eigen merk D2C,Shopify (verif.),€1M–3M,NL,Basic tool,B,8/8,Design beddengoed,E-mail (verif.),Design bedding; gift peaks; boutique,,Founder,founder snurk bedding amsterdam,BuiltWith,Direct activeren
Tier 1,Cast Iron,Amsterdam,Fashion,Eigen merk D2C,Shopify (verif.),€2M–5M,NL,Groeit eruit,B,8/8,Herenmode/shirts NL,E-mail + chat,NL fashion merk; overhemden focus; retour/maat CS,,Commercial director,commercial director cast iron amsterdam,BuiltWith + omzet,Direct activeren
Tier 2,Filling Pieces,Amsterdam,Fashion,Eigen merk D2C,Shopify,€5M–12M,NL,Groeit eruit,B,7/8,Streetwear internationaal,E-mail + socials,Shopify early adopter; omzet mogelijk boven €5M,Guillaume Philipe,Founder / CEO,Guillaume Philipe filling pieces,Omzet + CS team,Verificeren
Tier 2,Daily Paper,Amsterdam,Fashion,Eigen merk D2C,Shopify Plus,€8M–15M,NL,Groeit eruit,B,6/8,Schaal boven sweetspot,E-mail + chat,Bekend NL streetwear; check inhouse CS,Abderrahmane Trichine,Co-founder,Abderrahmane Trichine daily paper,Grootte,Verificeren
Tier 2,Olaf Hussein,Amsterdam,Fashion,Eigen merk D2C,Shopify,€2M–5M,NL,Basic tool,B,7/8,Menswear boutique,E-mail (verif.),Menswear designer; webshop NL,Olaf Hussein,Founder,Olaf Hussein menswear,Shopify verify,Verificeren
Tier 2,Organic Basics,Amsterdam,Fashion,Eigen merk D2C,Shopify,€3M–8M,NL,Groeit eruit,B,7/8,Internationaal merk,E-mail + chat,Basics; NL is key market; check omzet NL,Mads Fibiger,CEO,Mads Fibiger organic basics,NL revenue,Verificeren
Tier 2,Tenue de Nîmes,Amsterdam,Fashion,Retail + D2C,Shopify,€3M–8M,NL,Basic tool,B,7/8,Denim boutique,E-mail + chat,Retail + online; niet puur D2C,,Founder,founder tenue de nimes,D2C volume,Verificeren
Tier 2,Juttu,België,Fashion,Eigen merk D2C,Shopify,€2M–5M,BE,Basic tool,B,7/8,BE met NL bereik,E-mail + chat,Belgisch fashion; NL klanten; Tier 2 geo,,Founder / CEO,CEO juttu belgie,NL volume,Verificeren
Tier 2,Essentiel Antwerp,Antwerpen,Fashion,Eigen merk D2C,Shopify,€5M–15M,BE/NL,Groeit eruit,B,6/8,BE fashion,E-mail + chat,NL webshop; mogelijk groot,,E-commerce director,ecommerce essentiel antwerp,Omzet + CS,Verificeren
Tier 2,Maison Lab,Nederland,Beauty,Eigen merk D2C,Shopify,€500K–2M,NL,Onbekend,B,7/8,Skincare Instagram,E-mail (verif.),Beauty D2C; CS onduidelijk - uit Tier 3 test,,Founder,founder maison lab skincare,CS audit,Verificeren
Tier 2,8mountains,Nederland,Supplements,Eigen merk D2C,Shopify,€500K–2M,NL,Onbekend,B,7/8,Supplements groei,E-mail (verif.),Supplements; weinig structuur vermoed,,Founder,founder 8mountains supplements,CS situatie,Verificeren
Tier 2,Only Natural,Nederland,Supplements,Eigen merk D2C,Shopify,€500K–2M,NL,Onbekend,B,7/8,Bio supplements,E-mail (verif.),Bio voeding/supplements; groeiend,,Founder,founder only natural supplements,Shopify verify,Verificeren
Tier 2,Pockies,Nederland,Fashion,Eigen merk D2C,Shopify,€1M–3M,NL,Onbekend,B,7/8,Loungewear social,E-mail (verif.),Loungewear; jong; CS onduidelijk,,Founder,founder pockies loungewear,CS audit,Verificeren
Tier 2,Studio Noos,Nederland,Fashion,Eigen merk D2C,Shopify,€1M–3M,NL,Onbekend,B,7/8,Accessoires community,E-mail (verif.),Tassen/accessoires; community sterk,,Founder,founder studio noos,CS audit,Verificeren
Tier 2,Bamigo,Amsterdam,Fashion,Eigen merk D2C,Shopify,€1M–3M,NL,Onbekend,B,7/8,Basics ondergoed,E-mail (verif.),Basics; social actief; CS verificeren,,Founder / CEO,founder bamigo amsterdam,CS audit,Verificeren
Tier 2,Dopper,Amsterdam,Lifestyle,Eigen merk D2C,Shopify,€2M–5M,NL,Onbekend,B,6/8,D2C + retail mix,E-mail + chat,Bekend merk; retail mix; D2C volume check,,Marketing director,marketing director dopper,D2C %,Verificeren
Tier 2,Nikkie,Nederland,Fashion,Eigen merk D2C,Shopify,€2M–5M,NL,Groeit eruit,B,7/8,Damesmode merk,E-mail + chat,Bekend NL damesmode; webshop; maat/retour CS,,Commercial director,commercial director nikkie fashion,CS structuur,Verificeren
Tier 2,HAY Shop,Denemarken/NL,Home,Eigen merk D2C,Shopify,€5M+,NL,Inhouse,B,6/8,Design merk,E-mail + chat,Design; dealer kanaal; D2C shop secundair,,E-commerce manager,ecommerce hay shop netherlands,Prioriteit,Verificeren
Tier 2,Ferm Living NL,Denemarken/NL,Home,Eigen merk D2C,Shopify,€3M–8M,NL,Basic tool,B,7/8,Scandinavian design,E-mail + chat,Home design; NL webshop,,Country manager NL,country manager ferm living netherlands,Omzet NL,Verificeren
Tier 2,Normann Copenhagen NL,Denemarken/NL,Home,Eigen merk D2C,Shopify,€3M–8M,NL,Groeit eruit,B,7/8,Design shop NL,E-mail + chat,Design merk; NL consumenten,,NL manager,manager normann copenhagen netherlands,D2C focus,Verificeren
Tier 2,Vanilia,Nederland,Fashion,Eigen merk D2C,Shopify,€5M–12M,NL,Onbekend,B,6/8,Damesmode retail+D2C,E-mail + chat,Winkels + Shopify; D2C aandeel,,Director,directeur vanilia mode,D2C %,Verificeren
Tier 2,Blue Industry,Nederland,Fashion,Eigen merk D2C,Shopify,€2M–5M,NL,Basic tool,B,7/8,Dames/heren fashion,E-mail (verif.),Fashion merk; eigen webshop; seizoenscollecties,,Director,directeur blue industry fashion,Shopify verify,Verificeren
Tier 2,Cotton Club,Nederland,Home,Eigen merk D2C,Shopify,€2M–5M,NL,Groeit eruit,B,7/8,Beddengoed/textiel,E-mail + chat,Textiel merk; retail + online,,Commercial director,commercial director cotton club,D2C shop,Verificieren
Tier 2,Auping Shop,Deventer,Home,Eigen merk D2C,Shopify,€3M–8M,NL,Inhouse,B,6/8,Matrassen D2C,Telefoon + e-mail,Telefoon aanwezig - moeilijker BCS pitch,,E-commerce manager,ecommerce auping shop,Telefoon kanaal,Verificeren
Tier 2,Expresso Fashion,Nederland,Fashion,Eigen merk D2C,Shopify,€2M–5M,NL,Basic tool,B,7/8,Damesmode NL,E-mail (verif.),Fashion label; D2C channel; retail+online mix,,Director,directeur expresso fashion,Shopify verify,Verificeren
Tier 2,Aevor,Nederland,Lifestyle,Eigen merk D2C,Shopify,€2M–5M,NL,Groeit eruit,B,7/8,Bags DTC,E-mail + chat,Rugzakken/tassen; internationaal; NL shop,,Founder / NL lead,founder aevor bags netherlands,NL omzet,Verificeren
Tier 2,Geisha Fashion,Nederland,Fashion,Eigen merk D2C,Shopify,€2M–5M,NL,Basic tool,B,7/8,Damesmode,E-mail + chat,NL fashion merk; webshop; seizoenspieken,,Director,directeur geisha fashion,Shopify verify,Verificeren
Tier 3,By-Boo,Nederland,Home,Interieur (retail focus),Shopify,€1M–3M,NL,Basic tool,B,5/8,Geen eigen webshop D2C,N.v.t.,Jeffrey: geen D2C CS-volume; retailer channel,,Founder,founder by-boo,Geen webshop,Messaging-test
Tier 3,Denham The Jeanmaker,Amsterdam,Fashion,Eigen merk D2C,Shopify,€5M–15M,NL,Inhouse vermoed,B,5/8,Premium denim groot,E-mail + telefoon,Waarschijnlijk inhouse CS; messaging premium,,CEO,CEO denham the jeanmaker,CS team 3+?,Messaging-test
Tier 3,Ekster,Amsterdam,Lifestyle,Eigen merk D2C,Shopify,€3M–8M,NL,Onbekend,B,6/8,Wallets internationaal,E-mail + chat,Premium wallets; mogelijk inhouse,,Founder,founder ekster wallets,CS grootte,Messaging-test
Tier 3,Vingino,Nederland,Fashion,Eigen merk D2C,Shopify,€5M–12M,NL,Inhouse vermoed,B,5/8,Kindermode groot,Telefoon mogelijk,Q4 pieken; mogelijk inhouse team,,Commercial director,commercial director vingino,CS team,Messaging-test
Tier 3,Ace & Tate,Amsterdam,Lifestyle,Eigen merk D2C,Shopify,€10M–20M,NL,Inhouse,B,4/8,Brillen scale-up,Vol kanalen,Te groot; wel messaging-test,,COO,COO ace and tate,Te groot,Messaging-test
Tier 3,BALR.,Amsterdam,Fashion,Eigen merk D2C,Shopify Plus,€10M+,NL,Inhouse,B,4/8,Premium streetwear,Vol,Te groot; sterke brand voor copy-test,,Founder,founder balr amsterdam,Te groot,Messaging-test
Tier 3,Sissy-Boy,Amsterdam,Fashion,Eigen merk D2C,Shopify,€5M–15M,NL,Inhouse vermoed,B,5/8,Fashion retail+online,E-mail + chat,Grotere org; test messaging,,Director,directeur sissy-boy,Inhouse CS,Messaging-test
Tier 3,Vanilia,Nederland,Fashion,Eigen merk D2C,Shopify,€5M–12M,NL,Onbekend,B,5/8,Damesmode winkels,E-mail + chat,Retail + D2C mix,,Director,directeur vanilia,D2C aandeel,Messaging-test
Tier 3,Mr. Maria,Amsterdam,Home,Eigen merk D2C,Shopify,€1M–4M,NL,Onbekend,B,6/8,B2B + D2C,E-mail,Design lighting; B2B mix,,Founder,founder mr maria,D2C CS volume,Messaging-test
Tier 3,Hunkemöller,Nijmegen,Fashion,Eigen merk D2C,Shopify Plus,€50M+,NL,Inhouse,B,3/8,Enterprise,Telefoon,CS-team 3+; niet fit nu,,Director CS,director customer service hunkemöller,Exclude,Monitoren
Tier 3,Rituals,Amsterdam,Beauty,Eigen merk D2C,Shopify Plus,€100M+,NL,Inhouse,B,3/8,Enterprise beauty,Vol,Veel te groot,,Director CX,customer experience rituals,Exclude,Monitoren
Tier 3,Scotch & Soda,Amsterdam,Fashion,Eigen merk D2C,Shopify Plus,€30M+,NL,Inhouse,B,3/8,Fashion group,Vol,Te groot,,COO,COO scotch and soda,Exclude,Monitoren
Tier 3,G-Star RAW,Amsterdam,Fashion,Eigen merk D2C,Shopify,€40M+,NL,Inhouse,B,3/8,Denim enterprise,Vol,Te groot,,Director,director g-star RAW consumer,Exclude,Monitoren
Tier 3,Bonkers About Socks,Nederland,Fashion,Eigen merk D2C,Shopify,€500K–2M,NL,Geen systeem,B,6/8,Sokken niche (SOLIT-adjacent),E-mail (verif.),Vergelijkbaar segment; CS volume; messaging A/B test,,Founder,founder bonkers about socks,Shopify + CS,Messaging-test
Tier 3,Nubikk,Nederland,Fashion,Eigen merk D2C,Shopify,€2M–5M,NL,Groeit eruit,B,6/8,Luxury sneakers,E-mail + chat,Footwear premium; mogelijk inhouse bij schaal,,Founder,founder nubikk shoes,CS team size,Messaging-test
Tier 3,Ontour Fashion,Nederland,Fashion,Eigen merk D2C,Shopify,€1M–3M,NL,Onbekend,B,6/8,Fashion DTC,E-mail (verif.),Fashion webshop; CS situatie verificeren,,Founder,founder ontour fashion,CS audit,Messaging-test
Tier 3,Patta,Amsterdam,Fashion,Eigen merk D2C,Shopify,€5M–15M,NL,Inhouse mogelijk,B,5/8,Streetwear culture,E-mail + socials,Streetwear; community; mogelijk te groot,,Founder,founder patta amsterdam,Omzet + CS,Messaging-test
Tier 3,NA-KD,Nederland,Fashion,Eigen merk D2C,Shopify,€10M+,NL,Inhouse,B,4/8,Fast fashion scale,E-mail + chat,Schaalgrootte; messaging alleen,,Head of CS,head customer service na-kd,Te groot,Messaging-test
Tier 3,Ontwerpduo Shop,Amsterdam,Home,Eigen merk D2C,Shopify,€500K–2M,NL,Geen systeem,B,6/8,Design home,E-mail (verif.),Design studio + shop; klein volume,,Founder,founder ontwerpduo shop,Omzet check,Messaging-test
Tier 3,Filling Pieces (groot),Amsterdam,Fashion,Eigen merk D2C,Shopify,€8M+,NL,Inhouse mogelijk,B,5/8,Boven sweetspot,Vol,Te groot voor nu,,CEO,CEO filling pieces,Omzet,Monitoren
Tier 3,Daily Paper (groot),Amsterdam,Fashion,Eigen merk D2C,Shopify Plus,€10M+,NL,Inhouse,B,4/8,Te groot,Vol,Later heractiveren,,Founder,founder daily paper,Grootte,Monitoren
Tier 3,Gymshark,Nederland,Fashion,Eigen merk D2C,Shopify,€50M+,NL,Inhouse,B,3/8,Global fitness,Vol,Inhouse CS,,Head of CS,head customer service gymshark,Exclude,Monitoren
Tier 3,Leisure Club,Nederland,Fashion,Eigen merk D2C,Shopify,€2M–5M,NL,Onbekend,B,6/8,Fashion DTC,E-mail (verif.),Dames/heren fashion; CS verificeren,,Director,directeur leisure club fashion,CS audit,Messaging-test
Tier 3,WOOV,Nederland,Fashion,Eigen merk D2C,Shopify,€1M–3M,NL,Geen systeem,B,6/8,Contemporary fashion,E-mail (verif.),Fashion merk; klein team; messaging test,,Founder,founder woov fashion,Shopify verify,Messaging-test
Tier 3,Pip Studio (enterprise),Amsterdam,Home,Eigen merk D2C,Shopify,€8M+,NL,Inhouse mogelijk,B,5/8,Boven €5M range,E-mail + chat,Te groot als geheel; divisie monitoren,,Commercial director,commercial director pip studio,Grootte,Messaging-test
